algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0027577877044677734,0.0047591209411621095,0.30136109504530556,0.4703296703296703,0.22194179446926698,0.4703296703296703,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0016247749328613282,0.0043580055236816405,0.7857875457875458,0.7912087912087913,0.822014652014652,0.7912087912087913,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
LogisticRegression,0.011371850967407227,0.004530954360961914,0.85006327006327,0.8516483516483516,0.8743956043956043,0.8516483516483516,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
SGDClassifier,0.0012907981872558594,0.004375314712524414,0.8817490842490843,0.8824175824175825,0.8998931623931623,0.8824175824175825,0.8333333333333334,0.7,1.0,0.8235294117647058,0.7135060680126758,1.0,0.7272727272727273
LinearDiscriminantAnalysis,0.004949522018432617,0.006511974334716797,0.6285439560439561,0.6318681318681318,0.6427350427350428,0.6318681318681318,0.7777777777777778,0.6363636363636364,1.0,0.7777777777777778,0.6363636363636364,1.0,0.6363636363636364
QuadraticDiscriminantAnalysis,0.0033782482147216796,0.006753253936767578,0.7891090282266753,0.7945054945054946,0.8210439560439561,0.7945054945054946,0.7777777777777778,0.6666666666666666,0.8571428571428571,0.75,0.5698028822981898,0.8571428571428571,0.7272727272727273
SVC,0.001764392852783203,0.006898689270019531,0.8485414585414585,0.8527472527472527,0.8967582417582417,0.8527472527472527,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNeighborsClassifier,0.000620269775390625,0.006644535064697266,0.8196611721611722,0.8230769230769232,0.8635927960927962,0.8230769230769232,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7662337662337663,0.8571428571428571,0.9090909090909091
GaussianNB,0.0007348060607910156,0.0035349845886230467,0.8057575757575757,0.8098901098901099,0.8521153846153846,0.8098901098901099,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,0.005253410339355469,0.0035475730895996095,0.8825091575091575,0.8835164835164836,0.8941806209663351,0.8835164835164836,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
ExtraTreeClassifier,0.0005869865417480469,0.0034603595733642576,0.6334647894245418,0.6494505494505495,0.7058241758241758,0.6494505494505495,0.8333333333333334,0.7,1.0,0.8235294117647058,0.7135060680126758,1.0,0.7272727272727273
RandomForestClassifier,0.09134383201599121,0.016137170791625976,0.8167640692640692,0.8219780219780219,0.8673382173382173,0.8219780219780219,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BaggingClassifier,0.022581958770751955,0.021857833862304686,0.8078055278055277,0.8098901098901099,0.8283882783882783,0.8098901098901099,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
AdaBoostClassifier,0.19051060676574708,0.009082365036010741,0.8668315018315018,0.868131868131868,0.8866910866910868,0.868131868131868,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
GradientBoostingClassifier,0.6269266128540039,0.0044463157653808595,0.836024906466083,0.8384615384615385,0.851965811965812,0.8384615384615385,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
HistGradientBoostingClassifier,0.03270630836486817,0.005240297317504883,0.8675790875790875,0.868131868131868,0.8848901098901099,0.868131868131868,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTrees-ensemble,0.06492047309875489,0.016091537475585938,0.8012687312687312,0.8065934065934066,0.8419963369963369,0.8065934065934066,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
XGBClassifier,0.027338123321533202,0.006087160110473633,0.8631018981018981,0.8659340659340661,0.8881562881562882,0.8659340659340661,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
LGBMClassifier,0.023706483840942382,0.006214714050292969,0.865014985014985,0.8659340659340661,0.8770682888540031,0.8659340659340661,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
