algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0024451732635498045,0.004635953903198242,0.9257051282051283,0.9263736263736264,0.9389041514041514,0.9263736263736264,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
RidgeClassifier,0.0014984130859375,0.004364633560180664,0.9405128205128206,0.9406593406593406,0.9486263736263737,0.9406593406593406,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
LogisticRegression,0.011304807662963868,0.004439496994018554,0.9405128205128206,0.9406593406593406,0.9486263736263737,0.9406593406593406,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
SGDClassifier,0.0010387420654296875,0.004606771469116211,0.9415384615384615,0.9417582417582417,0.9493131868131869,0.9417582417582417,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
LinearDiscriminantAnalysis,0.0027526378631591796,0.007038688659667969,0.8650344263579557,0.868131868131868,0.8990140415140416,0.868131868131868,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
QuadraticDiscriminantAnalysis,0.0018360614776611328,0.006986284255981445,0.8662179487179488,0.867032967032967,0.8745726495726496,0.867032967032967,0.7777777777777778,0.75,0.9,0.8181818181818182,0.5533985905294664,0.9,0.625
SVC,0.0012090206146240234,0.006250762939453125,0.9101340326340328,0.910989010989011,0.9210470085470085,0.910989010989011,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
KNeighborsClassifier,0.0006386280059814453,0.013878393173217773,0.925967365967366,0.9263736263736264,0.9358516483516484,0.9263736263736264,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
GaussianNB,0.0008365154266357422,0.004654216766357422,0.9708333333333334,0.9714285714285715,0.9777777777777779,0.9714285714285715,0.7777777777777778,1.0,0.6,0.75,0.6324555320336759,0.6,1.0
DecisionTreeClassifier,0.0016721725463867188,0.004493856430053711,0.9702564102564104,0.9703296703296704,0.9743131868131869,0.9703296703296704,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
ExtraTreeClassifier,0.0006702423095703125,0.004374980926513672,0.9267307692307692,0.9274725274725275,0.9395909645909646,0.9274725274725275,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
RandomForestClassifier,0.08915014266967773,0.01618194580078125,0.9708333333333334,0.9714285714285715,0.9777777777777779,0.9714285714285715,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
BaggingClassifier,0.016788196563720704,0.02370309829711914,0.9410897435897436,0.9417582417582417,0.9520909645909645,0.9417582417582417,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
AdaBoostClassifier,0.06977286338806152,0.00780029296875,0.956474358974359,0.9571428571428571,0.9652777777777779,0.9571428571428571,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
GradientBoostingClassifier,0.1240570068359375,0.003793954849243164,0.9410897435897436,0.9417582417582417,0.9520909645909645,0.9417582417582417,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
HistGradientBoostingClassifier,0.01784358024597168,0.004568910598754883,0.9712820512820514,0.9714285714285715,0.975,0.9714285714285715,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
ExtraTrees-ensemble,0.06388788223266602,0.016278553009033202,0.9558974358974359,0.956043956043956,0.9618131868131868,0.956043956043956,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
XGBClassifier,0.013904094696044922,0.005711030960083008,0.9856410256410257,0.9857142857142858,0.9875,0.9857142857142858,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
LGBMClassifier,0.009921598434448241,0.006097412109375,0.956474358974359,0.9571428571428571,0.9652777777777779,0.9571428571428571,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
