algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0023269176483154295,0.0038224220275878905,0.9271395271395271,0.9274725274725275,0.932967032967033,0.9274725274725275,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
RidgeClassifier,0.001367807388305664,0.0036566734313964845,0.9427106227106228,0.9428571428571428,0.9464285714285715,0.9428571428571428,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
LogisticRegression,0.011507368087768555,0.005025243759155274,0.9271395271395271,0.9274725274725275,0.932967032967033,0.9274725274725275,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
SGDClassifier,0.0013922691345214845,0.0046135902404785155,0.8959798534798535,0.8978021978021978,0.9127747252747251,0.8978021978021978,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
LinearDiscriminantAnalysis,0.005282163619995117,0.006887912750244141,0.7642857142857143,0.7670329670329671,0.7823443223443224,0.7670329670329671,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,0.7905694150420948,1.0,0.75
QuadraticDiscriminantAnalysis,0.0037049293518066407,0.006654024124145508,0.6193732574614927,0.6351648351648352,0.6778282828282829,0.6351648351648352,0.7222222222222222,0.6923076923076923,0.9,0.782608695652174,0.4437601569801833,0.9,0.5
SVC,0.0017724037170410156,0.007067966461181641,0.9271395271395271,0.9274725274725275,0.932967032967033,0.9274725274725275,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
KNeighborsClassifier,0.0006062984466552734,0.005097055435180664,0.9251465201465201,0.9263736263736263,0.9349969474969475,0.9263736263736263,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
GaussianNB,0.0007846832275390625,0.0037676334381103516,0.7453388278388278,0.7461538461538462,0.7566239316239316,0.7461538461538462,0.8333333333333334,0.8888888888888888,0.8,0.8421052631578947,0.6708203932499369,0.8,0.875
DecisionTreeClassifier,0.004268360137939453,0.003851318359375,0.8380552780552781,0.8384615384615385,0.8434065934065934,0.8384615384615385,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
ExtraTreeClassifier,0.0006426811218261719,0.0037841796875,0.8336993561993562,0.8395604395604395,0.8686119436119435,0.8395604395604395,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
RandomForestClassifier,0.08870701789855957,0.016186618804931642,0.9271395271395271,0.9274725274725275,0.932967032967033,0.9274725274725275,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BaggingClassifier,0.020572614669799805,0.021898365020751952,0.9107875457875458,0.9120879120879121,0.9224969474969476,0.9120879120879121,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
AdaBoostClassifier,0.16397647857666015,0.00930023193359375,0.8981193806193806,0.8989010989010989,0.9071733821733823,0.8989010989010989,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
GradientBoostingClassifier,0.4705685615539551,0.004557132720947266,0.8987146187146188,0.8989010989010989,0.9008241758241757,0.8989010989010989,0.8888888888888888,0.9,0.9,0.9,0.775,0.9,0.875
HistGradientBoostingClassifier,0.03302931785583496,0.005265569686889649,0.8804087579087578,0.8824175824175823,0.8993131868131868,0.8824175824175823,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
ExtraTrees-ensemble,0.06509361267089844,0.016257858276367186,0.9133974358974359,0.9142857142857143,0.923611111111111,0.9142857142857143,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
XGBClassifier,0.025022602081298827,0.006285858154296875,0.9115684315684316,0.9120879120879122,0.9195054945054946,0.9120879120879122,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
LGBMClassifier,0.02169766426086426,0.006306266784667969,0.8963702963702964,0.8967032967032967,0.9021978021978022,0.8967032967032967,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
