algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0031212329864501952,0.003941917419433593,0.9266908091908093,0.9274725274725275,0.9395713413570557,0.9274725274725275,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
RidgeClassifier,0.0014844894409179687,0.0034789085388183595,0.9272860472860472,0.9274725274725275,0.9332221350078493,0.9274725274725275,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
LogisticRegression,0.015504693984985352,0.004590845108032227,0.9414985014985013,0.9417582417582417,0.9492935635792777,0.9417582417582417,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
SGDClassifier,0.0019750118255615233,0.0034513950347900392,0.9117149517149518,0.9120879120879122,0.9197605965463108,0.9120879120879122,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
LinearDiscriminantAnalysis,0.008668661117553711,0.006436014175415039,0.7120946210652093,0.7219780219780219,0.7323748473748474,0.7219780219780219,0.5,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.08058229640253803,0.7142857142857143,0.36363636363636365
QuadraticDiscriminantAnalysis,0.005836915969848633,0.006804037094116211,0.6180526731610322,0.6472527472527473,0.6727072927072927,0.6472527472527473,0.6666666666666666,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.4025974025974026,0.8571428571428571,0.5454545454545454
SVC,0.0027634620666503905,0.008854436874389648,0.7263459931880984,0.7527472527472528,0.8360112110112109,0.7527472527472528,0.5,0.4375,1.0,0.6086956521739131,0.2820380374088831,1.0,0.18181818181818182
KNeighborsClassifier,0.001381683349609375,0.007376861572265625,0.9111197136197136,0.9120879120879122,0.9261098028955171,0.9120879120879122,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
GaussianNB,0.0019624710083007814,0.0041735172271728516,0.9414985014985013,0.9417582417582417,0.9492935635792777,0.9417582417582417,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,0.008487796783447266,0.003459739685058594,0.8047625903508256,0.810989010989011,0.821535409035409,0.810989010989011,0.7777777777777778,0.6363636363636364,1.0,0.7777777777777778,0.6363636363636364,1.0,0.6363636363636364
ExtraTreeClassifier,0.0006258964538574218,0.003452968597412109,0.8534398934398935,0.8538461538461538,0.8569597069597069,0.8538461538461538,0.7777777777777778,0.6666666666666666,0.8571428571428571,0.75,0.5698028822981898,0.8571428571428571,0.7272727272727273
RandomForestClassifier,0.08934316635131836,0.01635904312133789,0.9414985014985013,0.9417582417582417,0.9492935635792777,0.9417582417582417,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
BaggingClassifier,0.02445087432861328,0.03106203079223633,0.9115684315684316,0.9120879120879122,0.9195054945054946,0.9120879120879122,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoostClassifier,0.4060934066772461,0.010153913497924804,0.8817673992673992,0.8835164835164834,0.8967032967032967,0.8835164835164834,0.7777777777777778,0.6363636363636364,1.0,0.7777777777777778,0.6363636363636364,1.0,0.6363636363636364
GradientBoostingClassifier,0.9205652713775635,0.005001163482666016,0.9272860472860472,0.9274725274725275,0.9293956043956044,0.9274725274725275,0.7777777777777778,0.6363636363636364,1.0,0.7777777777777778,0.6363636363636364,1.0,0.6363636363636364
HistGradientBoostingClassifier,0.07260274887084961,0.00673527717590332,0.9127805527805528,0.9131868131868133,0.9201268969126112,0.9131868131868133,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTrees-ensemble,0.06718711853027344,0.01653904914855957,0.9414985014985013,0.9417582417582417,0.9492935635792777,0.9417582417582417,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
XGBClassifier,0.07525925636291504,0.007274007797241211,0.9271395271395271,0.9274725274725275,0.932967032967033,0.9274725274725275,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LGBMClassifier,0.09729576110839844,0.009067249298095704,0.9558574758574758,0.956043956043956,0.9617935635792778,0.956043956043956,1.0,1.0,1.0,1.0,1.0,1.0,1.0
