algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.004605770111083984,0.004927349090576172,0.8957417582417582,0.8967032967032967,0.916769143554858,0.8967032967032967,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143
RidgeClassifier,0.0018892288208007812,0.0043981075286865234,0.9714285714285715,0.9714285714285715,0.9752551020408162,0.9714285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression,0.019580936431884764,0.004350805282592773,0.956043956043956,0.956043956043956,0.9620682888540031,0.956043956043956,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SGDClassifier,0.0021933555603027345,0.004329013824462891,0.9411960588431179,0.9417582417582417,0.9488400488400488,0.9417582417582417,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LinearDiscriminantAnalysis,0.009822702407836914,0.006817483901977539,0.7545501557266264,0.7637362637362638,0.8158466533466534,0.7637362637362638,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143
QuadraticDiscriminantAnalysis,0.0059890270233154295,0.006804275512695313,0.8528446553446554,0.8538461538461538,0.8633089133089132,0.8538461538461538,0.7777777777777778,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.5229975846277625,0.9090909090909091,0.5714285714285714
SVC,0.0020065784454345705,0.006813621520996094,0.9263003663003664,0.9263736263736264,0.93638147566719,0.9263736263736264,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571
KNeighborsClassifier,0.0006073474884033203,0.009106731414794922,0.8656318681318682,0.867032967032967,0.8976953601953601,0.867032967032967,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.6446583712203042,0.9090909090909091,0.7142857142857143
GaussianNB,0.0009122848510742188,0.003799581527709961,0.9271517697988287,0.9285714285714285,0.9428571428571428,0.9285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,0.009453010559082032,0.0038532733917236326,0.8981193806193806,0.8989010989010989,0.9071733821733823,0.8989010989010989,0.8333333333333334,0.9,0.8181818181818182,0.8571428571428571,0.6625413488689132,0.8181818181818182,0.8571428571428571
ExtraTreeClassifier,0.0006520271301269532,0.003652667999267578,0.8250549450549451,0.8252747252747253,0.8346153846153846,0.8252747252747253,0.8333333333333334,1.0,0.7272727272727273,0.8421052631578947,0.7135060680126758,0.7272727272727273,1.0
RandomForestClassifier,0.09022226333618164,0.01619439125061035,0.956474358974359,0.9571428571428571,0.9652777777777779,0.9571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BaggingClassifier,0.021552848815917968,0.014786100387573243,0.9410497835497835,0.9417582417582417,0.9520713413570556,0.9417582417582417,0.8888888888888888,1.0,0.8181818181818182,0.9,0.7977240352174656,0.8181818181818182,1.0
AdaBoostClassifier,0.3958096981048584,0.00924997329711914,0.941959462106521,0.9428571428571428,0.952579365079365,0.9428571428571428,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571
GradientBoostingClassifier,1.0174400329589843,0.004360675811767578,0.8842091242091243,0.8846153846153847,0.8948717948717949,0.8846153846153847,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571
HistGradientBoostingClassifier,0.05866985321044922,0.005209207534790039,0.956620879120879,0.9571428571428571,0.9655328798185941,0.9571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTrees-ensemble,0.06543793678283691,0.01596555709838867,0.9567671544142133,0.9571428571428571,0.9623015873015873,0.9571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier,0.04528799057006836,0.006424093246459961,0.9422619047619047,0.9428571428571428,0.9530328798185941,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LGBMClassifier,0.04479436874389649,0.006587982177734375,0.9422619047619047,0.9428571428571428,0.9530328798185941,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0
