algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,Strategy
GaussianProcessClassifier,0.0028338432312011,0.0038576602935791,0.9257808857808858,0.9263736263736264,0.9314102564102564,0.9263736263736264,0.7777777777777778,0.6666666666666666,1.0,0.8,0.6324555320336759,1.0,0.6,plusrnn,Embedding-based
RidgeClassifier,0.0014811515808105,0.0036823749542236,0.9402863802863802,0.9406593406593406,0.9445054945054944,0.9406593406593406,0.7777777777777778,0.7,0.875,0.7777777777777778,0.575,0.875,0.7,plusrnn,Embedding-based
LogisticRegression,0.0115671157836914,0.004955244064331,0.9257808857808858,0.9263736263736264,0.9314102564102564,0.9263736263736264,0.7777777777777778,0.6666666666666666,1.0,0.8,0.6324555320336759,1.0,0.6,plusrnn,Embedding-based
SGDClassifier,0.0019311904907226,0.0046422481536865,0.8790146128381423,0.8824175824175823,0.9040354090354088,0.8824175824175823,0.7777777777777778,0.7,0.875,0.7777777777777778,0.575,0.875,0.7,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0078218936920166,0.0065447330474853,0.8093589743589744,0.810989010989011,0.8190109890109889,0.810989010989011,0.8333333333333334,0.7272727272727273,1.0,0.8421052631578947,0.7135060680126758,1.0,0.7,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0051329135894775,0.0065576076507568,0.8358974358974359,0.8384615384615385,0.8502991452991452,0.8384615384615385,0.6666666666666666,0.625,0.625,0.625,0.325,0.625,0.7,plusrnn,Embedding-based
SVC,0.0017877578735351,0.0066798686981201,0.9558574758574758,0.956043956043956,0.957967032967033,0.956043956043956,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,0.6708203932499369,0.875,0.8,plusrnn,Embedding-based
KNeighborsClassifier,0.0006065368652343,0.0050375938415527,0.9402863802863802,0.9406593406593406,0.9445054945054944,0.9406593406593406,0.8333333333333334,0.7272727272727273,1.0,0.8421052631578947,0.7135060680126758,1.0,0.7,plusrnn,Embedding-based
GaussianNB,0.0010488986968994,0.0044246673583984,0.9558574758574758,0.956043956043956,0.957967032967033,0.956043956043956,0.7777777777777778,0.7,0.875,0.7777777777777778,0.575,0.875,0.7,plusrnn,Embedding-based
DecisionTreeClassifier,0.0085032939910888,0.0042771816253662,0.8506523378582201,0.8549450549450551,0.8736294261294262,0.8549450549450551,0.8888888888888888,0.8,1.0,0.8888888888888888,0.8,1.0,0.8,plusrnn,Embedding-based
