algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002125120162963867,0.003782844543457031,0.5144438018122228,0.6307692307692307,0.5131163708086784,0.6307692307692307,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0013328075408935546,0.0035616874694824217,0.8919112260288731,0.8956043956043956,0.9172605965463108,0.8956043956043956,0.8888888888888888,1.0,0.8181818181818182,0.9,0.7977240352174656,0.8181818181818182,1.0
LogisticRegression,0.011472558975219727,0.005017805099487305,0.44872951609793715,0.5736263736263736,0.4750211327134403,0.5736263736263736,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,1.0
SGDClassifier,0.002248811721801758,0.004539394378662109,0.8919112260288731,0.8956043956043956,0.9172605965463108,0.8956043956043956,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724,0.0,1.0,0.0
LinearDiscriminantAnalysis,0.004847335815429688,0.006453227996826172,0.8965567765567766,0.8967032967032967,0.9024725274725274,0.8967032967032967,0.9444444444444444,1.0,0.9090909090909091,0.9523809523809523,0.8918825850158447,0.9090909090909091,1.0
QuadraticDiscriminantAnalysis,0.003240013122558594,0.006498003005981445,0.7614446827682122,0.7648351648351649,0.7991592534449677,0.7648351648351649,0.5,0.5833333333333334,0.6363636363636364,0.6086956521739131,-0.08058229640253803,0.6363636363636364,0.2857142857142857
SVC,0.0015863418579101563,0.006535530090332031,0.3672194472194472,0.5296703296703297,0.2812824538099263,0.5296703296703297,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,1.0
KNeighborsClassifier,0.0005614280700683594,0.00483860969543457,0.9206291747468219,0.9241758241758242,0.9422605965463108,0.9241758241758242,0.8888888888888888,1.0,0.8181818181818182,0.9,0.7977240352174656,0.8181818181818182,1.0
GaussianNB,0.0007392406463623047,0.003589773178100586,0.9401704178174768,0.9406593406593406,0.9481532356532357,0.9406593406593406,0.7777777777777778,1.0,0.6363636363636364,0.7777777777777778,0.6363636363636364,0.6363636363636364,1.0
DecisionTreeClassifier,0.00388188362121582,0.003715848922729492,0.9062543339013928,0.9087912087912089,0.9151404151404152,0.9087912087912089,0.7777777777777778,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5324675324675324,0.8181818181818182,0.7142857142857143
ExtraTreeClassifier,0.0005928516387939453,0.003588294982910156,0.834459706959707,0.8373626373626374,0.8556166056166056,0.8373626373626374,0.6666666666666666,1.0,0.45454545454545453,0.625,0.4947274449181537,0.45454545454545453,1.0
RandomForestClassifier,0.09439215660095215,0.017882633209228515,0.9546853146853149,0.9549450549450551,0.9608516483516484,0.9549450549450551,0.8888888888888888,1.0,0.8181818181818182,0.9,0.7977240352174656,0.8181818181818182,1.0
BaggingClassifier,0.011403608322143554,0.014715957641601562,0.8921978021978022,0.8945054945054945,0.9030939298796442,0.8945054945054945,0.8333333333333334,1.0,0.7272727272727273,0.8421052631578947,0.7135060680126758,0.7272727272727273,1.0
AdaBoostClassifier,0.1664576530456543,0.007833337783813477,0.9064102564102565,0.9087912087912089,0.9153388278388279,0.9087912087912089,0.8333333333333334,1.0,0.7272727272727273,0.8421052631578947,0.7135060680126758,0.7272727272727273,1.0
GradientBoostingClassifier,0.3772724628448486,0.003946352005004883,0.8918953595424185,0.8945054945054945,0.9026404151404153,0.8945054945054945,0.8333333333333334,0.9,0.8181818181818182,0.8571428571428571,0.6625413488689132,0.8181818181818182,0.8571428571428571
HistGradientBoostingClassifier,0.029330921173095704,0.00455322265625,0.934841628959276,0.9384615384615385,0.9545054945054945,0.9384615384615385,0.8888888888888888,1.0,0.8181818181818182,0.9,0.7977240352174656,0.8181818181818182,1.0
ExtraTrees-ensemble,0.06331310272216797,0.016158390045166015,0.9546853146853149,0.9549450549450551,0.9608516483516484,0.9549450549450551,0.8888888888888888,1.0,0.8181818181818182,0.9,0.7977240352174656,0.8181818181818182,1.0
XGBClassifier,0.026195383071899413,0.0063059329986572266,0.8778388278388279,0.8802197802197803,0.8905939298796441,0.8802197802197803,0.8333333333333334,1.0,0.7272727272727273,0.8421052631578947,0.7135060680126758,0.7272727272727273,1.0
LGBMClassifier,0.02453770637512207,0.007220172882080078,0.9204826546003018,0.9241758241758242,0.9420054945054945,0.9241758241758242,0.8888888888888888,1.0,0.8181818181818182,0.9,0.7977240352174656,0.8181818181818182,1.0
