algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.001697874069213867,0.0036849498748779295,0.7798969331322272,0.7934065934065934,0.8545765345765345,0.7934065934065934,0.8333333333333334,1.0,0.7,0.8235294117647058,0.7135060680126758,0.7,1.0
RidgeClassifier,0.001820850372314453,0.005268669128417969,0.68460950813892,0.6912087912087912,0.7164743589743588,0.6912087912087912,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
LogisticRegression,0.013460540771484375,0.0048141002655029295,0.7278329513623631,0.7340659340659341,0.7587362637362636,0.7340659340659341,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
SGDClassifier,0.0009550094604492187,0.004256248474121094,0.3336842105263158,0.5,0.25059171597633134,0.5,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,0.0,1.0,0.0
LinearDiscriminantAnalysis,0.0009333610534667969,0.0036463260650634764,0.8620512820512822,0.8670329670329672,0.8964102564102564,0.8670329670329672,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,0.7905694150420948,1.0,0.75
QuadraticDiscriminantAnalysis,0.0007990837097167969,0.00398411750793457,0.6293245935351199,0.6758241758241759,0.8015734265734265,0.6758241758241759,0.7777777777777778,1.0,0.6,0.75,0.6324555320336759,0.6,1.0
SVC,0.00076446533203125,0.0037240982055664062,0.6547250487730365,0.6901098901098901,0.7941880341880342,0.6901098901098901,0.7777777777777778,0.7142857142857143,1.0,0.8333333333333334,0.5976143046671968,1.0,0.5
KNeighborsClassifier,0.0006196975708007812,0.021068620681762695,0.849812148635678,0.8538461538461538,0.8850641025641025,0.8538461538461538,0.7222222222222222,0.6923076923076923,0.9,0.782608695652174,0.4437601569801833,0.9,0.5
GaussianNB,0.0006653785705566407,0.003811073303222656,0.7911241699476993,0.7934065934065934,0.811117216117216,0.7934065934065934,0.8333333333333334,0.8888888888888888,0.8,0.8421052631578947,0.6708203932499369,0.8,0.875
DecisionTreeClassifier,0.0008429527282714844,0.0035976409912109376,0.7566971264030087,0.7637362637362637,0.8036324786324787,0.7637362637362637,0.7777777777777778,0.75,0.9,0.8181818181818182,0.5533985905294664,0.9,0.625
ExtraTreeClassifier,0.0005809307098388672,0.0038365840911865233,0.7927289377289377,0.7945054945054946,0.8090293040293041,0.7945054945054946,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
RandomForestClassifier,0.08994779586791993,0.016452836990356445,0.8963519813519814,0.8978021978021978,0.9164072039072039,0.8978021978021978,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
BaggingClassifier,0.014235496520996094,0.019101381301879883,0.8967673992673995,0.8978021978021978,0.913629426129426,0.8978021978021978,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,0.7905694150420948,1.0,0.75
AdaBoostClassifier,0.04827661514282226,0.007669687271118164,0.8024516659810779,0.8098901098901099,0.8482692307692308,0.8098901098901099,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoostingClassifier,0.07917780876159668,0.003919124603271484,0.7806389388045736,0.7956043956043957,0.861880341880342,0.7956043956043957,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
HistGradientBoostingClassifier,0.015460205078125,0.00457453727722168,0.7892017786135433,0.7967032967032968,0.8209615384615384,0.7967032967032968,0.8333333333333334,0.8181818181818182,0.9,0.8571428571428571,0.6625413488689132,0.9,0.75
ExtraTrees-ensemble,0.06141605377197266,0.01624784469604492,0.925967365967366,0.9263736263736264,0.9358516483516484,0.9263736263736264,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,0.7905694150420948,1.0,0.75
XGBClassifier,0.014950323104858398,0.005636167526245117,0.8336421911421912,0.8373626373626373,0.8689102564102564,0.8373626373626373,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
LGBMClassifier,0.011330890655517577,0.006470346450805664,0.8503366241601537,0.8538461538461538,0.8787148962148962,0.8538461538461538,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,0.7905694150420948,1.0,0.75
