algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0034511566162109377,0.005016994476318359,0.8501984290219584,0.8527472527472527,0.8706122448979592,0.8527472527472527,0.8888888888888888,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7662337662337663,0.9090909090909091,0.8571428571428571
RidgeClassifier,0.0017854690551757813,0.004339838027954101,0.8505669330669331,0.8516483516483516,0.8608076050933194,0.8516483516483516,0.8888888888888888,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7662337662337663,0.9090909090909091,0.8571428571428571
LogisticRegression,0.011359405517578126,0.0043166160583496095,0.8659515484515484,0.867032967032967,0.878390022675737,0.867032967032967,0.8888888888888888,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7662337662337663,0.9090909090909091,0.8571428571428571
SGDClassifier,0.0017671585083007812,0.004125356674194336,0.778711209670962,0.7934065934065935,0.8467124542124542,0.7934065934065935,0.7777777777777778,0.8888888888888888,0.7272727272727273,0.8,0.5698028822981898,0.7272727272727273,0.8571428571428571
LinearDiscriminantAnalysis,0.007114934921264649,0.006573867797851562,0.7121631309866603,0.7164835164835164,0.7415201465201466,0.7164835164835164,0.7222222222222222,0.75,0.8181818181818182,0.782608695652174,0.4029114820126901,0.8181818181818182,0.5714285714285714
QuadraticDiscriminantAnalysis,0.004734468460083008,0.006779670715332031,0.7004611264208788,0.7230769230769231,0.7824898117755261,0.7230769230769231,0.6666666666666666,1.0,0.45454545454545453,0.625,0.4947274449181537,0.45454545454545453,1.0
SVC,0.0019620418548583984,0.006851863861083984,0.8356929345164639,0.8384615384615385,0.857517006802721,0.8384615384615385,0.8888888888888888,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7662337662337663,0.9090909090909091,0.8571428571428571
KNeighborsClassifier,0.0006564617156982422,0.008809614181518554,0.8501984290219584,0.8527472527472527,0.8706122448979592,0.8527472527472527,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571
GaussianNB,0.0010286331176757812,0.004379177093505859,0.3580277617119722,0.4989010989010989,0.4296341021615747,0.4989010989010989,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724,0.0,1.0,0.0
DecisionTreeClassifier,0.0037176132202148436,0.004423713684082032,0.8183581124757595,0.8219780219780219,0.8408869701726844,0.8219780219780219,0.8333333333333334,0.9,0.8181818181818182,0.8571428571428571,0.6625413488689132,0.8181818181818182,0.8571428571428571
ExtraTreeClassifier,0.0007454872131347657,0.004245328903198242,0.834476356976357,0.8362637362637363,0.8530799755799755,0.8362637362637363,0.8888888888888888,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7662337662337663,0.9090909090909091,0.8571428571428571
RandomForestClassifier,0.0911107063293457,0.016336584091186525,0.8160940040351805,0.8230769230769232,0.8598491191348334,0.8230769230769232,0.8888888888888888,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7662337662337663,0.9090909090909091,0.8571428571428571
BaggingClassifier,0.025063800811767577,0.020307588577270507,0.8344588744588745,0.8351648351648352,0.8395054945054945,0.8351648351648352,0.7777777777777778,0.8888888888888888,0.7272727272727273,0.8,0.5698028822981898,0.7272727272727273,0.8571428571428571
AdaBoostClassifier,0.11632437705993652,0.008191108703613281,0.759955044955045,0.7626373626373626,0.7668315018315017,0.7626373626373626,0.7777777777777778,0.8888888888888888,0.7272727272727273,0.8,0.5698028822981898,0.7272727272727273,0.8571428571428571
GradientBoostingClassifier,0.30202927589416506,0.003944015502929688,0.7754212454212454,0.7780219780219779,0.785393772893773,0.7780219780219779,0.8888888888888888,1.0,0.8181818181818182,0.9,0.7977240352174656,0.8181818181818182,1.0
HistGradientBoostingClassifier,0.047356700897216795,0.005146169662475586,0.8215651015651015,0.821978021978022,0.8284052851909994,0.821978021978022,0.8888888888888888,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7662337662337663,0.9090909090909091,0.8571428571428571
ExtraTrees-ensemble,0.06338105201721192,0.016187238693237304,0.8202639027639028,0.8219780219780219,0.8370085470085471,0.8219780219780219,0.8888888888888888,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7662337662337663,0.9090909090909091,0.8571428571428571
XGBClassifier,0.02915821075439453,0.006082677841186523,0.8209698634698637,0.8219780219780219,0.8347544915402059,0.8219780219780219,0.9444444444444444,1.0,0.9090909090909091,0.9523809523809523,0.8918825850158447,0.9090909090909091,1.0
LGBMClassifier,0.02259068489074707,0.006515884399414062,0.7756196744432039,0.7780219780219779,0.7936891679748822,0.7780219780219779,0.8888888888888888,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7662337662337663,0.9090909090909091,0.8571428571428571
