algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002244424819946289,0.0038030147552490234,0.8827556756968523,0.8835164835164836,0.8856196581196581,0.8835164835164836,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
RidgeClassifier,0.001302337646484375,0.003587198257446289,0.9124992654404419,0.9131868131868132,0.9157020757020756,0.9131868131868132,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
LogisticRegression,0.011451816558837891,0.004738616943359375,0.8827556756968523,0.8835164835164836,0.8856196581196581,0.8835164835164836,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
SGDClassifier,0.0015594959259033203,0.0043543815612792965,0.913113553113553,0.9131868131868132,0.9171703296703297,0.9131868131868132,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LinearDiscriminantAnalysis,0.004874181747436523,0.006404876708984375,0.8798801198801198,0.8802197802197803,0.8830298273155417,0.8802197802197803,0.8333333333333334,0.7,1.0,0.8235294117647058,0.7135060680126758,1.0,0.7272727272727273
QuadraticDiscriminantAnalysis,0.0033008098602294923,0.006550741195678711,0.6827075702075702,0.6934065934065934,0.7176492951492952,0.6934065934065934,0.6666666666666666,0.5384615384615384,1.0,0.7,0.4947274449181537,1.0,0.45454545454545453
SVC,0.0016183853149414062,0.006695985794067383,0.8526790856202622,0.8538461538461538,0.8590628815628817,0.8538461538461538,0.8333333333333334,0.7,1.0,0.8235294117647058,0.7135060680126758,1.0,0.7272727272727273
KNeighborsClassifier,0.0005903244018554688,0.004862165451049805,0.9267117196528961,0.9274725274725275,0.9317735042735042,0.9274725274725275,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,0.0007415294647216796,0.003585529327392578,0.9267117196528961,0.9274725274725275,0.9317735042735042,0.9274725274725275,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
DecisionTreeClassifier,0.003984403610229492,0.0036077976226806642,0.8535864135864136,0.8538461538461538,0.8575549450549451,0.8538461538461538,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
ExtraTreeClassifier,0.0005970478057861328,0.0035923004150390627,0.881543554484731,0.8824175824175825,0.8846581196581196,0.8824175824175825,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
RandomForestClassifier,0.08920464515686036,0.01646108627319336,0.9124992654404419,0.9131868131868132,0.9157020757020756,0.9131868131868132,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BaggingClassifier,0.011504411697387695,0.017929267883300782,0.8990476190476191,0.8989010989010989,0.904925431711146,0.8989010989010989,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoostClassifier,0.15808525085449218,0.007586812973022461,0.898021978021978,0.8978021978021978,0.8998430141287284,0.8978021978021978,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
GradientBoostingClassifier,0.450396203994751,0.0044422149658203125,0.8823043623043624,0.8824175824175825,0.8899529042386186,0.8824175824175825,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
HistGradientBoostingClassifier,0.0321199893951416,0.005034732818603516,0.9415290591761181,0.9417582417582417,0.9455433455433455,0.9417582417582417,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTrees-ensemble,0.06543622016906739,0.01624612808227539,0.9276190476190477,0.9274725274725275,0.9334968602825746,0.9274725274725275,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier,0.02652735710144043,0.006462192535400391,0.8978354978354979,0.8978021978021978,0.9039638932496075,0.8978021978021978,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
LGBMClassifier,0.023082447052001954,0.007580995559692383,0.9557415133885723,0.956043956043956,0.9616147741147743,0.956043956043956,1.0,1.0,1.0,1.0,1.0,1.0,1.0
