algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.11841092109680176,0.03047184944152832,0.8464805455981927,0.8527472527472527,0.8869291819291819,0.8527472527472527,0.6111111111111112,1.0,0.36363636363636365,0.5333333333333333,0.4264014327112209,0.36363636363636365,1.0
RidgeClassifier,0.05421605110168457,0.0072746753692626955,0.9108172709643299,0.9120879120879122,0.925656288156288,0.9120879120879122,0.6111111111111112,1.0,0.36363636363636365,0.5333333333333333,0.4264014327112209,0.36363636363636365,1.0
LogisticRegression,0.2124319076538086,0.019609642028808594,0.8464805455981927,0.8527472527472527,0.8869291819291819,0.8527472527472527,0.6111111111111112,1.0,0.36363636363636365,0.5333333333333333,0.4264014327112209,0.36363636363636365,1.0
SGDClassifier,0.0880195140838623,0.010573291778564453,0.9555550332020921,0.956043956043956,0.9613400488400489,0.956043956043956,0.6111111111111112,1.0,0.36363636363636365,0.5333333333333333,0.4264014327112209,0.36363636363636365,1.0
LinearDiscriminantAnalysis,0.5848465919494629,0.011815738677978516,0.5538457947281478,0.5758241758241759,0.6373859473859473,0.5758241758241759,0.6111111111111112,0.625,0.9090909090909091,0.7407407407407407,0.08058229640253803,0.9090909090909091,0.14285714285714285
QuadraticDiscriminantAnalysis,0.2688018321990967,0.02198171615600586,0.4969605557840852,0.510989010989011,0.5262271062271062,0.510989010989011,0.3888888888888889,0.5,0.6363636363636364,0.56,-0.4264014327112209,0.6363636363636364,0.0
SVC,0.07273392677307129,0.08830790519714356,0.9108172709643299,0.9120879120879122,0.925656288156288,0.9120879120879122,0.6111111111111112,1.0,0.36363636363636365,0.5333333333333333,0.4264014327112209,0.36363636363636365,1.0
KNeighborsClassifier,0.011483049392700196,0.02196044921875,0.9103629703629703,0.910989010989011,0.9262166405023547,0.910989010989011,0.8333333333333334,0.9,0.8181818181818182,0.8571428571428571,0.6625413488689132,0.8181818181818182,0.8571428571428571
GaussianNB,0.04580230712890625,0.013859891891479492,0.9844289044289045,0.9846153846153847,0.9865384615384615,0.9846153846153847,0.8333333333333334,0.9,0.8181818181818182,0.8571428571428571,0.6625413488689132,0.8181818181818182,0.8571428571428571
DecisionTreeClassifier,0.04785199165344238,0.004874372482299804,0.9544988344988345,0.9549450549450551,0.960576923076923,0.9549450549450551,0.7777777777777778,1.0,0.6363636363636364,0.7777777777777778,0.6363636363636364,0.6363636363636364,1.0
ExtraTreeClassifier,0.030418586730957032,0.010992908477783203,0.9409032634032635,0.9417582417582417,0.9518162393162394,0.9417582417582417,0.6666666666666666,1.0,0.45454545454545453,0.625,0.4947274449181537,0.45454545454545453,1.0
RandomForestClassifier,0.11675047874450684,0.017831039428710938,0.895490897990898,0.8978021978021978,0.9154975579975579,0.8978021978021978,0.6111111111111112,1.0,0.36363636363636365,0.5333333333333333,0.4264014327112209,0.36363636363636365,1.0
BaggingClassifier,0.28434023857116697,0.17365436553955077,0.9108172709643299,0.9120879120879122,0.925656288156288,0.9120879120879122,0.6111111111111112,1.0,0.36363636363636365,0.5333333333333333,0.4264014327112209,0.36363636363636365,1.0
AdaBoostClassifier,1.964754867553711,0.04641408920288086,0.9256249632720221,0.9263736263736264,0.9353785103785104,0.9263736263736264,0.6111111111111112,1.0,0.36363636363636365,0.5333333333333333,0.4264014327112209,0.36363636363636365,1.0
GradientBoostingClassifier,4.080737829208374,0.005681848526000977,0.9256249632720221,0.9263736263736264,0.9353785103785104,0.9263736263736264,0.6111111111111112,1.0,0.36363636363636365,0.5333333333333333,0.4264014327112209,0.36363636363636365,1.0
HistGradientBoostingClassifier,4.946180915832519,0.0055462360382080075,0.3672194472194472,0.5296703296703297,0.2812824538099263,0.5296703296703297,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,1.0
ExtraTrees-ensemble,0.08463830947875976,0.01986660957336426,0.9108172709643299,0.9120879120879122,0.925656288156288,0.9120879120879122,0.6111111111111112,1.0,0.36363636363636365,0.5333333333333333,0.4264014327112209,0.36363636363636365,1.0
XGBClassifier,0.6471617698669434,0.030299282073974608,0.845535118476295,0.8527472527472527,0.8888736263736263,0.8527472527472527,0.5555555555555556,1.0,0.2727272727272727,0.42857142857142855,0.3567530340063379,0.2727272727272727,1.0
LGBMClassifier,0.16315512657165526,0.0072400569915771484,0.3672194472194472,0.5296703296703297,0.2812824538099263,0.5296703296703297,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,1.0
