algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.026554632186889648,0.01207747459411621,0.8092581627179151,0.8241758241758241,0.8778418803418802,0.8241758241758241,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
RidgeClassifier,0.013118219375610352,0.006625032424926758,0.8248292582890105,0.8395604395604395,0.8913034188034187,0.8395604395604395,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
LogisticRegression,0.15891633033752442,0.009328746795654297,0.8248292582890105,0.8395604395604395,0.8913034188034187,0.8395604395604395,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
SGDClassifier,0.01604175567626953,0.00638580322265625,0.8354761415055533,0.8417582417582418,0.8693162393162392,0.8417582417582418,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
LinearDiscriminantAnalysis,0.1839509963989258,0.008125734329223634,0.64247668997669,0.6461538461538462,0.649502442002442,0.6461538461538462,0.6666666666666666,0.7,0.7,0.7,0.325,0.7,0.625
QuadraticDiscriminantAnalysis,0.0507148265838623,0.011301803588867187,0.6689396276238381,0.6923076923076923,0.7617948717948717,0.6923076923076923,0.7777777777777778,0.875,0.7,0.7777777777777778,0.575,0.7,0.875
SVC,0.013596343994140624,0.019576358795166015,0.8092581627179151,0.8241758241758241,0.8778418803418802,0.8241758241758241,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
KNeighborsClassifier,0.0017933368682861329,0.02264852523803711,0.793505043288325,0.8098901098901099,0.8700641025641025,0.8098901098901099,0.7222222222222222,1.0,0.5,0.6666666666666666,0.5547001962252291,0.5,1.0
GaussianNB,0.010420274734497071,0.006039237976074219,0.8248292582890105,0.8395604395604395,0.8913034188034187,0.8395604395604395,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
DecisionTreeClassifier,0.012554550170898437,0.004675436019897461,0.8367365967365966,0.8395604395604396,0.8551068376068376,0.8395604395604396,0.8888888888888888,0.9,0.9,0.9,0.775,0.9,0.875
ExtraTreeClassifier,0.003391599655151367,0.00442662239074707,0.7895292942351767,0.7934065934065934,0.8093131868131866,0.7934065934065934,0.8333333333333334,0.8888888888888888,0.8,0.8421052631578947,0.6708203932499369,0.8,0.875
RandomForestClassifier,0.09141693115234376,0.01685757637023926,0.8248292582890105,0.8395604395604395,0.8913034188034187,0.8395604395604395,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
BaggingClassifier,0.16588077545166016,0.16244540214538575,0.795640946600699,0.8098901098901099,0.8554212454212454,0.8098901098901099,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
AdaBoostClassifier,0.35298981666564944,0.019890499114990235,0.8788680926916221,0.8824175824175823,0.9076068376068374,0.8824175824175823,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
GradientBoostingClassifier,0.9451515674591064,0.004787302017211914,0.8378904428904429,0.8395604395604396,0.8482692307692308,0.8395604395604396,0.8333333333333334,0.8181818181818182,0.9,0.8571428571428571,0.6625413488689132,0.9,0.75
HistGradientBoostingClassifier,1.2833011150360107,0.005616378784179687,0.799920196762302,0.810989010989011,0.8521520146520146,0.810989010989011,0.7777777777777778,0.875,0.7,0.7777777777777778,0.575,0.7,0.875
ExtraTrees-ensemble,0.06652212142944336,0.0164548397064209,0.8236171370768893,0.8384615384615385,0.8903418803418802,0.8384615384615385,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
XGBClassifier,0.20981187820434571,0.008565425872802734,0.8562755081176135,0.8681318681318683,0.908440170940171,0.8681318681318683,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
LGBMClassifier,0.06333456039428711,0.0069310665130615234,0.8035836385836387,0.8098901098901099,0.8392926517926519,0.8098901098901099,0.6666666666666666,0.8333333333333334,0.5,0.625,0.3952847075210474,0.5,0.875
