algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002752256393432617,0.003917169570922851,0.7803638028638029,0.7945054945054945,0.868574481074481,0.7945054945054945,0.9444444444444444,1.0,0.8571428571428571,0.9230769230769231,0.8864052604279183,0.8571428571428571,1.0
RidgeClassifier,0.0014743804931640625,0.0035955429077148436,0.7741243843875423,0.7802197802197802,0.8053696303696303,0.7802197802197802,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
LogisticRegression,0.011518764495849609,0.0048858642578125,0.7900684403315983,0.7956043956043957,0.819985014985015,0.7956043956043957,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
SGDClassifier,0.0016513347625732421,0.004402685165405274,0.7547069597069596,0.7648351648351648,0.7953846153846154,0.7648351648351648,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
LinearDiscriminantAnalysis,0.006574296951293945,0.006629180908203125,0.8069666607901903,0.8098901098901099,0.8334113901971044,0.8098901098901099,0.7777777777777778,0.6363636363636364,1.0,0.7777777777777778,0.6363636363636364,1.0,0.6363636363636364
QuadraticDiscriminantAnalysis,0.0038617610931396484,0.006615781784057617,0.7185902985902987,0.7373626373626373,0.8252664002664002,0.7373626373626373,0.8888888888888888,1.0,0.7142857142857143,0.8333333333333334,0.7774288420142416,0.7142857142857143,1.0
SVC,0.0021634578704833986,0.006964445114135742,0.7093839493839494,0.7230769230769231,0.7831043956043956,0.7230769230769231,0.9444444444444444,1.0,0.8571428571428571,0.9230769230769231,0.8864052604279183,0.8571428571428571,1.0
KNeighborsClassifier,0.0006878852844238281,0.007187604904174805,0.8068900707136001,0.810989010989011,0.8438644688644688,0.810989010989011,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7662337662337663,0.8571428571428571,0.9090909090909091
GaussianNB,0.0008791446685791016,0.003652000427246094,0.5135225885225886,0.6032967032967033,0.5471456748379826,0.6032967032967033,0.4444444444444444,0.4117647058823529,1.0,0.5833333333333334,0.19347649748797374,1.0,0.09090909090909091
DecisionTreeClassifier,0.0026871681213378905,0.0035429000854492188,0.7436652073416778,0.7505494505494505,0.7919669219669221,0.7505494505494505,0.8333333333333334,0.75,0.8571428571428571,0.8,0.6625413488689132,0.8571428571428571,0.8181818181818182
ExtraTreeClassifier,0.0006157875061035157,0.003520488739013672,0.757974802974803,0.7626373626373626,0.7782112332112332,0.7626373626373626,0.7777777777777778,0.6666666666666666,0.8571428571428571,0.75,0.5698028822981898,0.8571428571428571,0.7272727272727273
RandomForestClassifier,0.09113311767578125,0.016638994216918945,0.7654761904761905,0.7670329670329671,0.7832967032967033,0.7670329670329671,0.9444444444444444,1.0,0.8571428571428571,0.9230769230769231,0.8864052604279183,0.8571428571428571,1.0
BaggingClassifier,0.020987701416015626,0.022826957702636718,0.7746275783040489,0.7813186813186814,0.827827727827728,0.7813186813186814,0.8888888888888888,1.0,0.7142857142857143,0.8333333333333334,0.7774288420142416,0.7142857142857143,1.0
AdaBoostClassifier,0.08506078720092773,0.008255863189697265,0.7489368964368964,0.7516483516483516,0.7702686202686203,0.7516483516483516,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoostingClassifier,0.24669947624206542,0.003911495208740234,0.7623512761748057,0.7670329670329671,0.8048962148962149,0.7670329670329671,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
HistGradientBoostingClassifier,0.04094676971435547,0.004637432098388672,0.7042545689604514,0.7098901098901099,0.7366989359846502,0.7098901098901099,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
ExtraTrees-ensemble,0.06297392845153808,0.01603670120239258,0.745959040959041,0.7516483516483516,0.7836996336996338,0.7516483516483516,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7662337662337663,0.8571428571428571,0.9090909090909091
XGBClassifier,0.022154569625854492,0.005498266220092774,0.6747335997335997,0.6780219780219781,0.6892673992673993,0.6780219780219781,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7662337662337663,0.8571428571428571,0.9090909090909091
LGBMClassifier,0.021214866638183595,0.006546783447265625,0.689120879120879,0.6934065934065934,0.7153846153846154,0.6934065934065934,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
