algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002591705322265625,0.003781557083129883,0.35985637169847695,0.5,0.4370305518657167,0.5,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0015105247497558595,0.003466081619262695,0.8495546120546121,0.8527472527472527,0.8924755799755799,0.8527472527472527,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression,0.013448190689086915,0.004473066329956055,0.8508516483516484,0.8527472527472527,0.8691653584510727,0.8527472527472527,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
SGDClassifier,0.0013330459594726562,0.003944015502929688,0.8346459096459096,0.8373626373626374,0.8547222222222223,0.8373626373626374,0.8333333333333334,0.75,0.8571428571428571,0.8,0.6625413488689132,0.8571428571428571,0.8181818181818182
LinearDiscriminantAnalysis,0.006285905838012695,0.0062602519989013675,0.6072767428649781,0.6164835164835164,0.6143894993894994,0.6164835164835164,0.7777777777777778,0.6363636363636364,1.0,0.7777777777777778,0.6363636363636364,1.0,0.6363636363636364
QuadraticDiscriminantAnalysis,0.003955459594726563,0.006678438186645508,0.7764718614718615,0.7791208791208791,0.8021873364730506,0.7791208791208791,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
SVC,0.002172994613647461,0.006951618194580078,0.7996589684824978,0.8087912087912089,0.8731043956043955,0.8087912087912089,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNeighborsClassifier,0.00062103271484375,0.00903778076171875,0.7357129145364439,0.7505494505494505,0.8410389610389609,0.7505494505494505,0.9444444444444444,1.0,0.8571428571428571,0.9230769230769231,0.8864052604279183,0.8571428571428571,1.0
GaussianNB,0.000841522216796875,0.0035687923431396485,0.48867389404541106,0.5879120879120879,0.5616276214627863,0.5879120879120879,0.5,0.4375,1.0,0.6086956521739131,0.2820380374088831,1.0,0.18181818181818182
DecisionTreeClassifier,0.0025821208953857424,0.0035411834716796873,0.8835164835164836,0.8835164835164836,0.8867477760334903,0.8835164835164836,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
ExtraTreeClassifier,0.0006134510040283203,0.0034702301025390627,0.7886371961371961,0.7934065934065934,0.8216056166056166,0.7934065934065934,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7662337662337663,0.8571428571428571,0.9090909090909091
RandomForestClassifier,0.09098515510559083,0.016351318359375,0.8215784215784216,0.8241758241758242,0.8575549450549449,0.8241758241758242,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
BaggingClassifier,0.02512021064758301,0.020994186401367188,0.7597802197802197,0.7648351648351648,0.7977838827838829,0.7648351648351648,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
AdaBoostClassifier,0.08589930534362793,0.007695245742797852,0.8515567765567764,0.8527472527472527,0.8605860805860805,0.8527472527472527,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
GradientBoostingClassifier,0.24676189422607422,0.003661823272705078,0.8397069597069597,0.8395604395604396,0.8455847723704867,0.8395604395604396,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
HistGradientBoostingClassifier,0.040848064422607425,0.00461888313293457,0.7788428238428239,0.7802197802197803,0.7919047619047619,0.7802197802197803,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTrees-ensemble,0.06505904197692872,0.01616806983947754,0.7748443223443224,0.7813186813186814,0.8149420024420024,0.7813186813186814,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
XGBClassifier,0.022536563873291015,0.005608749389648437,0.8108424908424908,0.810989010989011,0.8158228676085819,0.810989010989011,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
LGBMClassifier,0.019444751739501952,0.005921649932861328,0.7636446886446887,0.7648351648351648,0.7745970695970696,0.7648351648351648,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
