algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002870035171508789,0.003927469253540039,0.9406593406593406,0.9406593406593406,0.9488814756671899,0.9406593406593406,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143
RidgeClassifier,0.0014574050903320313,0.003550148010253906,0.9252747252747253,0.9252747252747253,0.9312990580847723,0.9252747252747253,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143
LogisticRegression,0.01151289939880371,0.004870319366455078,0.9406593406593406,0.9406593406593406,0.9488814756671899,0.9406593406593406,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143
SGDClassifier,0.0021046161651611327,0.004400920867919922,0.8131776556776558,0.8252747252747252,0.878464590964591,0.8252747252747252,0.8888888888888888,1.0,0.8181818181818182,0.9,0.7977240352174656,0.8181818181818182,1.0
LinearDiscriminantAnalysis,0.007651662826538086,0.006555032730102539,0.7514098972922503,0.7615384615384616,0.8015205033062175,0.7615384615384616,0.7222222222222222,0.6875,1.0,0.8148148148148148,0.44320263021395917,1.0,0.2857142857142857
QuadraticDiscriminantAnalysis,0.006688833236694336,0.006491470336914063,0.8475396825396826,0.8538461538461538,0.8854464979464979,0.8538461538461538,0.6666666666666666,0.7777777777777778,0.6363636363636364,0.7,0.34188172937891387,0.6363636363636364,0.7142857142857143
SVC,0.0017815113067626953,0.006525564193725586,0.9251282051282053,0.9252747252747253,0.9310439560439561,0.9252747252747253,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571
KNeighborsClassifier,0.0006203651428222656,0.005992317199707031,0.895739554563084,0.8978021978021979,0.9188814756671899,0.8978021978021979,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143
GaussianNB,0.0008443355560302735,0.0035636425018310547,0.9394871794871795,0.9395604395604396,0.943543956043956,0.9395604395604396,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,0.0071814537048339845,0.0035439491271972655,0.8671681259916555,0.8692307692307694,0.8864835164835165,0.8692307692307694,0.7777777777777778,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5324675324675324,0.8181818181818182,0.7142857142857143
ExtraTreeClassifier,0.0006130695343017578,0.003522825241088867,0.9259979236449827,0.9263736263736264,0.935927960927961,0.9263736263736264,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.6446583712203042,0.9090909090909091,0.7142857142857143
RandomForestClassifier,0.0908705711364746,0.01641225814819336,0.9259979236449827,0.9263736263736264,0.935927960927961,0.9263736263736264,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571
BaggingClassifier,0.028667354583740236,0.027871131896972656,0.8830677655677656,0.8835164835164836,0.8980878248735392,0.8835164835164836,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571
AdaBoostClassifier,0.3250739097595215,0.008982610702514649,0.8823443223443224,0.8824175824175825,0.8864010989010989,0.8824175824175825,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571
GradientBoostingClassifier,0.8095492839813232,0.004261112213134766,0.866941391941392,0.868131868131868,0.8830280830280831,0.868131868131868,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143
HistGradientBoostingClassifier,0.04387049674987793,0.004668807983398438,0.9265748467219057,0.9274725274725275,0.9393925518925519,0.9274725274725275,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143
ExtraTrees-ensemble,0.0669466495513916,0.016476202011108398,0.9251282051282053,0.9252747252747253,0.9310439560439561,0.9252747252747253,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571
XGBClassifier,0.03848166465759277,0.005785512924194336,0.8823260073260075,0.8835164835164836,0.9006105006105006,0.8835164835164836,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143
LGBMClassifier,0.039301729202270506,0.006710958480834961,0.8971336996336998,0.8978021978021978,0.9103327228327229,0.8978021978021978,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143
