algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.007940387725830078,0.0060997486114501955,0.9558974358974359,0.956043956043956,0.9618131868131868,0.956043956043956,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
RidgeClassifier,0.0038477420806884766,0.004241752624511719,0.9712820512820514,0.9714285714285715,0.975,0.9714285714285715,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
LogisticRegression,0.1188889503479004,0.005182504653930664,0.9410897435897436,0.9417582417582417,0.9520909645909645,0.9417582417582417,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
SGDClassifier,0.003438901901245117,0.00435328483581543,0.9558974358974359,0.956043956043956,0.9618131868131868,0.956043956043956,0.8333333333333334,0.8888888888888888,0.8,0.8421052631578947,0.6708203932499369,0.8,0.875
LinearDiscriminantAnalysis,0.07317776679992676,0.012681961059570312,0.9279029304029305,0.9285714285714285,0.9367063492063492,0.9285714285714285,0.8333333333333334,0.8888888888888888,0.8,0.8421052631578947,0.6708203932499369,0.8,0.875
QuadraticDiscriminantAnalysis,0.06040658950805664,0.008764982223510742,0.7660360417016764,0.7802197802197802,0.8382234432234432,0.7802197802197802,0.8333333333333334,1.0,0.7,0.8235294117647058,0.7135060680126758,0.7,1.0
SVC,0.005448150634765625,0.009243297576904296,0.9410897435897436,0.9417582417582417,0.9520909645909645,0.9417582417582417,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
KNeighborsClassifier,0.001071596145629883,0.006433248519897461,0.9554487179487181,0.956043956043956,0.9645909645909645,0.956043956043956,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
GaussianNB,0.0026823043823242187,0.005203390121459961,0.9550802139037433,0.9571428571428571,0.97,0.9571428571428571,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
DecisionTreeClassifier,0.03297872543334961,0.004798460006713867,0.8532750582750582,0.8549450549450549,0.8658516483516484,0.8549450549450549,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
ExtraTreeClassifier,0.0014650344848632813,0.004642057418823242,0.8832051282051282,0.8846153846153847,0.8918131868131868,0.8846153846153847,0.8333333333333334,0.8888888888888888,0.8,0.8421052631578947,0.6708203932499369,0.8,0.875
RandomForestClassifier,0.1059575080871582,0.01733875274658203,0.9554487179487181,0.956043956043956,0.9645909645909645,0.956043956043956,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
BaggingClassifier,0.14072942733764648,0.01570882797241211,0.9410897435897436,0.9417582417582417,0.9520909645909645,0.9417582417582417,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
AdaBoostClassifier,0.9506802082061767,0.009163665771484374,0.8959834773070068,0.8989010989010989,0.9218162393162392,0.8989010989010989,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
GradientBoostingClassifier,3.103914403915405,0.00472726821899414,0.8685314685314685,0.8692307692307694,0.8775183150183151,0.8692307692307694,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
HistGradientBoostingClassifier,0.27580795288085935,0.006979465484619141,0.9409032634032635,0.9417582417582417,0.9518162393162394,0.9417582417582417,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
ExtraTrees-ensemble,0.07188129425048828,0.01691093444824219,0.9708333333333334,0.9714285714285715,0.9777777777777779,0.9714285714285715,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
XGBClassifier,0.31009635925292967,0.007285547256469726,0.9121853146853148,0.9131868131868132,0.9226495726495727,0.9131868131868132,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
LGBMClassifier,0.5106696128845215,0.012176847457885743,0.9712820512820514,0.9714285714285715,0.975,0.9714285714285715,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
