algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.00286250114440918,0.003924512863159179,0.9856410256410257,0.9857142857142858,0.9875,0.9857142857142858,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
RidgeClassifier,0.001493692398071289,0.0036600112915039064,0.9856410256410257,0.9857142857142858,0.9875,0.9857142857142858,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
LogisticRegression,0.011497688293457032,0.004655122756958008,0.9712820512820514,0.9714285714285715,0.975,0.9714285714285715,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
SGDClassifier,0.0014145374298095703,0.0042057991027832035,0.9702564102564104,0.9703296703296704,0.9743131868131869,0.9703296703296704,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
LinearDiscriminantAnalysis,0.007943487167358399,0.007029390335083008,0.7898029911265205,0.7945054945054946,0.8367887667887668,0.7945054945054946,0.6666666666666666,0.6428571428571429,0.9,0.75,0.3286878675669582,0.9,0.375
QuadraticDiscriminantAnalysis,0.005208063125610352,0.0069119930267333984,0.7936904761904763,0.7956043956043957,0.8191239316239317,0.7956043956043957,0.8888888888888888,0.9,0.9,0.9,0.775,0.9,0.875
SVC,0.001953887939453125,0.007071208953857422,0.9712820512820514,0.9714285714285715,0.975,0.9714285714285715,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
KNeighborsClassifier,0.0006144046783447266,0.008490467071533203,0.9396978021978022,0.9406593406593406,0.9547008547008546,0.9406593406593406,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
GaussianNB,0.0008868217468261719,0.0037497997283935545,0.9708333333333334,0.9714285714285715,0.9777777777777779,0.9714285714285715,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
DecisionTreeClassifier,0.0075301647186279295,0.0037990093231201174,0.9129270729270729,0.9131868131868132,0.9168956043956044,0.9131868131868132,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
ExtraTreeClassifier,0.0006517410278320312,0.003697967529296875,0.8952267340502635,0.8978021978021978,0.921923076923077,0.8978021978021978,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8,0.8,1.0
RandomForestClassifier,0.09880099296569825,0.016642141342163085,0.9712820512820514,0.9714285714285715,0.975,0.9714285714285715,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
BaggingClassifier,0.024734115600585936,0.021201038360595705,0.9413519813519813,0.9417582417582417,0.9490384615384615,0.9417582417582417,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
AdaBoostClassifier,0.3318058490753174,0.009322357177734376,0.9247619047619049,0.9252747252747253,0.9387362637362637,0.9252747252747253,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
GradientBoostingClassifier,0.8281349182128906,0.004470729827880859,0.9271395271395271,0.9274725274725275,0.932967032967033,0.9274725274725275,0.8888888888888888,0.9,0.9,0.9,0.775,0.9,0.875
HistGradientBoostingClassifier,0.05012168884277344,0.005316495895385742,0.9712820512820514,0.9714285714285715,0.975,0.9714285714285715,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
ExtraTrees-ensemble,0.06820626258850097,0.017797422409057618,0.9712820512820514,0.9714285714285715,0.975,0.9714285714285715,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
XGBClassifier,0.038730287551879884,0.006454753875732422,0.9569230769230769,0.9571428571428571,0.9625,0.9571428571428571,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
LGBMClassifier,0.04069972038269043,0.006394720077514649,0.9712820512820514,0.9714285714285715,0.975,0.9714285714285715,0.9444444444444444,1.0,0.9,0.9473684210526315,0.8944271909999159,0.9,1.0
