algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0035511016845703124,0.004921865463256836,0.9712726489197078,0.9714285714285715,0.9750566893424036,0.9714285714285715,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.6446583712203042,0.8333333333333334,0.8333333333333334
RidgeClassifier,0.001840972900390625,0.004403448104858399,0.9572161172161172,0.9571428571428571,0.9591836734693878,0.9571428571428571,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.6446583712203042,0.8333333333333334,0.8333333333333334
LogisticRegression,0.011600923538208009,0.00486302375793457,0.9712726489197078,0.9714285714285715,0.9750566893424036,0.9714285714285715,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.6446583712203042,0.8333333333333334,0.8333333333333334
SGDClassifier,0.0018068790435791016,0.0044079780578613285,0.9557015533486123,0.956043956043956,0.9615951508808651,0.956043956043956,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.6446583712203042,0.8333333333333334,0.8333333333333334
LinearDiscriminantAnalysis,0.00796647071838379,0.006597566604614258,0.8821978021978021,0.8824175824175823,0.8929487179487179,0.8824175824175823,0.7222222222222222,0.7692307692307693,0.8333333333333334,0.8,0.35082320772281167,0.8333333333333334,0.5
QuadraticDiscriminantAnalysis,0.005782794952392578,0.0068590641021728516,0.941040136334254,0.9417582417582417,0.9486416361416362,0.9417582417582417,0.7222222222222222,1.0,0.5833333333333334,0.7368421052631579,0.5640760748177662,0.5833333333333334,1.0
SVC,0.002010488510131836,0.007222938537597656,0.9712726489197078,0.9714285714285715,0.9750566893424036,0.9714285714285715,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.6446583712203042,0.8333333333333334,0.8333333333333334
KNeighborsClassifier,0.0007099628448486329,0.009541797637939452,0.9572161172161172,0.9571428571428571,0.9591836734693878,0.9571428571428571,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.6446583712203042,0.8333333333333334,0.8333333333333334
GaussianNB,0.0012819290161132813,0.0047818183898925785,0.9400727377197967,0.9417582417582417,0.9509829059829059,0.9417582417582417,0.7222222222222222,1.0,0.5833333333333334,0.7368421052631579,0.5640760748177662,0.5833333333333334,1.0
DecisionTreeClassifier,0.0085845947265625,0.0044170856475830075,0.9414985014985013,0.9417582417582417,0.945467032967033,0.9417582417582417,0.8333333333333334,1.0,0.75,0.8571428571428571,0.7071067811865475,0.75,1.0
ExtraTreeClassifier,0.0007311820983886719,0.00419912338256836,0.9104573857515034,0.910989010989011,0.9181471306471305,0.910989010989011,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.6446583712203042,0.8333333333333334,0.8333333333333334
RandomForestClassifier,0.09004678726196289,0.016882896423339844,0.9712726489197078,0.9714285714285715,0.9750566893424036,0.9714285714285715,0.8333333333333334,1.0,0.75,0.8571428571428571,0.7071067811865475,0.75,1.0
BaggingClassifier,0.027479887008666992,0.029734468460083006,0.9116572316572317,0.9131868131868132,0.92260989010989,0.9131868131868132,0.8888888888888888,1.0,0.8333333333333334,0.9090909090909091,0.7905694150420948,0.8333333333333334,1.0
AdaBoostClassifier,0.28436756134033203,0.008205080032348632,0.9428571428571428,0.9428571428571428,0.9466836734693878,0.9428571428571428,0.7777777777777778,0.9,0.75,0.8181818181818182,0.5533985905294664,0.75,0.8333333333333334
GradientBoostingClassifier,0.7066290378570557,0.003896141052246094,0.9425547002017589,0.9428571428571428,0.9533730158730158,0.9428571428571428,0.7777777777777778,0.9,0.75,0.8181818181818182,0.5533985905294664,0.75,0.8333333333333334
HistGradientBoostingClassifier,0.04454846382141113,0.004893159866333008,0.9287912087912087,0.9285714285714285,0.934438775510204,0.9285714285714285,0.7777777777777778,0.9,0.75,0.8181818181818182,0.5533985905294664,0.75,0.8333333333333334
ExtraTrees-ensemble,0.06556735038757325,0.016237592697143553,0.9569136745607334,0.9571428571428571,0.9587301587301587,0.9571428571428571,0.8333333333333334,1.0,0.75,0.8571428571428571,0.7071067811865475,0.75,1.0
XGBClassifier,0.038418006896972653,0.006142091751098633,0.9287912087912087,0.9285714285714285,0.934438775510204,0.9285714285714285,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.6446583712203042,0.8333333333333334,0.8333333333333334
LGBMClassifier,0.05234494209289551,0.007621145248413086,0.9287912087912087,0.9285714285714285,0.934438775510204,0.9285714285714285,0.8888888888888888,1.0,0.8333333333333334,0.9090909090909091,0.7905694150420948,0.8333333333333334,1.0
