algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0034728050231933594,0.004844284057617188,0.9126340326340326,0.9131868131868133,0.9198717948717949,0.9131868131868133,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
RidgeClassifier,0.001796722412109375,0.004352283477783203,0.9267307692307692,0.9274725274725275,0.9395909645909646,0.9274725274725275,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression,0.02359457015991211,0.004769372940063477,0.9416849816849817,0.9417582417582417,0.9457417582417582,0.9417582417582417,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
SGDClassifier,0.0017586708068847655,0.004004001617431641,0.9268772893772894,0.9274725274725275,0.936019536019536,0.9274725274725275,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
LinearDiscriminantAnalysis,0.00817413330078125,0.006601715087890625,0.758281179604709,0.7637362637362638,0.7919169719169721,0.7637362637362638,0.8333333333333334,0.7692307692307693,1.0,0.8695652173913043,0.6933752452815364,1.0,0.625
QuadraticDiscriminantAnalysis,0.00514369010925293,0.007069253921508789,0.8070216058451353,0.8098901098901099,0.8328205128205128,0.8098901098901099,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
SVC,0.0020534038543701173,0.007031536102294922,0.9115750915750915,0.9120879120879121,0.9233516483516484,0.9120879120879121,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
KNeighborsClassifier,0.000664377212524414,0.007493162155151367,0.9127805527805528,0.9131868131868132,0.9163003663003663,0.9131868131868132,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
GaussianNB,0.001042795181274414,0.004470205307006836,0.9251465201465201,0.9263736263736263,0.9349969474969475,0.9263736263736263,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,0.00895991325378418,0.004401397705078125,0.8959798534798535,0.8978021978021978,0.9127747252747251,0.8978021978021978,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTreeClassifier,0.0007502079010009765,0.004258060455322265,0.8790109890109891,0.8813186813186814,0.883882783882784,0.8813186813186814,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
RandomForestClassifier,0.08923826217651368,0.01700754165649414,0.9263003663003662,0.9263736263736263,0.9281593406593407,0.9263736263736263,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
BaggingClassifier,0.02698683738708496,0.02470569610595703,0.9126340326340326,0.9131868131868133,0.9198717948717949,0.9131868131868133,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
AdaBoostClassifier,0.26762142181396487,0.008346128463745116,0.9263003663003662,0.9263736263736263,0.9281593406593407,0.9263736263736263,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
GradientBoostingClassifier,0.8499653816223145,0.0044100284576416016,0.9126340326340326,0.9131868131868133,0.9198717948717949,0.9131868131868133,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
HistGradientBoostingClassifier,0.048605155944824216,0.00516204833984375,0.8974358974358975,0.8978021978021978,0.9025641025641026,0.8978021978021978,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
ExtraTrees-ensemble,0.06571664810180664,0.016018056869506837,0.9271395271395271,0.9274725274725275,0.932967032967033,0.9274725274725275,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
XGBClassifier,0.04263291358947754,0.006565904617309571,0.9126340326340326,0.9131868131868133,0.9198717948717949,0.9131868131868133,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
LGBMClassifier,0.04082512855529785,0.00664067268371582,0.9263003663003662,0.9263736263736263,0.9281593406593407,0.9263736263736263,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,0.8918825850158447,1.0,0.875
