algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003048992156982422,0.004181289672851562,0.9414985014985013,0.9417582417582417,0.9492935635792777,0.9417582417582417,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
RidgeClassifier,0.001555633544921875,0.0038138866424560548,0.9414985014985013,0.9417582417582417,0.9492935635792777,0.9417582417582417,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
LogisticRegression,0.01146235466003418,0.004720067977905274,0.9414985014985013,0.9417582417582417,0.9492935635792777,0.9417582417582417,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
SGDClassifier,0.0018279075622558594,0.0046408653259277345,0.9272860472860472,0.9274725274725275,0.9332221350078493,0.9274725274725275,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
LinearDiscriminantAnalysis,0.00840458869934082,0.007036399841308594,0.8102072927072929,0.810989010989011,0.8192612942612942,0.810989010989011,0.8333333333333334,0.7,1.0,0.8235294117647058,0.7135060680126758,1.0,0.7272727272727273
QuadraticDiscriminantAnalysis,0.00541377067565918,0.007219266891479492,0.7766820434467493,0.7813186813186814,0.8096184371184372,0.7813186813186814,0.4444444444444444,0.4,0.8571428571428571,0.5454545454545454,0.050964719143762556,0.8571428571428571,0.18181818181818182
SVC,0.0018855094909667968,0.007205820083618164,0.9558574758574758,0.956043956043956,0.9617935635792778,0.956043956043956,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNeighborsClassifier,0.0007987022399902344,0.004809331893920898,0.9095754245754246,0.910989010989011,0.9253619396476539,0.910989010989011,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
GaussianNB,0.0009179592132568359,0.003890705108642578,0.956620879120879,0.9571428571428571,0.9655328798185941,0.9571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,0.007773399353027344,0.003905773162841797,0.9129270729270729,0.9131868131868132,0.9168956043956044,0.9131868131868132,0.8333333333333334,0.75,0.8571428571428571,0.8,0.6625413488689132,0.8571428571428571,0.8181818181818182
ExtraTreeClassifier,0.0006768226623535157,0.0038529396057128905,0.8658050283050285,0.867032967032967,0.8781349206349207,0.867032967032967,0.8333333333333334,0.7,1.0,0.8235294117647058,0.7135060680126758,1.0,0.7272727272727273
RandomForestClassifier,0.09163846969604492,0.016204452514648436,0.9558574758574758,0.956043956043956,0.9617935635792778,0.956043956043956,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
BaggingClassifier,0.026932811737060545,0.02788238525390625,0.9117149517149518,0.9120879120879122,0.9197605965463108,0.9120879120879122,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoostClassifier,0.33285202980041506,0.009745264053344726,0.9118831168831167,0.9131868131868133,0.9209602302459444,0.9131868131868133,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
GradientBoostingClassifier,0.8523810386657715,0.004579591751098633,0.9117149517149518,0.9120879120879122,0.9159340659340659,0.9120879120879122,0.8888888888888888,0.7777777777777778,1.0,0.875,0.7977240352174656,1.0,0.8181818181818182
HistGradientBoostingClassifier,0.051372432708740236,0.005455684661865234,0.9558574758574758,0.956043956043956,0.9617935635792778,0.956043956043956,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
ExtraTrees-ensemble,0.06553049087524414,0.016391181945800783,0.9558574758574758,0.956043956043956,0.9617935635792778,0.956043956043956,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier,0.04138779640197754,0.006537055969238282,0.9129270729270729,0.9131868131868132,0.9168956043956044,0.9131868131868132,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LGBMClassifier,0.05177621841430664,0.008166694641113281,0.9416450216450215,0.9417582417582417,0.9457221350078493,0.9417582417582417,0.9444444444444444,0.875,1.0,0.9333333333333333,0.8918825850158447,1.0,0.9090909090909091
