algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002411174774169922,0.0037522315979003906,0.3476666666666666,0.5125,0.26328125,0.5125,0.45,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0013195991516113282,0.0035301685333251954,0.5943216449872797,0.6,0.6110768398268398,0.6,0.6,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.17910620335162064,0.7272727272727273,0.4444444444444444
LogisticRegression,0.011443138122558594,0.004937124252319336,0.5957922332225738,0.6,0.6095093795093796,0.6,0.5,0.5454545454545454,0.5454545454545454,0.5454545454545454,-0.010101010101010102,0.5454545454545454,0.4444444444444444
SGDClassifier,0.0015790939331054687,0.004517793655395508,0.5983193277310924,0.6,0.606031746031746,0.6,0.5,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.0316069770620507,0.36363636363636365,0.6666666666666666
LinearDiscriminantAnalysis,0.006266069412231445,0.006692028045654297,0.5827145352067953,0.5875,0.5906132756132756,0.5875,0.55,0.5714285714285714,0.7272727272727273,0.64,0.0657951694959769,0.7272727272727273,0.3333333333333333
QuadraticDiscriminantAnalysis,0.004200935363769531,0.0065804004669189455,0.42757066462948823,0.45,0.45,0.45,0.55,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.08206099398622181,0.6363636363636364,0.4444444444444444
SVC,0.0019122600555419923,0.00687260627746582,0.546624649859944,0.55,0.5567609126984127,0.55,0.6,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.24232015747572203,0.45454545454545453,0.7777777777777778
KNeighborsClassifier,0.0005583286285400391,0.006043529510498047,0.5368253968253969,0.55,0.5653846153846154,0.55,0.55,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.08206099398622181,0.6363636363636364,0.4444444444444444
GaussianNB,0.0007620811462402344,0.003628444671630859,0.5346394833236939,0.5375,0.53625,0.5375,0.6,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.24232015747572203,0.45454545454545453,0.7777777777777778
DecisionTreeClassifier,0.008416128158569337,0.0037079811096191405,0.49519932939437583,0.5,0.5086363636363636,0.5,0.45,0.5,0.6363636363636364,0.56,-0.15352206215727945,0.6363636363636364,0.2222222222222222
ExtraTreeClassifier,0.0006425857543945312,0.0036266326904296877,0.5078712807660176,0.525,0.5322727272727273,0.525,0.3,0.38461538461538464,0.45454545454545453,0.4166666666666667,-0.4530333378893934,0.45454545454545453,0.1111111111111111
RandomForestClassifier,0.08833036422729493,0.0161867618560791,0.5945037178164113,0.6,0.6123665223665223,0.6,0.6,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.24232015747572203,0.45454545454545453,0.7777777777777778
BaggingClassifier,0.026955413818359374,0.02496166229248047,0.48494185037528686,0.5,0.5077282786657786,0.5,0.6,0.6666666666666666,0.5454545454545454,0.6,0.21212121212121213,0.5454545454545454,0.6666666666666666
AdaBoostClassifier,0.21353888511657715,0.009082460403442382,0.6813235010603431,0.6875,0.716875,0.6875,0.6,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.1919191919191919,0.6363636363636364,0.5555555555555556
GradientBoostingClassifier,0.9054524421691894,0.00438079833984375,0.55468720821662,0.5625,0.5888167388167389,0.5625,0.55,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.08206099398622181,0.6363636363636364,0.4444444444444444
HistGradientBoostingClassifier,0.03788576126098633,0.005079793930053711,0.5856676003734828,0.5875,0.5920634920634921,0.5875,0.45,0.5,0.45454545454545453,0.47619047619047616,-0.10050378152592121,0.45454545454545453,0.4444444444444444
ExtraTrees-ensemble,0.06656823158264161,0.01626162528991699,0.5599431270483902,0.5625,0.5767748917748918,0.5625,0.65,0.75,0.5454545454545454,0.631578947368421,0.32824397594488725,0.5454545454545454,0.7777777777777778
XGBClassifier,0.03942241668701172,0.006177473068237305,0.5312347989128174,0.5375,0.5631448412698413,0.5375,0.5,0.5384615384615384,0.6363636363636364,0.5833333333333334,-0.0316069770620507,0.6363636363636364,0.3333333333333333
LGBMClassifier,0.028242874145507812,0.006287574768066406,0.5529685639437961,0.5625,0.5807656926406926,0.5625,0.5,0.5384615384615384,0.6363636363636364,0.5833333333333334,-0.0316069770620507,0.6363636363636364,0.3333333333333333
