algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0022583961486816405,0.003763628005981445,0.8616666666666667,0.8625,0.8785119047619048,0.8625,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6005325641789633,0.9090909090909091,0.6666666666666666
RidgeClassifier,0.001195526123046875,0.0035036563873291015,0.8493137254901961,0.85,0.8650198412698412,0.85,0.9,0.8461538461538461,1.0,0.9166666666666666,0.8112457445926347,1.0,0.7777777777777778
LogisticRegression,0.011216688156127929,0.003989648818969726,0.8353734827264239,0.8375,0.8581944444444444,0.8375,0.9,0.8461538461538461,1.0,0.9166666666666666,0.8112457445926347,1.0,0.7777777777777778
SGDClassifier,0.0010190963745117187,0.0036681175231933595,0.7294919786096257,0.75,0.8100942460317461,0.75,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778
LinearDiscriminantAnalysis,0.0024824142456054688,0.005756473541259766,0.7356676003734828,0.7375,0.7447619047619047,0.7375,0.6,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.17910620335162064,0.7272727272727273,0.4444444444444444
QuadraticDiscriminantAnalysis,0.0019120216369628907,0.006277751922607422,0.7055387148111607,0.7125,0.7317893217893219,0.7125,0.6,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.17910620335162064,0.7272727272727273,0.4444444444444444
SVC,0.0012925148010253906,0.006270694732666016,0.8328338001867414,0.8375,0.8715277777777779,0.8375,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6005325641789633,0.9090909090909091,0.6666666666666666
KNeighborsClassifier,0.000464630126953125,0.004039669036865234,0.7937520838294831,0.8,0.8364339826839826,0.8,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6005325641789633,0.9090909090909091,0.6666666666666666
GaussianNB,0.0006941795349121094,0.0036476612091064452,0.822501483724394,0.825,0.8534613997113997,0.825,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6005325641789633,0.9090909090909091,0.6666666666666666
DecisionTreeClassifier,0.0020739555358886717,0.003488016128540039,0.8353399524452156,0.8375,0.8577272727272728,0.8375,0.8,0.8888888888888888,0.7272727272727273,0.8,0.6161616161616161,0.7272727272727273,0.8888888888888888
ExtraTreeClassifier,0.0005643367767333984,0.003473663330078125,0.7702924165617665,0.775,0.807260101010101,0.775,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778
RandomForestClassifier,0.09164905548095703,0.016232824325561522,0.8742063492063492,0.875,0.8905555555555555,0.875,0.85,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.6975184488828855,0.9090909090909091,0.7777777777777778
BaggingClassifier,0.011494731903076172,0.014928531646728516,0.8618534080298786,0.8625,0.8740625,0.8625,0.85,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.6975184488828855,0.9090909090909091,0.7777777777777778
AdaBoostClassifier,0.08645315170288086,0.008707094192504882,0.8734126984126984,0.875,0.8938888888888888,0.875,0.8,0.7333333333333333,1.0,0.8461538461538461,0.6382847385042254,1.0,0.5555555555555556
GradientBoostingClassifier,0.24748997688293456,0.004282379150390625,0.7964705882352942,0.8,0.819047619047619,0.8,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.3939393939393939,0.7272727272727273,0.6666666666666666
HistGradientBoostingClassifier,0.022214460372924804,0.0049839973449707035,0.8351727357609711,0.8375,0.8640548340548341,0.8375,0.85,0.7857142857142857,1.0,0.88,0.723746864455746,1.0,0.6666666666666666
ExtraTrees-ensemble,0.06407546997070312,0.01617279052734375,0.8864659197012138,0.8875,0.9061309523809523,0.8875,0.85,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.6975184488828855,0.9090909090909091,0.7777777777777778
XGBClassifier,0.015483856201171875,0.0057109355926513675,0.8619561157796453,0.8625,0.8740476190476191,0.8625,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666
LGBMClassifier,0.014104747772216797,0.006785106658935547,0.8359710550887023,0.8375,0.8607341269841271,0.8375,0.85,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.6975184488828855,0.9090909090909091,0.7777777777777778
