algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003294515609741211,0.0049664974212646484,0.6686282448201952,0.675,0.6877254689754689,0.675,0.75,0.6363636363636364,0.875,0.7368421052631579,0.5333964609104418,0.875,0.6666666666666666
RidgeClassifier,0.0017085075378417969,0.004475259780883789,0.6488977534333571,0.65,0.649781746031746,0.65,0.8,0.7,0.875,0.7777777777777778,0.6123724356957946,0.875,0.75
LogisticRegression,0.011346769332885743,0.004111289978027344,0.6699601946041573,0.675,0.680850018037518,0.675,0.75,0.6363636363636364,0.875,0.7368421052631579,0.5333964609104418,0.875,0.6666666666666666
SGDClassifier,0.002332735061645508,0.004608774185180664,0.6115141583562637,0.6375,0.6801615051615052,0.6375,0.75,0.6363636363636364,0.875,0.7368421052631579,0.5333964609104418,0.875,0.6666666666666666
LinearDiscriminantAnalysis,0.006163263320922851,0.006915378570556641,0.6820236866676496,0.6875,0.7012121212121212,0.6875,0.75,0.6153846153846154,1.0,0.7619047619047619,0.599144689515278,1.0,0.5833333333333334
QuadraticDiscriminantAnalysis,0.004198837280273438,0.006830167770385742,0.5143159085496547,0.525,0.5259000721500722,0.525,0.6,0.5,0.75,0.6,0.25,0.75,0.5
SVC,0.001963901519775391,0.007098245620727539,0.6739301926144032,0.6875,0.7133143939393939,0.6875,0.65,0.5384615384615384,0.875,0.6666666666666666,0.3851644432598216,0.875,0.5
KNeighborsClassifier,0.0005837917327880859,0.004936933517456055,0.6214878448005383,0.625,0.6382395382395382,0.625,0.6,0.5,0.375,0.42857142857142855,0.1336306209562122,0.375,0.75
GaussianNB,0.0007752418518066406,0.0036192893981933593,0.5864372469635628,0.5875,0.588407738095238,0.5875,0.6,0.5,0.75,0.6,0.25,0.75,0.5
DecisionTreeClassifier,0.006290054321289063,0.003644371032714844,0.5801629742806214,0.6,0.6165516774891774,0.6,0.7,0.625,0.625,0.625,0.375,0.625,0.75
ExtraTreeClassifier,0.0006502628326416016,0.0036231040954589843,0.603135270302453,0.6125,0.6301208513708514,0.6125,0.75,0.6363636363636364,0.875,0.7368421052631579,0.5333964609104418,0.875,0.6666666666666666
RandomForestClassifier,0.0914771556854248,0.016437005996704102,0.7166656253962757,0.725,0.7369002525252526,0.725,0.7,0.5833333333333334,0.875,0.7,0.4583333333333333,0.875,0.5833333333333334
BaggingClassifier,0.026983165740966798,0.023088932037353516,0.7243879495117886,0.725,0.7285267857142858,0.725,0.7,0.625,0.625,0.625,0.375,0.625,0.75
AdaBoostClassifier,0.19165773391723634,0.009567499160766602,0.669309905780494,0.675,0.6821478174603175,0.675,0.7,0.6,0.75,0.6666666666666666,0.408248290463863,0.75,0.6666666666666666
GradientBoostingClassifier,0.7717898845672607,0.004535007476806641,0.6396945606852728,0.65,0.667092803030303,0.65,0.65,0.5555555555555556,0.625,0.5882352941176471,0.28721347895177635,0.625,0.6666666666666666
HistGradientBoostingClassifier,0.04065895080566406,0.005488920211791992,0.7090891633306494,0.7125,0.719695165945166,0.7125,0.8,0.7,0.875,0.7777777777777778,0.6123724356957946,0.875,0.75
ExtraTrees-ensemble,0.0663764476776123,0.01641225814819336,0.7189034598012926,0.725,0.7317956349206349,0.725,0.7,0.5833333333333334,0.875,0.7,0.4583333333333333,0.875,0.5833333333333334
XGBClassifier,0.03498587608337402,0.006126928329467774,0.7338235294117647,0.7375,0.7413347763347764,0.7375,0.7,0.6,0.75,0.6666666666666666,0.408248290463863,0.75,0.6666666666666666
LGBMClassifier,0.03069276809692383,0.008835601806640624,0.6596568627450979,0.6625,0.6617893217893218,0.6625,0.8,0.7,0.875,0.7777777777777778,0.6123724356957946,0.875,0.75
