algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003647327423095703,0.004154777526855469,0.6532179808495598,0.6625,0.688125,0.6625,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.3939393939393939,0.7272727272727273,0.6666666666666666
RidgeClassifier,0.0017778396606445313,0.003891181945800781,0.6177557959756103,0.625,0.6474900793650793,0.625,0.65,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.37283929381053577,0.45454545454545453,0.8888888888888888
LogisticRegression,0.029903221130371093,0.007316732406616211,0.6404247798984641,0.65,0.6767613636363636,0.65,0.75,0.875,0.6363636363636364,0.7368421052631579,0.5333964609104418,0.6363636363636364,0.8888888888888888
SGDClassifier,0.004683351516723633,0.004102468490600586,0.49097840755735495,0.5625,0.5984511322011322,0.5625,0.6,1.0,0.2727272727272727,0.42857142857142855,0.3799802978286742,0.2727272727272727,1.0
LinearDiscriminantAnalysis,0.011141252517700196,0.006553840637207031,0.637843137254902,0.6375,0.6390625,0.6375,0.6,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.24232015747572203,0.45454545454545453,0.7777777777777778
QuadraticDiscriminantAnalysis,0.007546663284301758,0.007162904739379883,0.5894117647058824,0.6,0.6174603174603174,0.6,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666
SVC,0.0032272815704345705,0.007875490188598632,0.5883803683416687,0.6,0.6376529026529028,0.6,0.75,0.6875,1.0,0.8148148148148148,0.5527707983925666,1.0,0.4444444444444444
KNeighborsClassifier,0.0006657600402832031,0.005697202682495117,0.6932105338761686,0.7,0.7248556998556999,0.7,0.8,0.8888888888888888,0.7272727272727273,0.8,0.6161616161616161,0.7272727272727273,0.8888888888888888
GaussianNB,0.0013853549957275391,0.004002952575683593,0.6537147355568409,0.6625,0.7013636363636364,0.6625,0.7,0.7777777777777778,0.6363636363636364,0.7,0.41414141414141414,0.6363636363636364,0.7777777777777778
DecisionTreeClassifier,0.020947599411010744,0.0036769866943359374,0.5717932789604616,0.5875,0.5838887848262848,0.5875,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778
ExtraTreeClassifier,0.0007480144500732422,0.00367279052734375,0.5578011204481793,0.5625,0.5770923520923521,0.5625,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.3939393939393939,0.7272727272727273,0.6666666666666666
RandomForestClassifier,0.09679975509643554,0.01783599853515625,0.6204435107376284,0.625,0.6363997113997113,0.625,0.7,0.7777777777777778,0.6363636363636364,0.7,0.41414141414141414,0.6363636363636364,0.7777777777777778
BaggingClassifier,0.040946578979492186,0.021194887161254884,0.6745098039215687,0.675,0.6761904761904762,0.675,0.6,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.24232015747572203,0.45454545454545453,0.7777777777777778
AdaBoostClassifier,0.4225882053375244,0.008679866790771484,0.6046379712478783,0.6125,0.6273088023088024,0.6125,0.65,0.75,0.5454545454545454,0.631578947368421,0.32824397594488725,0.5454545454545454,0.7777777777777778
GradientBoostingClassifier,2.2090094089508057,0.004420757293701172,0.6392908072319837,0.65,0.6628292887667888,0.65,0.6,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.24232015747572203,0.45454545454545453,0.7777777777777778
HistGradientBoostingClassifier,0.1258784294128418,0.006664800643920899,0.6090802987861812,0.6125,0.6203679653679653,0.6125,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
ExtraTrees-ensemble,0.076041841506958,0.017772912979125977,0.6583986928104576,0.6625,0.6724007936507936,0.6625,0.7,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.4530333378893934,0.5454545454545454,0.8888888888888888
XGBClassifier,1.1977270603179933,0.008788299560546876,0.6107903431278044,0.625,0.646220238095238,0.625,0.7,0.7777777777777778,0.6363636363636364,0.7,0.41414141414141414,0.6363636363636364,0.7777777777777778
LGBMClassifier,0.07114548683166504,0.008126306533813476,0.6078898225957049,0.6125,0.622034632034632,0.6125,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
