algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.00528111457824707,0.005038928985595703,0.6785508359889165,0.6875,0.7017775974025973,0.6875,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666
RidgeClassifier,0.0019805908203125,0.004370594024658203,0.6827310924369747,0.6875,0.7064285714285714,0.6875,0.75,0.6363636363636364,0.875,0.7368421052631579,0.5333964609104418,0.875,0.6666666666666666
LogisticRegression,0.027831172943115233,0.007956743240356445,0.7468487394957983,0.75,0.7602308802308803,0.75,0.85,0.7777777777777778,0.875,0.8235294117647058,0.6975184488828855,0.875,0.8333333333333334
SGDClassifier,0.003197336196899414,0.004120492935180664,0.6372766049739734,0.6625,0.7120833333333332,0.6625,0.85,0.7272727272727273,1.0,0.8421052631578947,0.7385489458759964,1.0,0.75
LinearDiscriminantAnalysis,0.010623741149902343,0.006445932388305664,0.5799673202614379,0.5875,0.6022371031746031,0.5875,0.8,0.7,0.875,0.7777777777777778,0.6123724356957946,0.875,0.75
QuadraticDiscriminantAnalysis,0.0070493221282958984,0.00684823989868164,0.5092132505175984,0.5625,0.5426751893939394,0.5625,0.8,0.8333333333333334,0.625,0.7142857142857143,0.5790660241435861,0.625,0.9166666666666666
SVC,0.0025876522064208984,0.007335090637207031,0.6764701990102447,0.7125,0.815447052947053,0.7125,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666
KNeighborsClassifier,0.0006139278411865234,0.0049550533294677734,0.5887769815323995,0.6,0.6077593586968587,0.6,0.85,0.7272727272727273,1.0,0.8421052631578947,0.7385489458759964,1.0,0.75
GaussianNB,0.0012001991271972656,0.003879547119140625,0.7009380385696176,0.7125,0.7430740093240094,0.7125,0.85,0.7272727272727273,1.0,0.8421052631578947,0.7385489458759964,1.0,0.75
DecisionTreeClassifier,0.018776941299438476,0.0037492752075195313,0.6163804685166914,0.625,0.645000450937951,0.625,0.9,0.8,1.0,0.8888888888888888,0.816496580927726,1.0,0.8333333333333334
ExtraTreeClassifier,0.0007440090179443359,0.003695964813232422,0.7043759697474867,0.7125,0.7356082806082807,0.7125,0.85,0.7272727272727273,1.0,0.8421052631578947,0.7385489458759964,1.0,0.75
RandomForestClassifier,0.09619812965393067,0.018127298355102538,0.7368627450980393,0.7375,0.7396825396825397,0.7375,0.9,0.8,1.0,0.8888888888888888,0.816496580927726,1.0,0.8333333333333334
BaggingClassifier,0.03426337242126465,0.01942596435546875,0.6562753036437247,0.6625,0.6742334054834055,0.6625,0.9,0.8,1.0,0.8888888888888888,0.816496580927726,1.0,0.8333333333333334
AdaBoostClassifier,0.39829487800598146,0.009180688858032226,0.6461506707946336,0.65,0.653786525974026,0.65,0.9,0.8,1.0,0.8888888888888888,0.816496580927726,1.0,0.8333333333333334
GradientBoostingClassifier,1.8248465538024903,0.00391545295715332,0.613033261887751,0.625,0.6417045454545455,0.625,0.95,0.8888888888888888,1.0,0.9411764705882353,0.90267093384844,1.0,0.9166666666666666
HistGradientBoostingClassifier,0.09808096885681153,0.005666875839233398,0.6824013654044615,0.6875,0.6902994227994228,0.6875,0.95,0.8888888888888888,1.0,0.9411764705882353,0.90267093384844,1.0,0.9166666666666666
ExtraTrees-ensemble,0.06587395668029786,0.016075325012207032,0.6975018617433479,0.7,0.7061458333333333,0.7,0.9,0.8,1.0,0.8888888888888888,0.816496580927726,1.0,0.8333333333333334
XGBClassifier,0.08037748336791992,0.0062392234802246095,0.6944652354869074,0.7,0.7051406926406927,0.7,0.95,0.8888888888888888,1.0,0.9411764705882353,0.90267093384844,1.0,0.9166666666666666
LGBMClassifier,0.06482133865356446,0.006649637222290039,0.7349623682131423,0.7375,0.7450744047619047,0.7375,0.9,0.8,1.0,0.8888888888888888,0.816496580927726,1.0,0.8333333333333334
