algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,Strategy
GaussianProcessClassifier,0.0039153575897216,0.0047603607177734,0.7354012069801543,0.75,0.7739845571095572,0.75,0.7,0.5833333333333334,0.875,0.7,0.4583333333333333,0.875,0.5833333333333334,plusrnn,Embedding-based
RidgeClassifier,0.0018619537353515,0.0042370319366455,0.749502938581886,0.7625,0.7816550116550116,0.7625,0.75,0.6363636363636364,0.875,0.7368421052631579,0.5333964609104418,0.875,0.6666666666666666,plusrnn,Embedding-based
LogisticRegression,0.0114946842193603,0.0047516345977783,0.7354012069801543,0.75,0.7739845571095572,0.75,0.7,0.5833333333333334,0.875,0.7,0.4583333333333333,0.875,0.5833333333333334,plusrnn,Embedding-based
SGDClassifier,0.0039904594421386,0.0046050548553466,0.7121945306155831,0.725,0.771439393939394,0.725,0.75,0.6153846153846154,1.0,0.7619047619047619,0.599144689515278,1.0,0.5833333333333334,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0099586963653564,0.0066164493560791,0.6852941176470588,0.6875,0.6912775072150072,0.6875,0.75,0.6666666666666666,0.75,0.7058823529411765,0.4923659639173309,0.75,0.75,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0060554504394531,0.0066728115081787,0.6458356676003735,0.65,0.6661458333333333,0.65,0.65,0.6666666666666666,0.25,0.3636363636363636,0.2286647801900118,0.25,0.9166666666666666,plusrnn,Embedding-based
SVC,0.0022385120391845,0.0068642139434814,0.7074646990436463,0.725,0.7606512237762237,0.725,0.75,0.6153846153846154,1.0,0.7619047619047619,0.599144689515278,1.0,0.5833333333333334,plusrnn,Embedding-based
KNeighborsClassifier,0.0007192134857177,0.0047918796539306,0.6749482401656315,0.6875,0.7148214285714285,0.6875,0.65,0.5555555555555556,0.625,0.5882352941176471,0.2872134789517763,0.625,0.6666666666666666,plusrnn,Embedding-based
GaussianNB,0.0011285781860351,0.0045013427734375,0.749502938581886,0.7625,0.7816550116550116,0.7625,0.7,0.5833333333333334,0.875,0.7,0.4583333333333333,0.875,0.5833333333333334,plusrnn,Embedding-based
DecisionTreeClassifier,0.0138345718383789,0.0035737514495849,0.7309238955059388,0.7375,0.7520229076479076,0.7375,0.7,0.6,0.75,0.6666666666666666,0.408248290463863,0.75,0.6666666666666666,plusrnn,Embedding-based
ExtraTreeClassifier,0.0008761405944824,0.0037259101867675,0.6397215374924354,0.65,0.6548061660561662,0.65,0.7,0.6,0.75,0.6666666666666666,0.408248290463863,0.75,0.6666666666666666,plusrnn,Embedding-based
RandomForestClassifier,0.0884183883666992,0.0163663864135742,0.7268785892470102,0.7375,0.7454807692307692,0.7375,0.75,0.6666666666666666,0.75,0.7058823529411765,0.4923659639173309,0.75,0.75,plusrnn,Embedding-based
BaggingClassifier,0.0346026420593261,0.0208854675292968,0.7580154004921807,0.7625,0.7803373015873015,0.7625,0.85,0.7777777777777778,0.875,0.8235294117647058,0.6975184488828855,0.875,0.8333333333333334,plusrnn,Embedding-based
AdaBoostClassifier,0.3739497184753418,0.0090836524963378,0.705323967398271,0.7125,0.7137202380952381,0.7125,0.8,0.7,0.875,0.7777777777777778,0.6123724356957946,0.875,0.75,plusrnn,Embedding-based
GradientBoostingClassifier,1.5966811656951905,0.0043101787567138,0.7425551718663174,0.75,0.7765800865800865,0.75,0.85,0.7777777777777778,0.875,0.8235294117647058,0.6975184488828855,0.875,0.8333333333333334,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.0646893501281738,0.00507173538208,0.6599105847712659,0.675,0.6940435606060606,0.675,0.85,0.7777777777777778,0.875,0.8235294117647058,0.6975184488828855,0.875,0.8333333333333334,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0646450042724609,0.0161140441894531,0.7366600800972857,0.75,0.779906204906205,0.75,0.85,0.7777777777777778,0.875,0.8235294117647058,0.6975184488828855,0.875,0.8333333333333334,plusrnn,Embedding-based
XGBClassifier,0.0567251682281494,0.0060468673706054,0.7296238994923205,0.7375,0.7603409090909091,0.7375,0.85,0.7777777777777778,0.875,0.8235294117647058,0.6975184488828855,0.875,0.8333333333333334,plusrnn,Embedding-based
LGBMClassifier,0.0480286121368408,0.0084248542785644,0.6872896968872201,0.7,0.7295359848484848,0.7,0.8,0.7,0.875,0.7777777777777778,0.6123724356957946,0.875,0.75,plusrnn,Embedding-based
GaussianProcessClassifier,0.0031314373016357,0.0038944721221923,0.8336181139122315,0.8375,0.8657291666666665,0.8375,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666,plusrnn,Embedding-based
RidgeClassifier,0.0015412807464599,0.0036339282989501,0.8464659197012139,0.85,0.8746180555555556,0.85,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666,plusrnn,Embedding-based
LogisticRegression,0.0114300727844238,0.0044814109802246,0.8336181139122315,0.8375,0.8657291666666665,0.8375,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666,plusrnn,Embedding-based
SGDClassifier,0.0033375263214111,0.0038814067840576,0.8320541549953315,0.8375,0.8623737373737373,0.8375,0.8,0.7692307692307693,0.9090909090909092,0.8333333333333334,0.6005325641789633,0.9090909090909092,0.6666666666666666,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0093493938446044,0.0064067363739013,0.7349670367472225,0.7375,0.7457738095238096,0.7375,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0062837123870849,0.0067612171173095,0.6663997113997114,0.6875,0.7504995004995004,0.6875,0.6,0.6666666666666666,0.5454545454545454,0.6,0.2121212121212121,0.5454545454545454,0.6666666666666666,plusrnn,Embedding-based
SVC,0.0023852348327636,0.0070713520050048,0.8464659197012139,0.85,0.8746180555555556,0.85,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666,plusrnn,Embedding-based
KNeighborsClassifier,0.000563097000122,0.0043188095092773,0.7456434071604351,0.75,0.7784564393939395,0.75,0.85,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.6975184488828855,0.9090909090909092,0.7777777777777778,plusrnn,Embedding-based
GaussianNB,0.0009551525115966,0.0038012504577636,0.8587208216619981,0.8625,0.8855555555555557,0.8625,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666,plusrnn,Embedding-based
DecisionTreeClassifier,0.0114637374877929,0.0036386489868164,0.7836624649859945,0.7875,0.7959163059163059,0.7875,0.7,0.7777777777777778,0.6363636363636364,0.7,0.4141414141414141,0.6363636363636364,0.7777777777777778,plusrnn,Embedding-based
ExtraTreeClassifier,0.0006725788116455,0.0035670280456542,0.798235294117647,0.8,0.8045959595959596,0.8,0.7,0.7777777777777778,0.6363636363636364,0.7,0.4141414141414141,0.6363636363636364,0.7777777777777778,plusrnn,Embedding-based
RandomForestClassifier,0.0907485485076904,0.0163140296936035,0.846171802054155,0.85,0.8744444444444444,0.85,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666,plusrnn,Embedding-based
BaggingClassifier,0.02645263671875,0.0182087421417236,0.795363673134571,0.8,0.8222420634920635,0.8,0.65,0.7,0.6363636363636364,0.6666666666666666,0.3015113445777636,0.6363636363636364,0.6666666666666666,plusrnn,Embedding-based
AdaBoostClassifier,0.3779036998748779,0.0091132640838623,0.7951152957809304,0.8,0.8189466089466089,0.8,0.75,0.875,0.6363636363636364,0.7368421052631579,0.5333964609104418,0.6363636363636364,0.8888888888888888,plusrnn,Embedding-based
GradientBoostingClassifier,1.3933175563812257,0.0043138980865478,0.7946040234275529,0.8,0.8124503968253969,0.8,0.85,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.6975184488828855,0.9090909090909092,0.7777777777777778,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.0623923778533935,0.0053502082824707,0.8583095181392395,0.8625,0.8815277777777777,0.8625,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0669288635253906,0.0163586139678955,0.8715686274509803,0.875,0.8944444444444445,0.875,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666,plusrnn,Embedding-based
XGBClassifier,0.0508035659790039,0.0060065269470214,0.8213678804855276,0.825,0.8492212301587301,0.825,0.85,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.6975184488828855,0.9090909090909092,0.7777777777777778,plusrnn,Embedding-based
LGBMClassifier,0.0492705345153808,0.0084816932678222,0.8477909328373725,0.85,0.8716161616161615,0.85,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778,plusrnn,Embedding-based
GaussianProcessClassifier,0.0039042949676513,0.0047725677490234,0.7472175536881419,0.75,0.7894886363636363,0.75,0.95,0.9375,1.0,0.967741935483871,0.8660254037844386,1.0,0.8,plusrnn,Embedding-based
RidgeClassifier,0.0018413066864013,0.0042341709136962,0.732509308716739,0.7375,0.7848484848484849,0.7375,0.95,0.9375,1.0,0.967741935483871,0.8660254037844386,1.0,0.8,plusrnn,Embedding-based
LogisticRegression,0.0114707946777343,0.0048688411712646,0.7472175536881419,0.75,0.7894886363636363,0.75,0.95,0.9375,1.0,0.967741935483871,0.8660254037844386,1.0,0.8,plusrnn,Embedding-based
SGDClassifier,0.00396089553833,0.0044697284698486,0.7441759753834057,0.75,0.8149972943722943,0.75,0.8,0.9230769230769232,0.8,0.8571428571428571,0.5447047794019222,0.8,0.8,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0094079494476318,0.0064574718475341,0.6576932716406401,0.6625,0.6845652958152957,0.6625,0.7,0.8,0.8,0.8,0.2,0.8,0.4,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0060627460479736,0.0067444801330566,0.6603339642813327,0.675,0.6820906177156177,0.675,0.55,1.0,0.4,0.5714285714285714,0.3779644730092272,0.4,1.0,plusrnn,Embedding-based
SVC,0.0023805141448974,0.007009220123291,0.732509308716739,0.7375,0.7848484848484849,0.7375,0.95,0.9375,1.0,0.967741935483871,0.8660254037844386,1.0,0.8,plusrnn,Embedding-based
KNeighborsClassifier,0.0007701873779296,0.0074982643127441,0.6852464872588712,0.6875,0.7001785714285713,0.6875,0.95,0.9375,1.0,0.967741935483871,0.8660254037844386,1.0,0.8,plusrnn,Embedding-based
GaussianNB,0.001111888885498,0.0042683124542236,0.7451563675402685,0.75,0.7989109848484849,0.75,0.95,0.9375,1.0,0.967741935483871,0.8660254037844386,1.0,0.8,plusrnn,Embedding-based
DecisionTreeClassifier,0.015852928161621,0.0042311668395996,0.6969778518694927,0.7,0.7139285714285714,0.7,0.75,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.4714045207910317,0.7333333333333333,0.8,plusrnn,Embedding-based
ExtraTreeClassifier,0.0008731842041015,0.0042678356170654,0.6679780522195383,0.675,0.6870549242424243,0.675,0.75,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.4714045207910317,0.7333333333333333,0.8,plusrnn,Embedding-based
RandomForestClassifier,0.0887824058532714,0.0175809383392334,0.7842426579268684,0.7875,0.8116540404040403,0.7875,0.85,0.9285714285714286,0.8666666666666667,0.896551724137931,0.629940788348712,0.8666666666666667,0.8,plusrnn,Embedding-based
BaggingClassifier,0.0256711959838867,0.0150037765502929,0.8479411764705883,0.85,0.8646306818181818,0.85,0.75,0.8571428571428571,0.8,0.8275862068965517,0.3779644730092272,0.8,0.6,plusrnn,Embedding-based
AdaBoostClassifier,0.3259754180908203,0.0080818176269531,0.7363194261878472,0.75,0.7955307886557886,0.75,0.75,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.4714045207910317,0.7333333333333333,0.8,plusrnn,Embedding-based
GradientBoostingClassifier,1.56231951713562,0.0040263175964355,0.75758375009923,0.7625,0.7766382575757576,0.7625,0.75,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.4714045207910317,0.7333333333333333,0.8,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.0600715160369873,0.0052790641784667,0.7715169900618817,0.775,0.8133428030303029,0.775,0.85,1.0,0.8,0.8888888888888888,0.7071067811865475,0.8,1.0,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0660164833068847,0.0163151741027832,0.7329536253220464,0.75,0.8033585858585859,0.75,0.9,1.0,0.8666666666666667,0.9285714285714286,0.7867957924694432,0.8666666666666667,1.0,plusrnn,Embedding-based
XGBClassifier,0.0589174270629882,0.0063351154327392,0.7399366912757006,0.75,0.7981002331002331,0.75,0.8,0.9230769230769232,0.8,0.8571428571428571,0.5447047794019222,0.8,0.8,plusrnn,Embedding-based
LGBMClassifier,0.0470969676971435,0.0073664188385009,0.7680181789314917,0.775,0.8117960858585859,0.775,0.75,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.4714045207910317,0.7333333333333333,0.8,plusrnn,Embedding-based
GaussianProcessClassifier,0.0040574073791503,0.0049540519714355,0.7833333333333334,0.7875,0.817003968253968,0.7875,0.8,0.7692307692307693,0.9090909090909092,0.8333333333333334,0.6005325641789633,0.9090909090909092,0.6666666666666666,plusrnn,Embedding-based
RidgeClassifier,0.0018780708312988,0.0042938232421875,0.8216666666666667,0.825,0.8472222222222221,0.825,0.8,0.7692307692307693,0.9090909090909092,0.8333333333333334,0.6005325641789633,0.9090909090909092,0.6666666666666666,plusrnn,Embedding-based
LogisticRegression,0.0114943981170654,0.0048151016235351,0.7833333333333334,0.7875,0.817003968253968,0.7875,0.8,0.7692307692307693,0.9090909090909092,0.8333333333333334,0.6005325641789633,0.9090909090909092,0.6666666666666666,plusrnn,Embedding-based
SGDClassifier,0.0027576923370361,0.004549217224121,0.8079270763636088,0.8125,0.835734126984127,0.8125,0.7,1.0,0.4545454545454545,0.625,0.5222329678670935,0.4545454545454545,1.0,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0093626022338867,0.0066539764404296,0.8105648926237162,0.8125,0.8190625,0.8125,0.75,0.875,0.6363636363636364,0.7368421052631579,0.5333964609104418,0.6363636363636364,0.8888888888888888,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0062433719635009,0.00671067237854,0.6061273281242322,0.6125,0.6189303751803752,0.6125,0.65,0.7,0.6363636363636364,0.6666666666666666,0.3015113445777636,0.6363636363636364,0.6666666666666666,plusrnn,Embedding-based
SVC,0.002222728729248,0.0069421291351318,0.7836274509803921,0.7875,0.8123015873015872,0.7875,0.8,0.7692307692307693,0.9090909090909092,0.8333333333333334,0.6005325641789633,0.9090909090909092,0.6666666666666666,plusrnn,Embedding-based
KNeighborsClassifier,0.0005486965179443,0.0044344902038574,0.7360737628384687,0.7375,0.7545436507936507,0.7375,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778,plusrnn,Embedding-based
GaussianNB,0.0011147499084472,0.00443115234375,0.7430518037174385,0.75,0.781017316017316,0.75,0.85,0.7857142857142857,1.0,0.88,0.723746864455746,1.0,0.6666666666666666,plusrnn,Embedding-based
DecisionTreeClassifier,0.0161060810089111,0.0042268276214599,0.6852707749766573,0.6875,0.6952529761904762,0.6875,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666,plusrnn,Embedding-based
ExtraTreeClassifier,0.0008054256439208,0.0041462421417236,0.8074034445087076,0.8125,0.8491558441558441,0.8125,0.65,0.8333333333333334,0.4545454545454545,0.5882352941176471,0.3728392938105357,0.4545454545454545,0.8888888888888888,plusrnn,Embedding-based
RandomForestClassifier,0.089285135269165,0.0162562847137451,0.8495098039215685,0.85,0.8599206349206348,0.85,0.85,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.6975184488828855,0.9090909090909092,0.7777777777777778,plusrnn,Embedding-based
BaggingClassifier,0.030645751953125,0.0235623836517334,0.7820929586409463,0.7875,0.8159361471861473,0.7875,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778,plusrnn,Embedding-based
AdaBoostClassifier,0.3787153720855712,0.009088134765625,0.7731185807656396,0.775,0.7884126984126982,0.775,0.8,0.8888888888888888,0.7272727272727273,0.8,0.6161616161616161,0.7272727272727273,0.8888888888888888,plusrnn,Embedding-based
GradientBoostingClassifier,1.520167922973633,0.0043291568756103,0.786858076563959,0.7875,0.7956498015873016,0.7875,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.0644166946411132,0.005288028717041,0.7988141923436041,0.8,0.8049206349206349,0.8,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0637552261352539,0.0162099838256835,0.8366619981325863,0.8375,0.8510317460317459,0.8375,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778,plusrnn,Embedding-based
XGBClassifier,0.0555238246917724,0.0060840606689453,0.7606676003734828,0.7625,0.7723164682539683,0.7625,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778,plusrnn,Embedding-based
LGBMClassifier,0.0464184284210205,0.0079718589782714,0.7989122315592903,0.8,0.810079365079365,0.8,0.7,0.7777777777777778,0.6363636363636364,0.7,0.4141414141414141,0.6363636363636364,0.7777777777777778,plusrnn,Embedding-based
GaussianProcessClassifier,0.0034905910491943,0.0040778160095214,0.7315079347896687,0.75,0.8022659632034632,0.75,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.75,plusrnn,Embedding-based
RidgeClassifier,0.0015634536743164,0.0035652160644531,0.7315079347896687,0.75,0.8022659632034632,0.75,0.75,0.7692307692307693,0.8333333333333334,0.8,0.4707565417620041,0.8333333333333334,0.625,plusrnn,Embedding-based
LogisticRegression,0.0115158081054687,0.004798412322998,0.7315079347896687,0.75,0.8022659632034632,0.75,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.75,plusrnn,Embedding-based
SGDClassifier,0.0031533241271972,0.0045197486877441,0.718982695562316,0.7375,0.7787671356421356,0.7375,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.3563483225498992,0.8333333333333334,0.5,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0095980167388916,0.0068620204925537,0.7418269501396437,0.75,0.7742739552114554,0.75,0.6,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.3118047822311617,0.4166666666666667,0.875,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0061593055725097,0.0067133426666259,0.5122222222222221,0.5625,0.5337179487179486,0.5625,0.45,0.5714285714285714,0.3333333333333333,0.4210526315789473,-0.0427960492510912,0.3333333333333333,0.625,plusrnn,Embedding-based
SVC,0.0024937152862548,0.0073896408081054,0.7495165927983265,0.7625,0.8066615675990676,0.7625,0.75,0.7692307692307693,0.8333333333333334,0.8,0.4707565417620041,0.8333333333333334,0.625,plusrnn,Embedding-based
KNeighborsClassifier,0.0006518840789794,0.0050641536712646,0.7351283846872082,0.7375,0.7436079545454545,0.7375,0.85,0.8461538461538461,0.9166666666666666,0.88,0.6847367880174606,0.9166666666666666,0.75,plusrnn,Embedding-based
GaussianNB,0.0011293411254882,0.0044486999511718,0.7647392648631038,0.775,0.8225201534576534,0.775,0.75,0.7692307692307693,0.8333333333333334,0.8,0.4707565417620041,0.8333333333333334,0.625,plusrnn,Embedding-based
DecisionTreeClassifier,0.0181270599365234,0.0043361663818359,0.5914924454630337,0.6,0.607472041847042,0.6,0.75,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5333964609104418,0.6666666666666666,0.875,plusrnn,Embedding-based
ExtraTreeClassifier,0.0008343696594238,0.0042169094085693,0.7324051172425785,0.7375,0.7500270562770563,0.7375,0.75,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5333964609104418,0.6666666666666666,0.875,plusrnn,Embedding-based
RandomForestClassifier,0.0922687053680419,0.0166016101837158,0.8193198777486703,0.825,0.8574314574314574,0.825,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.75,plusrnn,Embedding-based
