algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002843141555786133,0.004769039154052734,0.362,0.525,0.2765625,0.525,0.4,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0016404151916503905,0.0043010711669921875,0.4523976519285444,0.525,0.529783966033966,0.525,0.4,0.5,0.08333333333333333,0.14285714285714285,-0.06804138174397717,0.08333333333333333,0.875
LogisticRegression,0.011333513259887695,0.004431581497192383,0.362,0.525,0.2765625,0.525,0.4,0.0,0.0,0.0,0.0,0.0,1.0
SGDClassifier,0.0023256778717041016,0.004250621795654297,0.3803214756258234,0.525,0.3587053571428571,0.525,0.65,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.23570226039551584,0.8333333333333334,0.375
LinearDiscriminantAnalysis,0.006094932556152344,0.00659942626953125,0.6649271420014455,0.675,0.680242673992674,0.675,0.45,0.5555555555555556,0.4166666666666667,0.47619047619047616,-0.08206099398622181,0.4166666666666667,0.5
QuadraticDiscriminantAnalysis,0.0038712024688720703,0.006589078903198242,0.6653901722632373,0.675,0.681162518037518,0.675,0.45,0.5454545454545454,0.5,0.5217391304347826,-0.12309149097933272,0.5,0.375
SVC,0.0018704891204833984,0.007040548324584961,0.362,0.525,0.2765625,0.525,0.4,0.0,0.0,0.0,0.0,0.0,1.0
KNeighborsClassifier,0.0007340908050537109,0.009109401702880859,0.6687611408199643,0.675,0.6929391788766788,0.675,0.8,0.9,0.75,0.8181818181818182,0.6123724356957946,0.75,0.875
GaussianNB,0.00098114013671875,0.004578971862792968,0.7206005398110661,0.725,0.7472727272727273,0.725,0.7,0.8,0.6666666666666666,0.7272727272727273,0.408248290463863,0.6666666666666666,0.75
DecisionTreeClassifier,0.00936427116394043,0.0043490886688232425,0.733129779577148,0.7375,0.7499621212121211,0.7375,0.7,0.8,0.6666666666666666,0.7272727272727273,0.408248290463863,0.6666666666666666,0.75
ExtraTreeClassifier,0.0007502079010009765,0.0042130470275878905,0.5840751577284085,0.5875,0.596031746031746,0.5875,0.65,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.32824397594488725,0.5833333333333334,0.75
RandomForestClassifier,0.09382133483886719,0.017022132873535156,0.75337584242383,0.7625,0.799818722943723,0.7625,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.75
BaggingClassifier,0.02680368423461914,0.02171611785888672,0.7214529252996744,0.725,0.7401497113997114,0.725,0.75,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5333964609104418,0.6666666666666666,0.875
AdaBoostClassifier,0.18752608299255372,0.007733488082885742,0.6937518037518038,0.7,0.7187179487179487,0.7,0.7,0.8,0.6666666666666666,0.7272727272727273,0.408248290463863,0.6666666666666666,0.75
GradientBoostingClassifier,0.7596597671508789,0.003792858123779297,0.6408119847129135,0.65,0.6528124999999999,0.65,0.8,1.0,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,1.0
HistGradientBoostingClassifier,0.03650197982788086,0.004859828948974609,0.7956246385193754,0.8,0.8149621212121213,0.8,0.75,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5333964609104418,0.6666666666666666,0.875
ExtraTrees-ensemble,0.06470904350280762,0.016170740127563477,0.6952813852813853,0.7125,0.7704079254079254,0.7125,0.7,0.8,0.6666666666666666,0.7272727272727273,0.408248290463863,0.6666666666666666,0.75
XGBClassifier,0.038640832901000975,0.006069278717041016,0.7720700223409201,0.775,0.781787518037518,0.775,0.7,0.875,0.5833333333333334,0.7,0.4583333333333333,0.5833333333333334,0.875
LGBMClassifier,0.02594294548034668,0.006090354919433594,0.7431143366437484,0.75,0.7640873015873015,0.75,0.75,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5333964609104418,0.6666666666666666,0.875
