algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0018120288848876953,0.0037189006805419924,0.5081673097433967,0.575,0.6936813186813187,0.575,0.6,1.0,0.2727272727272727,0.42857142857142855,0.3799802978286742,0.2727272727272727,1.0
RidgeClassifier,0.0011547088623046875,0.0035907745361328123,0.5142156862745099,0.525,0.5416666666666666,0.525,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666
LogisticRegression,0.015435266494750976,0.004704618453979492,0.5674968151903136,0.575,0.584781746031746,0.575,0.6,0.6666666666666666,0.5454545454545454,0.6,0.21212121212121213,0.5454545454545454,0.6666666666666666
SGDClassifier,0.0007667064666748047,0.0037242889404296873,0.3476666666666667,0.5125,0.26328125,0.5125,0.45,0.0,0.0,0.0,0.0,0.0,1.0
LinearDiscriminantAnalysis,0.0008915901184082031,0.0035460472106933595,0.6367647058823529,0.6375,0.6410466269841268,0.6375,0.55,0.5625,0.8181818181818182,0.6666666666666666,0.050251890762960605,0.8181818181818182,0.2222222222222222
QuadraticDiscriminantAnalysis,0.000737142562866211,0.0035917282104492186,0.5645297176761708,0.6125,0.5824304341491842,0.6125,0.75,0.7142857142857143,0.9090909090909091,0.8,0.5044296328024895,0.9090909090909091,0.5555555555555556
SVC,0.0007625102996826171,0.0036242008209228516,0.49647865206688735,0.55,0.5522817460317461,0.55,0.6,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.17910620335162064,0.7272727272727273,0.4444444444444444
KNeighborsClassifier,0.0005719184875488282,0.021067047119140626,0.6811272336194938,0.6875,0.7039664502164502,0.6875,0.7,0.7777777777777778,0.6363636363636364,0.7,0.41414141414141414,0.6363636363636364,0.7777777777777778
GaussianNB,0.0006423473358154296,0.003596591949462891,0.4531283422459893,0.4625,0.4718769078144078,0.4625,0.6,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.24232015747572203,0.45454545454545453,0.7777777777777778
DecisionTreeClassifier,0.0009841442108154297,0.003514719009399414,0.7040505899329428,0.7125,0.7386961996336996,0.7125,0.6,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.1919191919191919,0.6363636363636364,0.5555555555555556
ExtraTreeClassifier,0.0005711078643798828,0.0036235809326171874,0.5974775740255616,0.6,0.6099062049062048,0.6,0.85,0.7857142857142857,1.0,0.88,0.723746864455746,1.0,0.6666666666666666
RandomForestClassifier,0.08736557960510254,0.016366100311279295,0.7077530175362993,0.7125,0.7283784271284273,0.7125,0.7,0.6923076923076923,0.8181818181818182,0.75,0.38981938376529196,0.8181818181818182,0.5555555555555556
BaggingClassifier,0.012020540237426759,0.01848015785217285,0.7347278074522656,0.7375,0.7503972763347763,0.7375,0.55,0.6,0.5454545454545454,0.5714285714285714,0.10050378152592121,0.5454545454545454,0.5555555555555556
AdaBoostClassifier,0.058753013610839844,0.008847570419311524,0.5975256769374416,0.6,0.6026984126984127,0.6,0.7,0.6923076923076923,0.8181818181818182,0.75,0.38981938376529196,0.8181818181818182,0.5555555555555556
GradientBoostingClassifier,0.11099457740783691,0.004427337646484375,0.7192063492063493,0.725,0.7392212301587302,0.725,0.65,0.7,0.6363636363636364,0.6666666666666666,0.30151134457776363,0.6363636363636364,0.6666666666666666
HistGradientBoostingClassifier,0.020444965362548827,0.005196285247802734,0.670971055088702,0.675,0.6975545634920635,0.675,0.7,0.6923076923076923,0.8181818181818182,0.75,0.38981938376529196,0.8181818181818182,0.5555555555555556
ExtraTrees-ensemble,0.0628049373626709,0.016162109375,0.6220290545367945,0.6375,0.6563140331890331,0.6375,0.65,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.28721347895177635,0.7272727272727273,0.5555555555555556
XGBClassifier,0.014761734008789062,0.005744266510009766,0.7461764705882354,0.75,0.7678571428571429,0.75,0.7,0.6923076923076923,0.8181818181818182,0.75,0.38981938376529196,0.8181818181818182,0.5555555555555556
LGBMClassifier,0.01298060417175293,0.00636439323425293,0.6460690943043884,0.65,0.6725545634920634,0.65,0.7,0.6923076923076923,0.8181818181818182,0.75,0.38981938376529196,0.8181818181818182,0.5555555555555556
