algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002974700927734375,0.0039481639862060545,0.6593994434794004,0.6933333333333332,0.7666847966847967,0.6933333333333332,0.7,0.6363636363636364,0.7777777777777778,0.7,0.41414141414141414,0.7777777777777778,0.6363636363636364
RidgeClassifier,0.001582193374633789,0.0035980224609375,0.7705309619860703,0.7816666666666666,0.8162426462426462,0.7816666666666666,0.65,0.625,0.5555555555555556,0.5882352941176471,0.28721347895177635,0.5555555555555556,0.7272727272727273
LogisticRegression,0.011420679092407227,0.004453468322753906,0.6840026180825751,0.7183333333333333,0.7966847966847966,0.7183333333333333,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3939393939393939,0.6666666666666666,0.7272727272727273
SGDClassifier,0.0024364471435546877,0.003966236114501953,0.7227498931523699,0.7433333333333333,0.8082473082473083,0.7433333333333333,0.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1919191919191919,0.5555555555555556,0.6363636363636364
LinearDiscriminantAnalysis,0.007359695434570312,0.006251192092895508,0.7653282527585933,0.7716666666666667,0.7972871572871573,0.7716666666666667,0.45,0.4,0.4444444444444444,0.42105263157894735,-0.10050378152592121,0.4444444444444444,0.45454545454545453
QuadraticDiscriminantAnalysis,0.00453338623046875,0.0065060615539550785,0.5162883830995286,0.5225,0.5334415584415584,0.5225,0.5,0.45454545454545453,0.5555555555555556,0.5,0.010101010101010102,0.5555555555555556,0.45454545454545453
SVC,0.0024303913116455076,0.007052421569824219,0.626397285678481,0.6666666666666666,0.747011877011877,0.6666666666666666,0.7,0.6363636363636364,0.7777777777777778,0.7,0.41414141414141414,0.7777777777777778,0.6363636363636364
KNeighborsClassifier,0.0006313323974609375,0.0047381877899169925,0.6459422517626853,0.6541666666666666,0.6607070707070708,0.6541666666666666,0.55,0.5,0.2222222222222222,0.3076923076923077,0.050251890762960605,0.2222222222222222,0.8181818181818182
GaussianNB,0.0009663581848144531,0.00381011962890625,0.45843863061254364,0.565,0.5397094017094017,0.565,0.55,0.5,0.8888888888888888,0.64,0.20100756305184242,0.8888888888888888,0.2727272727272727
DecisionTreeClassifier,0.006018209457397461,0.0036713123321533204,0.5913534968643328,0.6033333333333333,0.6157575757575758,0.6033333333333333,0.45,0.375,0.3333333333333333,0.35294117647058826,-0.12309149097933272,0.3333333333333333,0.5454545454545454
ExtraTreeClassifier,0.0006629467010498047,0.003580331802368164,0.7044176875755823,0.72,0.775088245088245,0.72,0.5,0.42857142857142855,0.3333333333333333,0.375,-0.0316069770620507,0.3333333333333333,0.6363636363636364
RandomForestClassifier,0.09081554412841797,0.016564559936523438,0.5859812633187247,0.6033333333333333,0.6164868464868465,0.6033333333333333,0.55,0.5,0.5555555555555556,0.5263157894736842,0.10050378152592121,0.5555555555555556,0.5454545454545454
BaggingClassifier,0.02169499397277832,0.015265178680419923,0.5720092652445594,0.575,0.5781481481481481,0.575,0.4,0.2857142857142857,0.2222222222222222,0.25,-0.24232015747572203,0.2222222222222222,0.5454545454545454
AdaBoostClassifier,0.152947998046875,0.009076166152954101,0.5276825611036138,0.5383333333333333,0.5438484848484848,0.5383333333333333,0.55,0.5,0.5555555555555556,0.5263157894736842,0.10050378152592121,0.5555555555555556,0.5454545454545454
GradientBoostingClassifier,0.6065507411956788,0.004352426528930664,0.5680650343808239,0.5766666666666667,0.5761423761423761,0.5766666666666667,0.35,0.25,0.2222222222222222,0.23529411764705882,-0.32824397594488725,0.2222222222222222,0.45454545454545453
HistGradientBoostingClassifier,0.06264395713806152,0.005343914031982422,0.5603750893069778,0.5641666666666667,0.5662121212121212,0.5641666666666667,0.5,0.42857142857142855,0.3333333333333333,0.375,-0.0316069770620507,0.3333333333333333,0.6363636363636364
ExtraTrees-ensemble,0.06322808265686035,0.01612257957458496,0.6853028223926056,0.7041666666666666,0.7544155844155844,0.7041666666666666,0.55,0.5,0.4444444444444444,0.47058823529411764,0.08206099398622181,0.4444444444444444,0.6363636363636364
XGBClassifier,0.04496731758117676,0.005838632583618164,0.6004641878016491,0.6141666666666666,0.6166406926406927,0.6141666666666666,0.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,-0.010101010101010102,0.4444444444444444,0.5454545454545454
LGBMClassifier,0.024721336364746094,0.007447004318237305,0.582865761689291,0.59,0.5979894179894181,0.59,0.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,-0.010101010101010102,0.4444444444444444,0.5454545454545454
