algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003148937225341797,0.004913806915283203,0.5894664768234562,0.6125,0.614607683982684,0.6125,0.5,0.75,0.25,0.375,0.15309310892394865,0.25,0.875
RidgeClassifier,0.0017181873321533204,0.004467391967773437,0.6881890331890331,0.7,0.7275,0.7,0.6,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.31180478223116176,0.4166666666666667,0.875
LogisticRegression,0.011342811584472656,0.004517269134521484,0.5754827996818843,0.6,0.6049107142857143,0.6,0.45,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.05716619504750295,0.16666666666666666,0.875
SGDClassifier,0.0021443843841552736,0.004445266723632812,0.5204233345512118,0.5875,0.4917212301587302,0.5875,0.7,0.6666666666666666,1.0,0.8,0.408248290463863,1.0,0.25
LinearDiscriminantAnalysis,0.006419086456298828,0.006627559661865234,0.6846574993633817,0.7,0.7163003663003662,0.7,0.75,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5333964609104418,0.6666666666666666,0.875
QuadraticDiscriminantAnalysis,0.003940868377685547,0.006573152542114258,0.6235896301840574,0.625,0.6278124999999999,0.625,0.55,0.6666666666666666,0.5,0.5714285714285714,0.12309149097933272,0.5,0.625
SVC,0.0018960952758789063,0.007012510299682617,0.362,0.525,0.2765625,0.525,0.4,0.0,0.0,0.0,0.0,0.0,1.0
KNeighborsClassifier,0.0010994434356689452,0.006792020797729492,0.6975,0.7,0.7016454725829726,0.7,0.75,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5333964609104418,0.6666666666666666,0.875
GaussianNB,0.0015311241149902344,0.004703235626220703,0.6665257601016115,0.675,0.6951803751803753,0.675,0.8,0.9,0.75,0.8181818181818182,0.6123724356957946,0.75,0.875
DecisionTreeClassifier,0.008025550842285156,0.0037210464477539064,0.7102515338119053,0.7125,0.7159920634920633,0.7125,0.55,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.08206099398622181,0.5833333333333334,0.5
ExtraTreeClassifier,0.0006583213806152343,0.003727102279663086,0.6838632119514472,0.6875,0.6901226551226551,0.6875,0.4,0.5,0.5,0.5,-0.25,0.5,0.25
RandomForestClassifier,0.0933774471282959,0.016629457473754883,0.7836336032388663,0.7875,0.8040909090909091,0.7875,0.65,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.32824397594488725,0.5833333333333334,0.75
BaggingClassifier,0.0269010066986084,0.022088098526000976,0.716916358495306,0.725,0.7415719696969697,0.725,0.65,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.28721347895177635,0.6666666666666666,0.625
AdaBoostClassifier,0.21190190315246582,0.008941411972045898,0.7589612511671335,0.7625,0.7727922077922077,0.7625,0.7,0.875,0.5833333333333334,0.7,0.4583333333333333,0.5833333333333334,0.875
GradientBoostingClassifier,0.8689697265625,0.0042859077453613285,0.7203975797164652,0.725,0.7309623015873017,0.725,0.55,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.17118419700436516,0.4166666666666667,0.75
HistGradientBoostingClassifier,0.03742575645446777,0.004927301406860351,0.7423520923520923,0.75,0.7770833333333333,0.75,0.65,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.28721347895177635,0.6666666666666666,0.625
ExtraTrees-ensemble,0.06524133682250977,0.01617140769958496,0.7450756132412479,0.75,0.7634920634920634,0.75,0.65,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.32824397594488725,0.5833333333333334,0.75
XGBClassifier,0.035578680038452146,0.005881309509277344,0.7327707749766573,0.7375,0.7494588744588744,0.7375,0.65,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.28721347895177635,0.6666666666666666,0.625
LGBMClassifier,0.040240907669067384,0.008338737487792968,0.691825821237586,0.7,0.7153571428571428,0.7,0.65,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.28721347895177635,0.6666666666666666,0.625
