algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.17862658500671386,0.044132328033447264,0.5244650963072015,0.575,0.6355548618048618,0.575,0.7,0.6923076923076923,0.8181818181818182,0.75,0.38981938376529196,0.8181818181818182,0.5555555555555556
RidgeClassifier,0.07588734626770019,0.007654428482055664,0.5805142030461724,0.625,0.7298901098901099,0.625,0.65,0.625,0.9090909090909091,0.7407407407407407,0.30151134457776363,0.9090909090909091,0.3333333333333333
LogisticRegression,0.22267017364501954,0.010500526428222657,0.5478354978354979,0.6,0.6956043956043956,0.6,0.6,0.6,0.8181818181818182,0.6923076923076923,0.17407765595569785,0.8181818181818182,0.3333333333333333
SGDClassifier,0.15412483215332032,0.0062351226806640625,0.5670995670995671,0.6125,0.6840659340659341,0.6125,0.65,0.625,0.9090909090909091,0.7407407407407407,0.30151134457776363,0.9090909090909091,0.3333333333333333
LinearDiscriminantAnalysis,0.8492537021636963,0.012912368774414063,0.6654048892284187,0.6875,0.7499372849372848,0.6875,0.7,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.4061811972299616,0.9090909090909091,0.4444444444444444
QuadraticDiscriminantAnalysis,0.3578780174255371,0.025794601440429686,0.4615200599343822,0.55,0.6265079365079365,0.55,0.5,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.09851341054817479,0.18181818181818182,0.8888888888888888
SVC,0.1110219955444336,0.09221472740173339,0.5257051885312756,0.5875,0.6990979853479853,0.5875,0.6,0.5789473684210527,1.0,0.7333333333333333,0.25362863675089403,1.0,0.1111111111111111
KNeighborsClassifier,0.008389663696289063,0.01801748275756836,0.575797461912013,0.6,0.6407913614163613,0.6,0.55,0.6,0.5454545454545454,0.5714285714285714,0.10050378152592121,0.5454545454545454,0.5555555555555556
GaussianNB,0.04600062370300293,0.013195180892944336,0.7323529411764704,0.7375,0.748983134920635,0.7375,0.6,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.17910620335162064,0.7272727272727273,0.4444444444444444
DecisionTreeClassifier,0.13264646530151367,0.005579948425292969,0.5945887445887446,0.625,0.6315705128205128,0.625,0.6,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.1829534767323246,0.9090909090909091,0.2222222222222222
ExtraTreeClassifier,0.013013124465942383,0.00530242919921875,0.5370995670995671,0.5875,0.6673992673992675,0.5875,0.6,0.5789473684210527,1.0,0.7333333333333333,0.25362863675089403,1.0,0.1111111111111111
RandomForestClassifier,0.11895298957824707,0.017629051208496095,0.5429600904920597,0.6,0.70385989010989,0.6,0.65,0.6111111111111112,1.0,0.7586206896551724,0.3685138655950444,1.0,0.2222222222222222
BaggingClassifier,0.4301126003265381,0.17213220596313478,0.5935374274847959,0.625,0.6729807692307693,0.625,0.6,0.8,0.36363636363636365,0.5,0.29012942659282975,0.36363636363636365,0.8888888888888888
AdaBoostClassifier,2.314318227767944,0.05971083641052246,0.5925857589412576,0.6375,0.7102090964590964,0.6375,0.6,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.1829534767323246,0.9090909090909091,0.2222222222222222
GradientBoostingClassifier,5.547488212585449,0.005808830261230469,0.5629764026822851,0.6,0.6262042124542125,0.6,0.45,0.5,0.36363636363636365,0.42105263157894735,-0.08206099398622181,0.36363636363636365,0.5555555555555556
HistGradientBoostingClassifier,5.204449939727783,0.0056951045989990234,0.3476666666666666,0.5125,0.26328125,0.5125,0.45,0.0,0.0,0.0,0.0,0.0,1.0
ExtraTrees-ensemble,0.11670770645141601,0.017830657958984374,0.5573221989718153,0.6125,0.7010515873015872,0.6125,0.6,0.5789473684210527,1.0,0.7333333333333333,0.25362863675089403,1.0,0.1111111111111111
XGBClassifier,1.0425025463104247,0.03252859115600586,0.572099567099567,0.6125,0.677014652014652,0.6125,0.45,0.5,0.36363636363636365,0.42105263157894735,-0.08206099398622181,0.36363636363636365,0.5555555555555556
LGBMClassifier,0.16917643547058106,0.007339334487915039,0.3476666666666666,0.5125,0.26328125,0.5125,0.45,0.0,0.0,0.0,0.0,0.0,1.0
