algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.036222219467163086,0.01302947998046875,0.495651075977163,0.5625,0.6854761904761905,0.5625,0.65,1.0,0.125,0.2222222222222222,0.2809757434745082,0.125,1.0
RidgeClassifier,0.015051460266113282,0.006703853607177734,0.6703781512605043,0.675,0.6751880411255411,0.675,0.9,0.8,1.0,0.8888888888888888,0.816496580927726,1.0,0.8333333333333334
LogisticRegression,0.18642244338989258,0.007937812805175781,0.6462870978350855,0.65,0.6583982683982684,0.65,0.8,0.7,0.875,0.7777777777777778,0.6123724356957946,0.875,0.75
SGDClassifier,0.03375077247619629,0.006848192214965821,0.5450445632798574,0.5625,0.5752346611721612,0.5625,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666
LinearDiscriminantAnalysis,0.1836695671081543,0.009945106506347657,0.5367460317460317,0.55,0.5615079365079365,0.55,0.7,0.6,0.75,0.6666666666666666,0.408248290463863,0.75,0.6666666666666666
QuadraticDiscriminantAnalysis,0.06445393562316895,0.011413192749023438,0.5115133542068526,0.525,0.5166188672438672,0.525,0.5,0.4,0.5,0.4444444444444444,0.0,0.5,0.5
SVC,0.019010591506958007,0.027319717407226562,0.4621017978969924,0.5375,0.43732808857808864,0.5375,0.75,0.6363636363636364,0.875,0.7368421052631579,0.5333964609104418,0.875,0.6666666666666666
KNeighborsClassifier,0.0020996570587158204,0.024197196960449217,0.5282847658167351,0.575,0.6087362637362637,0.575,0.8,0.75,0.75,0.75,0.5833333333333334,0.75,0.8333333333333334
GaussianNB,0.011280345916748046,0.005830955505371094,0.6579106136381678,0.6625,0.6707670454545454,0.6625,0.7,0.6666666666666666,0.5,0.5714285714285714,0.3563483225498992,0.5,0.8333333333333334
DecisionTreeClassifier,0.020151853561401367,0.0042361259460449215,0.5229411764705882,0.525,0.5331547619047619,0.525,0.65,0.5555555555555556,0.625,0.5882352941176471,0.28721347895177635,0.625,0.6666666666666666
ExtraTreeClassifier,0.003839445114135742,0.004028129577636719,0.519829598506069,0.525,0.525995670995671,0.525,0.55,0.45454545454545453,0.625,0.5263157894736842,0.12309149097933272,0.625,0.5
RandomForestClassifier,0.09176626205444335,0.016547489166259765,0.5219784652911588,0.5375,0.550989010989011,0.5375,0.55,0.46153846153846156,0.75,0.5714285714285714,0.17118419700436516,0.75,0.4166666666666667
BaggingClassifier,0.17765278816223146,0.13489151000976562,0.5837662337662337,0.6,0.636019536019536,0.6,0.55,0.46153846153846156,0.75,0.5714285714285714,0.17118419700436516,0.75,0.4166666666666667
AdaBoostClassifier,0.41082191467285156,0.02209763526916504,0.5422707409549515,0.55,0.5499621212121213,0.55,0.6,0.5,0.625,0.5555555555555556,0.2041241452319315,0.625,0.5833333333333334
GradientBoostingClassifier,1.2213467121124268,0.0048831462860107425,0.5813828689370485,0.5875,0.5990534812409813,0.5875,0.65,0.5384615384615384,0.875,0.6666666666666666,0.3851644432598216,0.875,0.5
HistGradientBoostingClassifier,1.7213587284088134,0.006016302108764649,0.362,0.525,0.2765625,0.525,0.7,0.6666666666666666,0.5,0.5714285714285714,0.3563483225498992,0.5,0.8333333333333334
ExtraTrees-ensemble,0.07221174240112305,0.01644306182861328,0.5968155872335439,0.6,0.6043849206349206,0.6,0.7,0.6,0.75,0.6666666666666666,0.408248290463863,0.75,0.6666666666666666
XGBClassifier,0.29772329330444336,0.009330177307128906,0.5830372310867666,0.5875,0.5963906926406926,0.5875,0.7,0.625,0.625,0.625,0.375,0.625,0.75
LGBMClassifier,0.06027431488037109,0.008196067810058594,0.362,0.525,0.2765625,0.525,0.7,0.6666666666666666,0.5,0.5714285714285714,0.3563483225498992,0.5,0.8333333333333334
