algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0038320541381835936,0.004978370666503906,0.4981203337725077,0.5900000000000001,0.7723809523809523,0.5900000000000001,0.5,1.0,0.09090909090909091,0.16666666666666666,0.2075143391598224,0.09090909090909091,1.0
RidgeClassifier,0.0018712520599365235,0.004327917098999023,0.7267216117216118,0.7283333333333333,0.7332804232804232,0.7283333333333333,0.65,0.6428571428571429,0.8181818181818182,0.72,0.28511240114923325,0.8181818181818182,0.4444444444444444
LogisticRegression,0.01337428092956543,0.004029035568237305,0.713976513682396,0.7158333333333333,0.7213756613756612,0.7158333333333333,0.65,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.28721347895177635,0.7272727272727273,0.5555555555555556
SGDClassifier,0.0018147468566894532,0.004288101196289062,0.6970123649999811,0.7024999999999999,0.7245844155844156,0.7024999999999999,0.6,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.1919191919191919,0.6363636363636364,0.5555555555555556
LinearDiscriminantAnalysis,0.007881498336791993,0.006698083877563476,0.5933024869866974,0.6016666666666667,0.6148917748917749,0.6016666666666667,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778
QuadraticDiscriminantAnalysis,0.004690742492675782,0.00646820068359375,0.5862288413341046,0.5991666666666667,0.6171717171717173,0.5991666666666667,0.65,0.75,0.5454545454545454,0.631578947368421,0.32824397594488725,0.5454545454545454,0.7777777777777778
SVC,0.0024419307708740236,0.007051420211791992,0.700633484162896,0.7041666666666666,0.7110899470899471,0.7041666666666666,0.7,0.6923076923076923,0.8181818181818182,0.75,0.38981938376529196,0.8181818181818182,0.5555555555555556
KNeighborsClassifier,0.0005548477172851562,0.004635143280029297,0.6516948479796778,0.6558333333333334,0.6606036556036556,0.6558333333333334,0.45,0.5,0.36363636363636365,0.42105263157894735,-0.08206099398622181,0.36363636363636365,0.5555555555555556
GaussianNB,0.0008548736572265625,0.0035993099212646485,0.33628458498023717,0.4875,0.2568888888888889,0.4875,0.4,0.0,0.0,0.0,-0.25362863675089403,0.0,0.8888888888888888
DecisionTreeClassifier,0.004090213775634765,0.0037716388702392577,0.6327757691225184,0.6399999999999999,0.667037037037037,0.6399999999999999,0.55,0.6,0.5454545454545454,0.5714285714285714,0.10050378152592121,0.5454545454545454,0.5555555555555556
ExtraTreeClassifier,0.0006688117980957031,0.0035849094390869142,0.716735844135225,0.7191666666666666,0.736060606060606,0.7191666666666666,0.6,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.17910620335162064,0.7272727272727273,0.4444444444444444
RandomForestClassifier,0.09452142715454101,0.016891622543334962,0.7115414604888289,0.7166666666666667,0.7356969696969697,0.7166666666666667,0.7,0.7777777777777778,0.6363636363636364,0.7,0.41414141414141414,0.6363636363636364,0.7777777777777778
BaggingClassifier,0.024139404296875,0.018155241012573244,0.6371758959994254,0.6399999999999999,0.642037037037037,0.6399999999999999,0.65,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.28721347895177635,0.7272727272727273,0.5555555555555556
AdaBoostClassifier,0.10652198791503906,0.009244871139526368,0.684047619047619,0.6900000000000001,0.7072053872053872,0.6900000000000001,0.6,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.1919191919191919,0.6363636363636364,0.5555555555555556
GradientBoostingClassifier,0.4035775184631348,0.004398775100708008,0.6456349206349206,0.6516666666666666,0.6701948051948051,0.6516666666666666,0.6,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.1919191919191919,0.6363636363636364,0.5555555555555556
HistGradientBoostingClassifier,0.059732675552368164,0.005280971527099609,0.6605555555555556,0.665,0.6759090909090909,0.665,0.65,0.6428571428571429,0.8181818181818182,0.72,0.28511240114923325,0.8181818181818182,0.4444444444444444
ExtraTrees-ensemble,0.0661862850189209,0.01625027656555176,0.7769218798630564,0.7791666666666667,0.7861851851851852,0.7791666666666667,0.65,0.7,0.6363636363636364,0.6666666666666666,0.30151134457776363,0.6363636363636364,0.6666666666666666
XGBClassifier,0.03274693489074707,0.006310129165649414,0.6700723287720192,0.6783333333333333,0.7080952380952381,0.6783333333333333,0.55,0.6,0.5454545454545454,0.5714285714285714,0.10050378152592121,0.5454545454545454,0.5555555555555556
LGBMClassifier,0.02170395851135254,0.006270551681518554,0.6444751395834987,0.6525000000000001,0.6670418470418471,0.6525000000000001,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666
