algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0037221908569335938,0.004931783676147461,0.3141304347826087,0.475,0.23494791666666667,0.475,0.55,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0018451213836669922,0.004382991790771484,0.49792250233426705,0.5,0.5021577380952381,0.5,0.45,0.4,0.4444444444444444,0.42105263157894735,-0.10050378152592121,0.4444444444444444,0.45454545454545453
LogisticRegression,0.030323219299316407,0.008100271224975586,0.5536796536796537,0.5625,0.565625,0.5625,0.55,0.5,0.5555555555555556,0.5263157894736842,0.10050378152592121,0.5555555555555556,0.5454545454545454
SGDClassifier,0.008719635009765626,0.004116868972778321,0.54437441643324,0.55,0.5518181818181819,0.55,0.65,0.625,0.5555555555555556,0.5882352941176471,0.28721347895177635,0.5555555555555556,0.7272727272727273
LinearDiscriminantAnalysis,0.007695960998535156,0.006164026260375976,0.5589822595704949,0.5625,0.5626984126984127,0.5625,0.6,0.5714285714285714,0.4444444444444444,0.5,0.17910620335162064,0.4444444444444444,0.7272727272727273
QuadraticDiscriminantAnalysis,0.005179214477539063,0.0067026615142822266,0.4707385450806504,0.4875,0.48812354312354317,0.4875,0.65,0.625,0.5555555555555556,0.5882352941176471,0.28721347895177635,0.5555555555555556,0.7272727272727273
SVC,0.002601003646850586,0.007315778732299804,0.5079642179584971,0.5875,0.6243939393939394,0.5875,0.55,0.5,0.8888888888888888,0.64,0.20100756305184242,0.8888888888888888,0.2727272727272727
KNeighborsClassifier,0.0005994796752929688,0.007445001602172851,0.3659881422924901,0.5125,0.3454241071428571,0.5125,0.55,0.0,0.0,0.0,0.0,0.0,1.0
GaussianNB,0.001041269302368164,0.004436206817626953,0.37757246376811593,0.5,0.31742424242424244,0.5,0.55,0.0,0.0,0.0,0.0,0.0,1.0
DecisionTreeClassifier,0.005204391479492187,0.004416084289550782,0.5548646125116713,0.5625,0.5866378066378066,0.5625,0.65,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.28511240114923325,0.4444444444444444,0.8181818181818182
ExtraTreeClassifier,0.0008137702941894531,0.004249286651611328,0.5533445037934202,0.5625,0.5793560606060606,0.5625,0.65,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.28511240114923325,0.4444444444444444,0.8181818181818182
RandomForestClassifier,0.09155254364013672,0.016655921936035156,0.6196017570320975,0.625,0.633001443001443,0.625,0.9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.797979797979798,0.8888888888888888,0.9090909090909091
BaggingClassifier,0.026847696304321288,0.02983822822570801,0.582557354925776,0.6,0.602310606060606,0.6,0.75,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.5044296328024895,0.5555555555555556,0.9090909090909091
AdaBoostClassifier,0.11376752853393554,0.009303760528564454,0.5560039221184733,0.575,0.6210912698412698,0.575,0.6,0.6,0.3333333333333333,0.42857142857142855,0.17407765595569785,0.3333333333333333,0.8181818181818182
GradientBoostingClassifier,0.46178464889526366,0.004402875900268555,0.5972636702822461,0.6125,0.6511760461760462,0.6125,0.55,0.5,0.4444444444444444,0.47058823529411764,0.08206099398622181,0.4444444444444444,0.6363636363636364
HistGradientBoostingClassifier,0.07447423934936523,0.005259370803833008,0.5259293879495118,0.5375,0.5465728715728716,0.5375,0.65,0.75,0.3333333333333333,0.46153846153846156,0.30151134457776363,0.3333333333333333,0.9090909090909091
ExtraTrees-ensemble,0.06508212089538574,0.016314888000488283,0.6960075528186984,0.7,0.7141558441558441,0.7,0.6,0.6,0.3333333333333333,0.42857142857142855,0.17407765595569785,0.3333333333333333,0.8181818181818182
XGBClassifier,0.033836746215820314,0.005669784545898437,0.5718347338935574,0.575,0.5783333333333334,0.575,0.6,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.1829534767323246,0.2222222222222222,0.9090909090909091
LGBMClassifier,0.02034869194030762,0.006566381454467774,0.5043937899046258,0.5125,0.5176623376623376,0.5125,0.75,1.0,0.4444444444444444,0.6153846153846154,0.5527707983925666,0.4444444444444444,1.0
