algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003927993774414063,0.004793739318847657,0.6856419895893581,0.7,0.7540909090909091,0.7,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
RidgeClassifier,0.001873159408569336,0.004284477233886719,0.6677796111697041,0.675,0.6949116161616161,0.675,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
LogisticRegression,0.011357927322387695,0.004166221618652344,0.6991115609536662,0.7125,0.7613636363636364,0.7125,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
SGDClassifier,0.0024336814880371095,0.0042343616485595705,0.596421568627451,0.6375,0.6227106227106227,0.6375,0.45,0.5,0.09090909090909091,0.15384615384615385,-0.0335012605086404,0.09090909090909091,0.8888888888888888
LinearDiscriminantAnalysis,0.00982365608215332,0.006685829162597657,0.5791176470588235,0.5875,0.5928373015873015,0.5875,0.6,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.24232015747572203,0.45454545454545453,0.7777777777777778
QuadraticDiscriminantAnalysis,0.008156681060791015,0.006768655776977539,0.5026894429660616,0.5375,0.4955753968253968,0.5375,0.5,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.09851341054817479,0.18181818181818182,0.8888888888888888
SVC,0.002236175537109375,0.00710749626159668,0.6711750530171583,0.6875,0.7480303030303028,0.6875,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
KNeighborsClassifier,0.000615692138671875,0.004874038696289063,0.6036389049546944,0.6125,0.6265151515151515,0.6125,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778
GaussianNB,0.0008887767791748047,0.003630256652832031,0.7001089261615577,0.7125,0.7601515151515151,0.7125,0.85,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.6975184488828855,0.9090909090909091,0.7777777777777778
DecisionTreeClassifier,0.015863418579101562,0.0036500930786132813,0.5275256769374417,0.5375,0.5395833333333334,0.5375,0.7,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.4530333378893934,0.5454545454545454,0.8888888888888888
ExtraTreeClassifier,0.0007044792175292969,0.003583335876464844,0.6991129785247432,0.7,0.7101587301587301,0.7,0.8,0.8888888888888888,0.7272727272727273,0.8,0.6161616161616161,0.7272727272727273,0.8888888888888888
RandomForestClassifier,0.08810896873474121,0.01636967658996582,0.6866666666666668,0.6875,0.6928571428571428,0.6875,0.8,0.8888888888888888,0.7272727272727273,0.8,0.6161616161616161,0.7272727272727273,0.8888888888888888
BaggingClassifier,0.03164100646972656,0.014970731735229493,0.646071778238961,0.65,0.6612121212121213,0.65,0.8,1.0,0.6363636363636364,0.7777777777777778,0.6637465183030647,0.6363636363636364,1.0
AdaBoostClassifier,0.379449462890625,0.009030675888061524,0.6097759103641457,0.6125,0.6192063492063492,0.6125,0.6,0.6666666666666666,0.5454545454545454,0.6,0.21212121212121213,0.5454545454545454,0.6666666666666666
GradientBoostingClassifier,1.7946380138397218,0.004343748092651367,0.6352707749766573,0.6375,0.643095238095238,0.6375,0.65,0.75,0.5454545454545454,0.631578947368421,0.32824397594488725,0.5454545454545454,0.7777777777777778
HistGradientBoostingClassifier,0.06305804252624511,0.005316352844238282,0.6597945845004668,0.6625,0.6703769841269841,0.6625,0.6,0.6666666666666666,0.5454545454545454,0.6,0.21212121212121213,0.5454545454545454,0.6666666666666666
ExtraTrees-ensemble,0.06691966056823731,0.016307544708251954,0.6956349206349206,0.7,0.708939393939394,0.7,0.8,0.8888888888888888,0.7272727272727273,0.8,0.6161616161616161,0.7272727272727273,0.8888888888888888
XGBClassifier,0.0639885425567627,0.006078958511352539,0.6235294117647059,0.625,0.6297420634920635,0.625,0.7,0.7777777777777778,0.6363636363636364,0.7,0.41414141414141414,0.6363636363636364,0.7777777777777778
LGBMClassifier,0.05173249244689941,0.008506441116333007,0.6198459383753502,0.625,0.6338600288600288,0.625,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778
