algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.010284233093261718,0.005935287475585938,0.7274151854337612,0.7375,0.7764595473970474,0.7375,0.65,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.23570226039551584,0.8333333333333334,0.375
RidgeClassifier,0.004392576217651367,0.004321479797363281,0.7515123911176543,0.7625,0.8093240093240093,0.7625,0.7,0.8,0.6666666666666666,0.7272727272727273,0.408248290463863,0.6666666666666666,0.75
LogisticRegression,0.12732930183410646,0.005368995666503906,0.7066018707814374,0.725,0.7715070346320345,0.725,0.7,0.75,0.75,0.75,0.375,0.75,0.625
SGDClassifier,0.008609962463378907,0.004926156997680664,0.782022108438517,0.7875,0.8149134199134199,0.7875,0.75,0.7058823529411765,1.0,0.8275862068965517,0.5144957554275266,1.0,0.375
LinearDiscriminantAnalysis,0.09154782295227051,0.010121297836303712,0.7077770698513733,0.7125,0.7228869047619048,0.7125,0.55,0.6153846153846154,0.6666666666666666,0.64,0.04279604925109129,0.6666666666666666,0.375
QuadraticDiscriminantAnalysis,0.05160279273986816,0.012718582153320312,0.6474806772175193,0.6625,0.684020979020979,0.6625,0.7,0.875,0.5833333333333334,0.7,0.4583333333333333,0.5833333333333334,0.875
SVC,0.007807874679565429,0.010607433319091798,0.6520828304971528,0.6875,0.7964102564102564,0.6875,0.75,0.7058823529411765,1.0,0.8275862068965517,0.5144957554275266,1.0,0.375
KNeighborsClassifier,0.0014912605285644532,0.007355928421020508,0.6247763347763348,0.6375,0.6473310023310024,0.6375,0.7,0.75,0.75,0.75,0.375,0.75,0.625
GaussianNB,0.0031064510345458984,0.005262899398803711,0.6980622731241926,0.7125,0.7554852092352092,0.7125,0.55,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.08206099398622181,0.5833333333333334,0.5
DecisionTreeClassifier,0.06294960975646972,0.004945135116577149,0.589935064935065,0.6,0.6108333333333333,0.6,0.7,0.875,0.5833333333333334,0.7,0.4583333333333333,0.5833333333333334,0.875
ExtraTreeClassifier,0.0014017581939697265,0.004125642776489258,0.66247682142419,0.675,0.7069551282051283,0.675,0.7,0.75,0.75,0.75,0.375,0.75,0.625
RandomForestClassifier,0.12591094970703126,0.018619680404663087,0.7150022629589193,0.725,0.7590285409035408,0.725,0.7,0.8,0.6666666666666666,0.7272727272727273,0.408248290463863,0.6666666666666666,0.75
BaggingClassifier,0.18523621559143066,0.018346881866455077,0.6598497484627515,0.7,0.677061775030525,0.7,0.75,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5333964609104418,0.6666666666666666,0.875
AdaBoostClassifier,1.3537236213684083,0.012000465393066406,0.706245931571009,0.7125,0.7218650793650795,0.7125,0.7,0.875,0.5833333333333334,0.7,0.4583333333333333,0.5833333333333334,0.875
GradientBoostingClassifier,6.526702976226806,0.004583978652954101,0.7226140010660135,0.725,0.7291269841269841,0.725,0.7,0.8,0.6666666666666666,0.7272727272727273,0.408248290463863,0.6666666666666666,0.75
HistGradientBoostingClassifier,0.4751930236816406,0.005701255798339844,0.697924430641822,0.7125,0.7460335497835497,0.7125,0.65,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.32824397594488725,0.5833333333333334,0.75
ExtraTrees-ensemble,0.07059803009033203,0.01710348129272461,0.7924682850689042,0.8,0.8381141774891774,0.8,0.4,0.5,0.4166666666666667,0.45454545454545453,-0.2041241452319315,0.4166666666666667,0.375
XGBClassifier,0.42235188484191893,0.008356761932373048,0.7299784941580608,0.7375,0.7641237928737928,0.7375,0.7,0.875,0.5833333333333334,0.7,0.4583333333333333,0.5833333333333334,0.875
LGBMClassifier,0.3597291946411133,0.008198261260986328,0.718986503692386,0.725,0.7516369047619047,0.725,0.75,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5333964609104418,0.6666666666666666,0.875
