algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0032320022583007812,0.003876209259033203,0.7728874883286648,0.7875,0.8618376068376067,0.7875,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6005325641789633,0.9090909090909091,0.6666666666666666
RidgeClassifier,0.0016116619110107422,0.0036646366119384766,0.8741083099906628,0.875,0.8925396825396825,0.875,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
LogisticRegression,0.01151289939880371,0.004878711700439453,0.8204855275443512,0.825,0.8568055555555555,0.825,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6005325641789633,0.9090909090909091,0.6666666666666666
SGDClassifier,0.002242565155029297,0.004394054412841797,0.8991129785247433,0.9,0.9176388888888887,0.9,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
LinearDiscriminantAnalysis,0.009476947784423827,0.006633234024047851,0.8098544249008646,0.8125,0.8374693362193362,0.8125,0.7,0.7777777777777778,0.6363636363636364,0.7,0.41414141414141414,0.6363636363636364,0.7777777777777778
QuadraticDiscriminantAnalysis,0.006113576889038086,0.006816864013671875,0.7729916798028252,0.775,0.7908225108225108,0.775,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.3939393939393939,0.7272727272727273,0.6666666666666666
SVC,0.002274322509765625,0.007048797607421875,0.8867553688141925,0.8875,0.9018402777777779,0.8875,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6005325641789633,0.9090909090909091,0.6666666666666666
KNeighborsClassifier,0.0007211208343505859,0.007514667510986328,0.6872338918391551,0.7125,0.8094855144855145,0.7125,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666
GaussianNB,0.0008948326110839843,0.003698444366455078,0.8477404295051354,0.85,0.8591991341991342,0.85,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
DecisionTreeClassifier,0.01308612823486328,0.0037369728088378906,0.7082862235803413,0.7125,0.7243353174603175,0.7125,0.6,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.24232015747572203,0.45454545454545453,0.7777777777777778
ExtraTreeClassifier,0.0007020473480224609,0.003705883026123047,0.7336671335200746,0.7375,0.7425036075036073,0.7375,0.65,1.0,0.36363636363636365,0.5333333333333333,0.45226701686664544,0.36363636363636365,1.0
RandomForestClassifier,0.09269180297851562,0.016611766815185548,0.8336783804430862,0.8375,0.8575892857142857,0.8375,0.85,0.9,0.8181818181818182,0.8571428571428571,0.7035264706814485,0.8181818181818182,0.8888888888888888
BaggingClassifier,0.02864084243774414,0.02081265449523926,0.788288770053476,0.8,0.8216117216117216,0.8,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666
AdaBoostClassifier,0.3779773235321045,0.009221458435058593,0.8000980392156862,0.8,0.8025545634920634,0.8,0.85,0.9,0.8181818181818182,0.8571428571428571,0.7035264706814485,0.8181818181818182,0.8888888888888888
GradientBoostingClassifier,1.4480242252349853,0.004456567764282227,0.7282835327726969,0.7375,0.7626717726717727,0.7375,0.6,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.24232015747572203,0.45454545454545453,0.7777777777777778
HistGradientBoostingClassifier,0.07005109786987304,0.0054320812225341795,0.8237806620623959,0.825,0.839170725108225,0.825,0.7,0.7777777777777778,0.6363636363636364,0.7,0.41414141414141414,0.6363636363636364,0.7777777777777778
ExtraTrees-ensemble,0.07183761596679687,0.01702437400817871,0.8869561157796451,0.8875,0.9014285714285715,0.8875,0.8,0.8888888888888888,0.7272727272727273,0.8,0.6161616161616161,0.7272727272727273,0.8888888888888888
XGBClassifier,0.1214820384979248,0.007132434844970703,0.7836181139122316,0.7875,0.8090624999999999,0.7875,0.7,0.7777777777777778,0.6363636363636364,0.7,0.41414141414141414,0.6363636363636364,0.7777777777777778
LGBMClassifier,0.04214596748352051,0.00650944709777832,0.7962698412698412,0.8,0.8216666666666667,0.8,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778
