algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.004207468032836914,0.004910993576049805,0.7672672064777328,0.775,0.8093434343434345,0.775,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,-0.041666666666666664,0.5833333333333334,0.375
RidgeClassifier,0.0019078731536865234,0.004401588439941406,0.7453723469512943,0.7625,0.8173322510822512,0.7625,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.3563483225498992,0.8333333333333334,0.5
LogisticRegression,0.011432504653930664,0.004570150375366211,0.7239141396958735,0.7375,0.7613935023310023,0.7375,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5
SGDClassifier,0.0028978824615478516,0.004265308380126953,0.69468720821662,0.7,0.7052236652236653,0.7,0.7,0.8,0.6666666666666666,0.7272727272727273,0.408248290463863,0.6666666666666666,0.75
LinearDiscriminantAnalysis,0.010014152526855469,0.006915235519409179,0.6242156862745099,0.625,0.625,0.625,0.55,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.08206099398622181,0.5833333333333334,0.5
QuadraticDiscriminantAnalysis,0.007611656188964843,0.007172441482543946,0.5120816864295125,0.5625,0.49316017316017324,0.5625,0.6,0.75,0.5,0.6,0.25,0.5,0.75
SVC,0.003225088119506836,0.008294773101806641,0.7084042101689161,0.725,0.7899553571428571,0.725,0.7,0.6875,0.9166666666666666,0.7857142857142857,0.3572172541558802,0.9166666666666666,0.375
KNeighborsClassifier,0.0009321689605712891,0.005860424041748047,0.7467770103993013,0.75,0.7632990620490621,0.75,0.65,0.6923076923076923,0.75,0.72,0.25677629550654774,0.75,0.5
GaussianNB,0.001135873794555664,0.004554367065429688,0.7311336032388664,0.7375,0.770974025974026,0.7375,0.65,0.6923076923076923,0.75,0.72,0.25677629550654774,0.75,0.5
DecisionTreeClassifier,0.019609594345092775,0.004545831680297851,0.6801479076479076,0.6875,0.6930492424242425,0.6875,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.75
ExtraTreeClassifier,0.0008425235748291016,0.004318141937255859,0.6853733882216855,0.6875,0.6904166666666667,0.6875,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5
RandomForestClassifier,0.09318695068359376,0.016475915908813477,0.7602310924369748,0.7625,0.7693073593073593,0.7625,0.65,0.6923076923076923,0.75,0.72,0.25677629550654774,0.75,0.5
BaggingClassifier,0.03451385498046875,0.018154382705688477,0.7213095238095237,0.725,0.7257575757575758,0.725,0.65,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.28721347895177635,0.6666666666666666,0.625
AdaBoostClassifier,0.3900308132171631,0.009397220611572266,0.6977450980392156,0.7,0.7026118326118326,0.7,0.7,0.75,0.75,0.75,0.375,0.75,0.625
GradientBoostingClassifier,1.8285107612609863,0.004527235031127929,0.7072510822510822,0.7125,0.7228472222222222,0.7125,0.65,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.28721347895177635,0.6666666666666666,0.625
HistGradientBoostingClassifier,0.07434754371643067,0.005613088607788086,0.7041663599558337,0.7125,0.7163141025641026,0.7125,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.75
ExtraTrees-ensemble,0.0650062084197998,0.016422176361083986,0.7969420156726659,0.8,0.8061237373737373,0.8,0.4,0.5,0.4166666666666667,0.45454545454545453,-0.2041241452319315,0.4166666666666667,0.375
XGBClassifier,0.061339950561523436,0.006476783752441406,0.7483333333333333,0.75,0.7518181818181818,0.75,0.75,0.8181818181818182,0.75,0.782608695652174,0.4923659639173309,0.75,0.75
LGBMClassifier,0.05260319709777832,0.009345388412475586,0.7340989729225024,0.7375,0.7403102453102454,0.7375,0.8,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.5790660241435861,0.9166666666666666,0.625
