algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003791999816894531,0.0048581123352050785,0.7656277056277057,0.775,0.7858974358974359,0.775,0.75,0.6666666666666666,0.75,0.7058823529411765,0.4923659639173309,0.75,0.75
RidgeClassifier,0.0018524646759033204,0.004345226287841797,0.7195059842118665,0.725,0.7329414682539682,0.725,0.65,0.5454545454545454,0.75,0.631578947368421,0.32824397594488725,0.75,0.5833333333333334
LogisticRegression,0.019537734985351562,0.004369211196899414,0.7280446385399946,0.7375,0.7508035714285715,0.7375,0.75,0.6363636363636364,0.875,0.7368421052631579,0.5333964609104418,0.875,0.6666666666666666
SGDClassifier,0.0025150299072265623,0.003455829620361328,0.4804622955901728,0.575,0.5384399801587302,0.575,0.7,0.5714285714285714,1.0,0.7272727272727273,0.5345224838248488,1.0,0.5
LinearDiscriminantAnalysis,0.009248781204223632,0.006561088562011719,0.6733193277310925,0.675,0.6778571428571428,0.675,0.8,0.75,0.75,0.75,0.5833333333333334,0.75,0.8333333333333334
QuadraticDiscriminantAnalysis,0.0060577392578125,0.006732177734375,0.5954416635995583,0.6125,0.6265611471861472,0.6125,0.8,0.7,0.875,0.7777777777777778,0.6123724356957946,0.875,0.75
SVC,0.0023769378662109376,0.007166385650634766,0.6955975908149821,0.725,0.8088392857142856,0.725,0.7,0.5714285714285714,1.0,0.7272727272727273,0.5345224838248488,1.0,0.5
KNeighborsClassifier,0.0005427360534667969,0.004278039932250977,0.7084916575325783,0.725,0.7599801587301587,0.725,0.8,0.7,0.875,0.7777777777777778,0.6123724356957946,0.875,0.75
GaussianNB,0.0009044647216796875,0.003655815124511719,0.733839232662762,0.75,0.7762644993894995,0.75,0.75,0.6153846153846154,1.0,0.7619047619047619,0.599144689515278,1.0,0.5833333333333334
DecisionTreeClassifier,0.017145109176635743,0.003706073760986328,0.6185764467730411,0.625,0.6348863636363637,0.625,0.75,0.7142857142857143,0.625,0.6666666666666666,0.47075654176200415,0.625,0.8333333333333334
ExtraTreeClassifier,0.0007057666778564453,0.0036301612854003906,0.7339612511671335,0.7375,0.7405194805194806,0.7375,0.85,0.7777777777777778,0.875,0.8235294117647058,0.6975184488828855,0.875,0.8333333333333334
RandomForestClassifier,0.08968181610107422,0.01619300842285156,0.7385604617260965,0.75,0.7642379842379843,0.75,0.75,0.6363636363636364,0.875,0.7368421052631579,0.5333964609104418,0.875,0.6666666666666666
BaggingClassifier,0.029747676849365235,0.014914512634277344,0.694902809608692,0.7,0.7070535714285715,0.7,0.65,0.5555555555555556,0.625,0.5882352941176471,0.28721347895177635,0.625,0.6666666666666666
AdaBoostClassifier,0.3389193058013916,0.008152246475219727,0.727640548306183,0.7375,0.7623367604617605,0.7375,0.75,0.6666666666666666,0.75,0.7058823529411765,0.4923659639173309,0.75,0.75
GradientBoostingClassifier,1.5931518077850342,0.003927946090698242,0.5575,0.5625,0.5575252525252525,0.5625,0.7,0.6,0.75,0.6666666666666666,0.408248290463863,0.75,0.6666666666666666
HistGradientBoostingClassifier,0.06578450202941895,0.005331277847290039,0.7010366465320026,0.7125,0.7213790376290377,0.7125,0.65,0.5555555555555556,0.625,0.5882352941176471,0.28721347895177635,0.625,0.6666666666666666
ExtraTrees-ensemble,0.06429514884948731,0.016336917877197266,0.7256446786787345,0.7375,0.7509425296925297,0.7375,0.75,0.6363636363636364,0.875,0.7368421052631579,0.5333964609104418,0.875,0.6666666666666666
XGBClassifier,0.0628812313079834,0.006313610076904297,0.7042957558437435,0.7125,0.7186611652236652,0.7125,0.65,0.5555555555555556,0.625,0.5882352941176471,0.28721347895177635,0.625,0.6666666666666666
LGBMClassifier,0.04448566436767578,0.006455183029174805,0.7422511698827489,0.75,0.7712310606060606,0.75,0.75,0.6666666666666666,0.75,0.7058823529411765,0.4923659639173309,0.75,0.75
