algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003279590606689453,0.004009056091308594,0.7477894491129786,0.7625,0.8364407814407814,0.7625,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6005325641789633,0.9090909090909091,0.6666666666666666
RidgeClassifier,0.0015828132629394532,0.0036794185638427735,0.7550513538748833,0.7625,0.7974314574314574,0.7625,0.85,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.6975184488828855,0.9090909090909091,0.7777777777777778
LogisticRegression,0.011445236206054688,0.004607105255126953,0.7512254901960784,0.7625,0.8167582417582417,0.7625,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6005325641789633,0.9090909090909091,0.6666666666666666
SGDClassifier,0.0021352767944335938,0.004134464263916016,0.7667180583434453,0.775,0.8221275252525253,0.775,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
LinearDiscriminantAnalysis,0.010167598724365234,0.00683441162109375,0.748878701278082,0.75,0.7617897727272728,0.75,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
QuadraticDiscriminantAnalysis,0.006645345687866211,0.00728154182434082,0.6218891943969342,0.6375,0.6405083805083805,0.6375,0.65,1.0,0.36363636363636365,0.5333333333333333,0.45226701686664544,0.36363636363636365,1.0
SVC,0.0024793148040771484,0.0072040557861328125,0.8059430438842202,0.8125,0.8532828282828282,0.8125,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6005325641789633,0.9090909090909091,0.6666666666666666
KNeighborsClassifier,0.0006284236907958985,0.007523488998413086,0.7283169917457843,0.75,0.832977577977578,0.75,0.8,0.7333333333333333,1.0,0.8461538461538461,0.6382847385042254,1.0,0.5555555555555556
GaussianNB,0.0009450435638427735,0.0037841796875,0.8205003819709702,0.825,0.8311011904761905,0.825,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666
DecisionTreeClassifier,0.014349651336669923,0.003949546813964843,0.7815210915675311,0.7875,0.829136002886003,0.7875,0.6,0.6666666666666666,0.5454545454545454,0.6,0.21212121212121213,0.5454545454545454,0.6666666666666666
ExtraTreeClassifier,0.0006859302520751953,0.00362396240234375,0.7226190476190476,0.725,0.7381746031746032,0.725,0.75,0.75,0.8181818181818182,0.782608695652174,0.4923659639173309,0.8181818181818182,0.6666666666666666
RandomForestClassifier,0.08754458427429199,0.016245365142822266,0.7964705882352942,0.8,0.8238095238095238,0.8,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
BaggingClassifier,0.03272776603698731,0.026802253723144532,0.7836732857785489,0.7875,0.802878787878788,0.7875,0.65,0.75,0.5454545454545454,0.631578947368421,0.32824397594488725,0.5454545454545454,0.7777777777777778
AdaBoostClassifier,0.3838334083557129,0.009374856948852539,0.7584250029296469,0.7625,0.7911837121212122,0.7625,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.3939393939393939,0.7272727272727273,0.6666666666666666
GradientBoostingClassifier,1.6264497756958007,0.004465770721435547,0.8362605042016806,0.8375,0.8519841269841268,0.8375,0.65,0.75,0.5454545454545454,0.631578947368421,0.32824397594488725,0.5454545454545454,0.7777777777777778
HistGradientBoostingClassifier,0.07175793647766113,0.0055389881134033205,0.7599719887955182,0.7625,0.7734920634920635,0.7625,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
ExtraTrees-ensemble,0.06546230316162109,0.01622037887573242,0.8355406994106686,0.8375,0.8598701298701299,0.8375,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5959595959595959,0.8181818181818182,0.7777777777777778
XGBClassifier,0.05518860816955566,0.006120014190673828,0.8228197945845004,0.825,0.8505627705627706,0.825,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778
LGBMClassifier,0.05476269721984863,0.007676219940185547,0.8243090569561158,0.825,0.8345386904761906,0.825,0.75,0.8,0.7272727272727273,0.7619047619047619,0.502518907629606,0.7272727272727273,0.7777777777777778
