algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.01792445182800293,0.0077670574188232425,0.33335035750766084,0.5,0.2500287273771905,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.00766148567199707,0.0066948413848876955,0.6861422956963386,0.6883693746347165,0.695609389262,0.6883693746347165,0.6621621621621622,0.6363636363636364,0.7567567567567568,0.691358024691358,0.3302891295379082,0.7567567567567568,0.5675675675675675
LogisticRegression,0.025694990158081056,0.004744052886962891,0.7718527262854409,0.7737580362361192,0.7824736189308683,0.7737580362361192,0.8783783783783784,0.9117647058823529,0.8378378378378378,0.8732394366197183,0.7592566023652967,0.8378378378378378,0.918918918918919
SGDClassifier,0.0044481754302978516,0.003857421875,0.7677173299769322,0.7736411455289305,0.7959502388037178,0.7736411455289305,0.8243243243243243,0.7857142857142857,0.8918918918918919,0.8354430379746836,0.6546536707079772,0.8918918918918919,0.7567567567567568
LinearDiscriminantAnalysis,0.0266848087310791,0.006756258010864258,0.5495087915679658,0.55166569257744,0.5529432970045642,0.55166569257744,0.5675675675675675,0.5555555555555556,0.6756756756756757,0.6097560975609756,0.13840913308956662,0.6756756756756757,0.4594594594594595
QuadraticDiscriminantAnalysis,0.03426504135131836,0.007369613647460938,0.6594008408879676,0.6610753945061368,0.665356844329925,0.6610753945061368,0.6486486486486487,0.6341463414634146,0.7027027027027027,0.6666666666666666,0.29904998630487023,0.7027027027027027,0.5945945945945946
SVC,0.009848833084106445,0.010713768005371094,0.8490264247726846,0.8491525423728813,0.8507212900043681,0.8491525423728813,0.918918918918919,0.8974358974358975,0.9459459459459459,0.9210526315789473,0.8390645410391885,0.9459459459459459,0.8918918918918919
KNeighborsClassifier,0.0008151531219482422,0.006014394760131836,0.6784927577463129,0.6953243717124489,0.7459717077677599,0.6953243717124489,0.7837837837837838,0.7058823529411765,0.972972972972973,0.8181818181818182,0.613155020597473,0.972972972972973,0.5945945945945946
GaussianNB,0.0013423919677734374,0.004120302200317383,0.8074515227293777,0.8078316773816482,0.810128471960828,0.8078316773816482,0.8243243243243243,0.7727272727272727,0.918918918918919,0.8395061728395061,0.6605782590758164,0.918918918918919,0.7297297297297297
DecisionTreeClassifier,0.05322985649108887,0.003702402114868164,0.704593576723993,0.7056691992986558,0.7090841010537565,0.7056691992986558,0.7297297297297297,0.6976744186046512,0.8108108108108109,0.75,0.46562238031506026,0.8108108108108109,0.6486486486486487
ExtraTreeClassifier,0.001009988784790039,0.0037552356719970704,0.6682770455346386,0.6711279953243717,0.6772900359073157,0.6711279953243717,0.7027027027027027,0.6744186046511628,0.7837837837837838,0.725,0.41084327674858256,0.7837837837837838,0.6216216216216216
RandomForestClassifier,0.10588579177856446,0.017888450622558595,0.8200378560423601,0.8220923436586791,0.8350530175723618,0.8220923436586791,0.9054054054054054,1.0,0.8108108108108109,0.8955223880597015,0.8257228238447705,0.8108108108108109,1.0
BaggingClassifier,0.10335416793823242,0.0219113826751709,0.7407972647356802,0.743249561659848,0.7527440618203638,0.743249561659848,0.8108108108108109,0.896551724137931,0.7027027027027027,0.7878787878787878,0.6366820122120064,0.7027027027027027,0.918918918918919
AdaBoostClassifier,0.6083276271820068,0.008521652221679688,0.7975825952035518,0.7979544126241964,0.8011793662466161,0.7979544126241964,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.5675675675675675,0.7837837837837838,0.7837837837837838
GradientBoostingClassifier,3.1457499504089355,0.003913259506225586,0.8109764537514919,0.8116306253652835,0.8168865418674927,0.8116306253652835,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.5675675675675675,0.7837837837837838,0.7837837837837838
HistGradientBoostingClassifier,0.18138880729675294,0.006220674514770508,0.8217325983082364,0.8219754529514904,0.8240085404642541,0.8219754529514904,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.6756756756756757,0.8378378378378378,0.8378378378378378
ExtraTrees-ensemble,0.06564216613769532,0.016065692901611327,0.8242783110916114,0.8253068381063706,0.8321089936863583,0.8253068381063706,0.8648648648648649,0.9655172413793104,0.7567567567567568,0.8484848484848485,0.7474093186836597,0.7567567567567568,0.972972972972973
XGBClassifier,0.3653257846832275,0.007307672500610351,0.8111044672579307,0.8115137346580946,0.8151050983919896,0.8115137346580946,0.8378378378378378,0.8571428571428571,0.8108108108108109,0.8333333333333334,0.6766649524509585,0.8108108108108109,0.8648648648648649
LGBMClassifier,0.09682488441467285,0.008336591720581054,0.8181327939188222,0.8184102863822327,0.8206601803639355,0.8184102863822327,0.8918918918918919,0.8717948717948718,0.918918918918919,0.8947368421052632,0.7849313448431119,0.918918918918919,0.8648648648648649
