algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.011407995223999023,0.005373859405517578,0.8832371798907841,0.8835768556399767,0.8864171815945443,0.8835768556399767,0.8648648648648649,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.7302084184432039,0.8823529411764706,0.85
RidgeClassifier,0.0026146888732910155,0.006782007217407226,0.8937914196751946,0.8939801285797779,0.8966480061942972,0.8939801285797779,0.8648648648648649,0.8157894736842105,0.9117647058823529,0.8611111111111112,0.7346072643374401,0.9117647058823529,0.825
LogisticRegression,0.017363691329956056,0.00446476936340332,0.8696677108460505,0.8700175336060785,0.8736831447101568,0.8700175336060785,0.9054054054054054,0.8648648648648649,0.9411764705882353,0.9014084507042254,0.8134892168199607,0.9411764705882353,0.875
SGDClassifier,0.0020493984222412108,0.0035543918609619142,0.8442063982276427,0.8458796025715956,0.8589551606170079,0.8458796025715956,0.8648648648648649,0.7857142857142857,0.9705882352941176,0.868421052631579,0.7500131301371671,0.9705882352941176,0.775
LinearDiscriminantAnalysis,0.007375001907348633,0.0065767765045166016,0.8314163673721258,0.8323202805376972,0.8391270219687821,0.8323202805376972,0.8243243243243243,0.7837837837837838,0.8529411764705882,0.8169014084507042,0.6507913734559685,0.8529411764705882,0.8
QuadraticDiscriminantAnalysis,0.007803821563720703,0.007240772247314453,0.5165575511800393,0.5922852133255405,0.6250528613542154,0.5922852133255405,0.7837837837837838,0.9090909090909091,0.5882352941176471,0.7142857142857143,0.5868520346490937,0.5882352941176471,0.95
SVC,0.003616523742675781,0.00782461166381836,0.8609298744839755,0.8630625365283459,0.8827729161351922,0.8630625365283459,0.8378378378378378,0.75,0.9705882352941176,0.8461538461538461,0.7060487957363742,0.9705882352941176,0.725
KNeighborsClassifier,0.0005993843078613281,0.005104970932006836,0.8730715240586921,0.8733489187609585,0.8758049420761285,0.8733489187609585,0.9054054054054054,0.9090909090909091,0.8823529411764706,0.8955223880597015,0.8094387429872346,0.8823529411764706,0.925
GaussianNB,0.0010007381439208984,0.004742860794067383,0.8578235496454212,0.8597895967270601,0.8754907285008675,0.8597895967270601,0.8513513513513513,0.7674418604651163,0.9705882352941176,0.8571428571428571,0.7278494309537594,0.9705882352941176,0.75
DecisionTreeClassifier,0.013455963134765625,0.00447392463684082,0.8390233889232956,0.8392168322618353,0.8413349919610879,0.8392168322618353,0.8243243243243243,0.8387096774193549,0.7647058823529411,0.8,0.6461520458467048,0.7647058823529411,0.875
ExtraTreeClassifier,0.0008221626281738281,0.004315567016601562,0.8393044192034399,0.8394506136762127,0.8416642984412492,0.8394506136762127,0.8378378378378378,0.84375,0.7941176470588235,0.8181818181818182,0.6730887065333552,0.7941176470588235,0.875
RandomForestClassifier,0.09599590301513672,0.016376733779907227,0.8901011937276362,0.8904734073641146,0.8947325501621384,0.8904734073641146,0.918918918918919,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.836764705882353,0.9117647058823529,0.925
BaggingClassifier,0.029531145095825197,0.027233171463012695,0.8870336036104305,0.8872004675628288,0.8900421011020596,0.8872004675628288,0.8783783783783784,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.754886405117421,0.8529411764705882,0.9
AdaBoostClassifier,0.20174827575683593,0.009205198287963868,0.8801469224897301,0.8803623611922852,0.8832092766985735,0.8803623611922852,0.8783783783783784,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.755964575313882,0.8823529411764706,0.875
GradientBoostingClassifier,0.8838934421539306,0.0045128345489501955,0.8767485914111166,0.8769140853302162,0.8786552878550106,0.8769140853302162,0.9054054054054054,0.8857142857142857,0.9117647058823529,0.8985507246376812,0.8102765933461414,0.9117647058823529,0.9
HistGradientBoostingClassifier,0.07921390533447266,0.005608654022216797,0.8903168750695176,0.8905318527177088,0.8937416370349766,0.8905318527177088,0.8783783783783784,0.8378378378378378,0.9117647058823529,0.8732394366197183,0.7592566023652967,0.9117647058823529,0.85
ExtraTrees-ensemble,0.06596240997314454,0.016280317306518556,0.8971013514008666,0.8973699590882525,0.9005961327803549,0.8973699590882525,0.8783783783783784,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.755964575313882,0.8823529411764706,0.875
XGBClassifier,0.05465679168701172,0.006282377243041992,0.8936610311439649,0.8939801285797779,0.8985726817738884,0.8939801285797779,0.8918918918918919,0.8611111111111112,0.9117647058823529,0.8857142857142857,0.7844608511387833,0.9117647058823529,0.875
LGBMClassifier,0.04456620216369629,0.006337594985961914,0.8765076143044904,0.8769140853302163,0.8814300696136177,0.8769140853302163,0.8513513513513513,0.8285714285714286,0.8529411764705882,0.8405797101449275,0.7016525572816225,0.8529411764705882,0.85
