algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.023452329635620116,0.008451604843139648,0.8562434313092002,0.8563997662185857,0.8579810202424076,0.8563997662185857,0.8513513513513513,0.8484848484848485,0.8235294117647058,0.835820895522388,0.7003340672476074,0.8235294117647058,0.875
RidgeClassifier,0.007186460494995117,0.006271505355834961,0.8867613309999302,0.8871420222092345,0.8906491752509165,0.8871420222092345,0.8648648648648649,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.7279411764705882,0.8529411764705882,0.875
LogisticRegression,0.02088155746459961,0.011504459381103515,0.8527864125296695,0.8530683810637054,0.8566965889038947,0.8530683810637054,0.8243243243243243,0.8,0.8235294117647058,0.8115942028985508,0.647340539249363,0.8235294117647058,0.825
SGDClassifier,0.006318426132202149,0.003989410400390625,0.8699284020474233,0.8702513150204559,0.8743355503598759,0.8702513150204559,0.8513513513513513,0.8108108108108109,0.8823529411764706,0.8450704225352113,0.7050239879106326,0.8823529411764706,0.825
LinearDiscriminantAnalysis,0.03792929649353027,0.007376527786254883,0.6941306887075572,0.6956750438340152,0.7012634323518182,0.6956750438340152,0.6756756756756757,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.36687032795664193,0.7647058823529411,0.6
QuadraticDiscriminantAnalysis,0.024801063537597656,0.007673120498657227,0.5838126404992868,0.5855639976621859,0.5861472070422661,0.5855639976621859,0.7837837837837838,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.5647058823529412,0.7647058823529411,0.8
SVC,0.0076176166534423825,0.010318708419799805,0.8732922906252034,0.8734658094681473,0.8750831812549045,0.8734658094681473,0.8513513513513513,0.8484848484848485,0.8235294117647058,0.835820895522388,0.7003340672476074,0.8235294117647058,0.875
KNeighborsClassifier,0.0007031440734863281,0.005528163909912109,0.8895860981553968,0.8905318527177088,0.9001278826731328,0.8905318527177088,0.8918918918918919,0.9333333333333333,0.8235294117647058,0.875,0.7851620857448898,0.8235294117647058,0.95
GaussianNB,0.0014575958251953126,0.004818153381347656,0.7232633204503054,0.726417299824664,0.7342178302098279,0.726417299824664,0.8378378378378378,0.775,0.9117647058823529,0.8378378378378378,0.6867647058823529,0.9117647058823529,0.775
DecisionTreeClassifier,0.05076203346252441,0.004502677917480468,0.825475428715226,0.8255990648743425,0.8262593562960261,0.8255990648743425,0.7702702702702703,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.5423261445466404,0.7941176470588235,0.75
ExtraTreeClassifier,0.0010704994201660156,0.004273700714111328,0.7603991766992031,0.7606078316773817,0.7621065187041318,0.7606078316773817,0.8648648648648649,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.7302084184432039,0.8823529411764706,0.85
RandomForestClassifier,0.1034555435180664,0.017664766311645506,0.8766423345140983,0.8769725306838106,0.8801881924439192,0.8769725306838106,0.8513513513513513,0.8285714285714286,0.8529411764705882,0.8405797101449275,0.7016525572816225,0.8529411764705882,0.85
BaggingClassifier,0.06083207130432129,0.018396759033203126,0.8417316472714169,0.8428988895382815,0.8534247727881732,0.8428988895382815,0.8513513513513513,0.9259259259259259,0.7352941176470589,0.819672131147541,0.7094399602838038,0.7352941176470589,0.95
AdaBoostClassifier,0.5512385368347168,0.009677362442016602,0.8662342409136568,0.866686148451198,0.8715250936421877,0.866686148451198,0.9054054054054054,0.8857142857142857,0.9117647058823529,0.8985507246376812,0.8102765933461414,0.9117647058823529,0.9
GradientBoostingClassifier,2.8862232208251952,0.004732322692871094,0.8732162779334447,0.8735242548217418,0.8773721504606394,0.8735242548217418,0.9054054054054054,0.8648648648648649,0.9411764705882353,0.9014084507042254,0.8134892168199607,0.9411764705882353,0.875
HistGradientBoostingClassifier,0.1819450855255127,0.006035470962524414,0.8625810895704025,0.8630625365283461,0.8668219282390502,0.8630625365283461,0.8783783783783784,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.755964575313882,0.8823529411764706,0.875
ExtraTrees-ensemble,0.06558136940002442,0.01614089012145996,0.8598971712672837,0.8599649327878434,0.8605164139271716,0.8599649327878434,0.8648648648648649,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.7279411764705882,0.8529411764705882,0.875
XGBClassifier,0.2190889835357666,0.006576728820800781,0.8656421412734414,0.8663939216832262,0.8715877662826814,0.8663939216832262,0.8513513513513513,0.8484848484848485,0.8235294117647058,0.835820895522388,0.7003340672476074,0.8235294117647058,0.875
LGBMClassifier,0.15894699096679688,0.008080053329467773,0.8629371805454529,0.8631794272355346,0.8658223210648692,0.8631794272355346,0.8918918918918919,0.8611111111111112,0.9117647058823529,0.8857142857142857,0.7844608511387833,0.9117647058823529,0.875
