algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.029936933517456056,0.010036468505859375,0.9000041589049357,0.9006428988895383,0.9072259882260942,0.9006428988895383,0.8918918918918919,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.7888596970330195,0.9411764705882353,0.85
RidgeClassifier,0.006505298614501953,0.00644216537475586,0.9246194553103662,0.9246639392168323,0.9259005633134105,0.9246639392168323,0.9459459459459459,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8911764705882353,0.9411764705882353,0.95
LogisticRegression,0.1386561870574951,0.005293941497802735,0.9245526092473737,0.9246054938632378,0.926265970263656,0.9246054938632378,0.9594594594594594,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9189006294106604,0.9705882352941176,0.95
SGDClassifier,0.009378767013549805,0.004034662246704101,0.873830266932995,0.8766218585622443,0.8991743101451147,0.8766218585622443,0.8648648648648649,0.7727272727272727,1.0,0.8717948717948718,0.7612788283838284,1.0,0.75
LinearDiscriminantAnalysis,0.09679450988769531,0.007574748992919922,0.7223012163837025,0.7225014611338398,0.7233804067051193,0.7225014611338398,0.7702702702702703,0.7428571428571429,0.7647058823529411,0.7536231884057971,0.538716503184844,0.7647058823529411,0.775
QuadraticDiscriminantAnalysis,0.04529681205749512,0.008576536178588867,0.7651970757534143,0.7739918176504968,0.8177350944723825,0.7739918176504968,0.7702702702702703,0.8695652173913043,0.5882352941176471,0.7017543859649122,0.5526331877008817,0.5882352941176471,0.925
SVC,0.011193132400512696,0.011133718490600585,0.9212651757350375,0.9212741087083577,0.9224638216326688,0.9212741087083577,0.918918918918919,0.9375,0.8823529411764706,0.9090909090909091,0.8372927646107231,0.8823529411764706,0.95
KNeighborsClassifier,0.0008830070495605469,0.005789947509765625,0.8929075576944774,0.8938047925189949,0.9011243291736495,0.8938047925189949,0.8783783783783784,0.8205128205128205,0.9411764705882353,0.8767123287671232,0.7647719295893834,0.9411764705882353,0.825
GaussianNB,0.0024710655212402343,0.004858255386352539,0.8929235236412572,0.8937463471654004,0.9085155555500984,0.8937463471654004,0.8783783783783784,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.7657688841689986,0.7647058823529411,0.975
DecisionTreeClassifier,0.10463042259216308,0.0043468475341796875,0.8625529311469593,0.8628872004675628,0.8656582924977796,0.8628872004675628,0.918918918918919,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.836764705882353,0.9117647058823529,0.925
ExtraTreeClassifier,0.001386880874633789,0.004204750061035156,0.8701344570146702,0.8701928696668615,0.8708747439410478,0.8701928696668615,0.8918918918918919,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.7903224137781564,0.7941176470588235,0.975
RandomForestClassifier,0.1085367202758789,0.016533946990966795,0.9248314752398237,0.9248392752776156,0.9259359917037875,0.9248392752776156,0.9459459459459459,0.96875,0.9117647058823529,0.9393939393939394,0.8920274506365123,0.9117647058823529,0.975
BaggingClassifier,0.22213983535766602,0.027034807205200195,0.9075722253876147,0.9075978959672705,0.908721647793875,0.9075978959672705,0.9459459459459459,0.96875,0.9117647058823529,0.9393939393939394,0.8920274506365123,0.9117647058823529,0.975
AdaBoostClassifier,1.7172051429748536,0.011084413528442383,0.8937767478545722,0.8938632378725891,0.8953390033982019,0.8938632378725891,0.9459459459459459,0.96875,0.9117647058823529,0.9393939393939394,0.8920274506365123,0.9117647058823529,0.975
GradientBoostingClassifier,9.074323987960815,0.004554557800292969,0.9141563397577522,0.9143775569842196,0.9175386363425522,0.9143775569842196,0.9324324324324325,0.9393939393939394,0.9117647058823529,0.9253731343283582,0.8639910808570482,0.9117647058823529,0.95
HistGradientBoostingClassifier,0.6504140377044678,0.005723333358764649,0.9178428785290945,0.9178842781998832,0.9189283071451465,0.9178842781998832,0.972972972972973,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9455882352941176,0.9705882352941176,0.975
ExtraTrees-ensemble,0.06520133018493653,0.016104507446289062,0.9144691578931781,0.9144944476914085,0.9161160528828753,0.9144944476914085,0.9324324324324325,0.967741935483871,0.8823529411764706,0.9230769230769231,0.8659922821347791,0.8823529411764706,0.975
XGBClassifier,0.517652177810669,0.00722956657409668,0.9178248322663061,0.9178842781998832,0.9188462224839744,0.9178842781998832,0.9324324324324325,0.9393939393939394,0.9117647058823529,0.9253731343283582,0.8639910808570482,0.9117647058823529,0.95
LGBMClassifier,0.492152738571167,0.00997476577758789,0.9144510046522679,0.9144944476914085,0.9156239363200017,0.9144944476914085,0.9594594594594594,0.9696969696969697,0.9411764705882353,0.9552238805970149,0.9185434187268618,0.9411764705882353,0.975
