algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.059763622283935544,0.01087779998779297,0.9039810874568687,0.9042080654587961,0.9081615727606376,0.9042080654587961,0.8918918918918919,0.9142857142857143,0.8648648648648649,0.8888888888888888,0.7849313448431119,0.8648648648648649,0.918918918918919
RidgeClassifier,0.0073585033416748045,0.006663084030151367,0.8868098780651306,0.88708357685564,0.8911017202688989,0.88708357685564,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.7297297297297297,0.8648648648648649,0.8648648648648649
LogisticRegression,0.13961992263793946,0.010286521911621094,0.893707558162318,0.8939801285797779,0.8984451759504328,0.8939801285797779,0.8918918918918919,0.9393939393939394,0.8378378378378378,0.8857142857142857,0.7884045093492034,0.8378378378378378,0.9459459459459459
SGDClassifier,0.010652303695678711,0.003652620315551758,0.9073094573503194,0.9074810052600817,0.9115140558770957,0.9074810052600817,0.8918918918918919,0.967741935483871,0.8108108108108109,0.8823529411764706,0.7942970017139263,0.8108108108108109,0.972972972972973
LinearDiscriminantAnalysis,0.0984525203704834,0.0073772907257080075,0.7344063364954924,0.7361776738749269,0.7441742540359731,0.7361776738749269,0.7702702702702703,0.7631578947368421,0.7837837837837838,0.7733333333333333,0.5407380704358751,0.7837837837837838,0.7567567567567568
QuadraticDiscriminantAnalysis,0.04415874481201172,0.008187246322631837,0.7900079430768931,0.7910578609000585,0.7966287641994994,0.7910578609000585,0.7432432432432432,0.9090909090909091,0.5405405405405406,0.6779661016949152,0.5321811563901744,0.5405405405405406,0.9459459459459459
SVC,0.009084844589233398,0.009739303588867187,0.9173756790627425,0.9180596142606662,0.9269037958187545,0.9180596142606662,0.918918918918919,0.9696969696969697,0.8648648648648649,0.9142857142857143,0.8427772341319071,0.8648648648648649,0.972972972972973
KNeighborsClassifier,0.0008550167083740234,0.0057507514953613285,0.8933756183419567,0.8938047925189949,0.9001268828504942,0.8938047925189949,0.9054054054054054,0.8571428571428571,0.972972972972973,0.9113924050632911,0.8183170883849714,0.972972972972973,0.8378378378378378
GaussianNB,0.002421998977661133,0.004902029037475586,0.8782737658145028,0.8803039158386907,0.8962275007798512,0.8803039158386907,0.9324324324324325,1.0,0.8648648648648649,0.927536231884058,0.8728715609439696,0.8648648648648649,1.0
DecisionTreeClassifier,0.10265283584594727,0.0043337345123291016,0.9141634532708158,0.9143775569842199,0.9187557493958203,0.9143775569842199,0.9054054054054054,0.96875,0.8378378378378378,0.8985507246376812,0.8183170883849714,0.8378378378378378,0.972972972972973
ExtraTreeClassifier,0.0012966156005859374,0.004246902465820312,0.869635148104672,0.8699006428988895,0.8722354525372568,0.8699006428988895,0.8783783783783784,0.8888888888888888,0.8648648648648649,0.8767123287671232,0.7570332986102252,0.8648648648648649,0.8918918918918919
RandomForestClassifier,0.10649924278259278,0.01634373664855957,0.9177057655892599,0.9178842781998832,0.9225459577764787,0.9178842781998832,0.918918918918919,0.9696969696969697,0.8648648648648649,0.9142857142857143,0.8427772341319071,0.8648648648648649,0.972972972972973
BaggingClassifier,0.21729607582092286,0.02594294548034668,0.9140931279370926,0.9144944476914085,0.9210443766328483,0.9144944476914085,0.8783783783783784,0.9117647058823529,0.8378378378378378,0.8732394366197183,0.7592566023652967,0.8378378378378378,0.918918918918919
AdaBoostClassifier,1.4804943084716797,0.009805011749267577,0.9212288505733909,0.9213909994155465,0.9252654487393416,0.9213909994155465,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.7837837837837838,0.8918918918918919,0.8918918918918919
GradientBoostingClassifier,7.885636711120606,0.004017019271850586,0.9106136302466249,0.9109877264757451,0.917743499425771,0.9109877264757451,0.8918918918918919,0.9393939393939394,0.8378378378378378,0.8857142857142857,0.7884045093492034,0.8378378378378378,0.9459459459459459
HistGradientBoostingClassifier,0.7228855609893798,0.005864334106445312,0.9175653160269963,0.9178258328462887,0.9235954167938859,0.9178258328462887,0.9324324324324325,0.9705882352941176,0.8918918918918919,0.9295774647887324,0.8677218312746248,0.8918918918918919,0.972972972972973
ExtraTrees-ensemble,0.06599349975585937,0.01613898277282715,0.9107240393305037,0.9110461718293396,0.9165892702151446,0.9110461718293396,0.918918918918919,0.9696969696969697,0.8648648648648649,0.9142857142857143,0.8427772341319071,0.8648648648648649,0.972972972972973
XGBClassifier,0.47474470138549807,0.00680837631225586,0.910555252467988,0.9109292811221508,0.9186813174786955,0.9109292811221508,0.8918918918918919,0.9393939393939394,0.8378378378378378,0.8857142857142857,0.7884045093492034,0.8378378378378378,0.9459459459459459
LGBMClassifier,0.5013535499572754,0.008215522766113282,0.9210029545604854,0.9212156633547632,0.9261052301061173,0.9212156633547632,0.9324324324324325,0.9705882352941176,0.8918918918918919,0.9295774647887324,0.8677218312746248,0.8918918918918919,0.972972972972973
