algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,Strategy
GaussianProcessClassifier,0.0310034275054931,0.01032395362854,0.8965437268983688,0.8971946230274692,0.9082615754269758,0.8971946230274692,0.8648648648648649,0.8297872340425532,0.951219512195122,0.8863636363636364,0.7318783458261776,0.951219512195122,0.7575757575757576,plusrnn,Embedding-based
RidgeClassifier,0.0082210540771484,0.0065504550933837,0.9244993426635938,0.9246054938632378,0.9274832960451632,0.9246054938632378,0.8783783783783784,0.8478260869565217,0.951219512195122,0.896551724137931,0.7575183719939175,0.951219512195122,0.7878787878787878,plusrnn,Embedding-based
LogisticRegression,0.1243308067321777,0.0179860115051269,0.9000967079651494,0.9006428988895383,0.9105333807008094,0.9006428988895383,0.8648648648648649,0.8297872340425532,0.951219512195122,0.8863636363636364,0.7318783458261776,0.951219512195122,0.7575757575757576,plusrnn,Embedding-based
SGDClassifier,0.0083960533142089,0.0037133693695068,0.9210295086961926,0.9210987726475744,0.9238799392101994,0.9210987726475744,0.8783783783783784,0.8636363636363636,0.926829268292683,0.8941176470588236,0.7542662374415049,0.926829268292683,0.8181818181818182,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0642165660858154,0.0070927143096923,0.6634336818298958,0.6679719462302747,0.6743565606583881,0.6679719462302747,0.6621621621621622,0.6818181818181818,0.7317073170731707,0.7058823529411765,0.3112844789441131,0.7317073170731707,0.5757575757575758,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0364646434783935,0.0076561450958251,0.8420967137787445,0.8426066627703097,0.8459028173771198,0.8426066627703097,0.7837837837837838,0.8378378378378378,0.7560975609756098,0.7948717948717948,0.5709136102183887,0.7560975609756098,0.8181818181818182,plusrnn,Embedding-based
SVC,0.0076944351196289,0.0096549034118652,0.9176624667215468,0.9177673874926944,0.921088498873511,0.9177673874926944,0.8783783783783784,0.8333333333333334,0.975609756097561,0.898876404494382,0.763405845685969,0.975609756097561,0.7575757575757576,plusrnn,Embedding-based
KNeighborsClassifier,0.0008569717407226,0.0057331085205078,0.9211671705356934,0.9212741087083576,0.9260117147814604,0.9212741087083576,0.8513513513513513,0.8,0.975609756097561,0.8791208791208791,0.7141704408444836,0.975609756097561,0.696969696969697,plusrnn,Embedding-based
GaussianNB,0.0020807743072509,0.0048449993133544,0.8932431845639259,0.8938047925189949,0.9038709595269726,0.8938047925189949,0.8648648648648649,0.803921568627451,1.0,0.8913043478260869,0.7485378895377829,1.0,0.696969696969697,plusrnn,Embedding-based
DecisionTreeClassifier,0.0956045150756836,0.004308271408081,0.8970772005841132,0.8972530683810638,0.9007358015661024,0.8972530683810638,0.8648648648648649,0.8974358974358975,0.8536585365853658,0.875,0.7292197634929957,0.8536585365853658,0.8787878787878788,plusrnn,Embedding-based
ExtraTreeClassifier,0.001376724243164,0.0040928840637207,0.8630308186854752,0.8631794272355349,0.8653804162578037,0.8631794272355349,0.8783783783783784,0.9210526315789472,0.8536585365853658,0.8860759493670886,0.7585561789101739,0.8536585365853658,0.9090909090909092,plusrnn,Embedding-based
RandomForestClassifier,0.1095608711242675,0.0178630352020263,0.9142192878888906,0.9143191116306252,0.9168864133924182,0.9143191116306252,0.8783783783783784,0.8809523809523809,0.902439024390244,0.891566265060241,0.7534339318174548,0.902439024390244,0.8484848484848485,plusrnn,Embedding-based
BaggingClassifier,0.2360763072967529,0.0406168937683105,0.9074066418742271,0.9075394506136762,0.909724331329316,0.9075394506136762,0.8513513513513513,0.8571428571428571,0.8780487804878049,0.8674698795180723,0.6985578383583094,0.8780487804878049,0.8181818181818182,plusrnn,Embedding-based
AdaBoostClassifier,1.1869418621063232,0.0094099044799804,0.9143582802711044,0.91437755698422,0.9157666291694684,0.91437755698422,0.9054054054054054,0.8863636363636364,0.951219512195122,0.9176470588235294,0.8096389572536788,0.951219512195122,0.8484848484848485,plusrnn,Embedding-based
GradientBoostingClassifier,6.985726022720337,0.0044287204742431,0.900529027289309,0.9007013442431326,0.9033880241085456,0.9007013442431326,0.8648648648648649,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.7265336289726534,0.8780487804878049,0.8484848484848485,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.4729119777679443,0.0057305812835693,0.9108041508838464,0.910812390414962,0.9116508017755134,0.910812390414962,0.8783783783783784,0.8809523809523809,0.902439024390244,0.891566265060241,0.7534339318174548,0.902439024390244,0.8484848484848485,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0643106937408447,0.0161578178405761,0.9279665042775112,0.9280537697253068,0.931512240356342,0.9280537697253068,0.8513513513513513,0.8571428571428571,0.8780487804878049,0.8674698795180723,0.6985578383583094,0.8780487804878049,0.8181818181818182,plusrnn,Embedding-based
XGBClassifier,0.3925093173980712,0.0066928386688232,0.9142129604309812,0.9143191116306252,0.9175108488547148,0.9143191116306252,0.8783783783783784,0.8809523809523809,0.902439024390244,0.891566265060241,0.7534339318174548,0.902439024390244,0.8484848484848485,plusrnn,Embedding-based
LGBMClassifier,0.551936674118042,0.0082638263702392,0.9108984837352618,0.9109292811221508,0.912596564761871,0.9109292811221508,0.9054054054054054,0.9047619047619048,0.926829268292683,0.9156626506024096,0.8083100252766001,0.926829268292683,0.8787878787878788,plusrnn,Embedding-based
GaussianProcessClassifier,0.0273311138153076,0.0091722965240478,0.8999439274811518,0.9004675628287551,0.908693809763745,0.9004675628287551,0.9054054054054054,0.8717948717948718,0.9444444444444444,0.9066666666666666,0.8137582656010898,0.9444444444444444,0.868421052631579,plusrnn,Embedding-based
RidgeClassifier,0.0081957817077636,0.0065979480743408,0.9208898346376192,0.92104032729398,0.9250594416265548,0.92104032729398,0.918918918918919,0.8947368421052632,0.9444444444444444,0.918918918918919,0.8391812865497076,0.9444444444444444,0.8947368421052632,plusrnn,Embedding-based
LogisticRegression,0.1224242210388183,0.0167197227478027,0.8999439274811518,0.9004675628287551,0.908693809763745,0.9004675628287551,0.9054054054054054,0.8717948717948718,0.9444444444444444,0.9066666666666666,0.8137582656010898,0.9444444444444444,0.868421052631579,plusrnn,Embedding-based
