algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.01726217269897461,0.007619333267211914,0.7821384431276671,0.7844535359438926,0.791529305808984,0.7844535359438926,0.8783783783783784,0.9487179487179487,0.8409090909090909,0.891566265060241,0.7613732328426052,0.8409090909090909,0.9333333333333333
RidgeClassifier,0.007737398147583008,0.006365537643432617,0.8049748736096056,0.8050847457627117,0.8060580176303486,0.8050847457627117,0.9054054054054054,0.9302325581395349,0.9090909090909091,0.9195402298850575,0.805135938305828,0.9090909090909091,0.9
LogisticRegression,0.014592790603637695,0.0091033935546875,0.7821384431276671,0.7844535359438926,0.791529305808984,0.7844535359438926,0.8783783783783784,0.9487179487179487,0.8409090909090909,0.891566265060241,0.7613732328426052,0.8409090909090909,0.9333333333333333
SGDClassifier,0.007678174972534179,0.003594064712524414,0.7537335911345161,0.770251315020456,0.8200444467413132,0.770251315020456,0.9054054054054054,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.8035549165156867,0.9545454545454546,0.8333333333333334
LinearDiscriminantAnalysis,0.025488758087158205,0.0064524650573730465,0.7765074440582097,0.7773816481589714,0.7837551671625069,0.7773816481589714,0.8243243243243243,0.8780487804878049,0.8181818181818182,0.8470588235294118,0.6435207978171569,0.8181818181818182,0.8333333333333334
QuadraticDiscriminantAnalysis,0.022243404388427736,0.006848478317260742,0.7130786544417248,0.7165400350672122,0.7286652217404826,0.7165400350672122,0.6891891891891891,0.7692307692307693,0.6818181818181818,0.7228915662650602,0.37547173126484634,0.6818181818181818,0.7
SVC,0.008863115310668945,0.009909820556640626,0.7077644322230067,0.7261835184102865,0.7844005570762362,0.7261835184102865,0.8783783783783784,0.972972972972973,0.8181818181818182,0.8888888888888888,0.7706746355884524,0.8181818181818182,0.9666666666666667
KNeighborsClassifier,0.0006863117218017578,0.005228805541992188,0.8659384771480376,0.8664523670368206,0.8708382360566487,0.8664523670368206,0.8918918918918919,0.9285714285714286,0.8863636363636364,0.9069767441860465,0.7793109052316586,0.8863636363636364,0.9
GaussianNB,0.0014452934265136719,0.0045908927917480465,0.8420846293538071,0.8426651081239042,0.8460540292668343,0.8426651081239042,0.918918918918919,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.8318181818181818,0.9318181818181818,0.9
DecisionTreeClassifier,0.04546380043029785,0.003718137741088867,0.7764862851412915,0.7773232028053769,0.7810167911800697,0.7773232028053769,0.9054054054054054,0.9512195121951219,0.8863636363636364,0.9176470588235294,0.8096389572536788,0.8863636363636364,0.9333333333333333
ExtraTreeClassifier,0.0008919715881347656,0.0035631656646728516,0.8133096883755841,0.8150204558737582,0.8233196375685281,0.8150204558737582,0.8918918918918919,0.95,0.8636363636363636,0.9047619047619048,0.7851620857448898,0.8636363636363636,0.9333333333333333
RandomForestClassifier,0.10088777542114258,0.017890071868896483,0.8906191100098291,0.8907071887784921,0.892236866338415,0.8907071887784921,0.9054054054054054,0.9512195121951219,0.8863636363636364,0.9176470588235294,0.8096389572536788,0.8863636363636364,0.9333333333333333
BaggingClassifier,0.07073392868041992,0.018322467803955078,0.8390096876859902,0.8392752776154296,0.840547387099639,0.8392752776154296,0.8648648648648649,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.7382129472480629,0.8181818181818182,0.9333333333333333
AdaBoostClassifier,0.6929225921630859,0.009506750106811523,0.8768103019795038,0.8768556399766219,0.8783600228454412,0.8768556399766219,0.8783783783783784,0.926829268292683,0.8636363636363636,0.8941176470588236,0.7542662374415049,0.8636363636363636,0.9
GradientBoostingClassifier,3.5211535453796388,0.004393959045410156,0.9006960543821039,0.9008766803039159,0.903771868574565,0.9008766803039159,0.918918918918919,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.8318181818181818,0.9318181818181818,0.9
HistGradientBoostingClassifier,0.1844254493713379,0.005761289596557617,0.8972195859278301,0.8974284044418468,0.9013714880482853,0.8974284044418468,0.9459459459459459,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.8878787878787879,0.9545454545454546,0.9333333333333333
ExtraTrees-ensemble,0.07078704833984376,0.016083431243896485,0.9040139092068731,0.9043249561659849,0.9097645772936452,0.9043249561659849,0.9324324324324325,0.9534883720930233,0.9318181818181818,0.9425287356321839,0.8609225108101644,0.9318181818181818,0.9333333333333333
XGBClassifier,0.26700649261474607,0.006839609146118164,0.8974161693307915,0.8974868497954411,0.9002715776752961,0.8974868497954411,0.9054054054054054,0.9111111111111111,0.9318181818181818,0.9213483146067416,0.8030607303502486,0.9318181818181818,0.8666666666666667
LGBMClassifier,0.1501760959625244,0.0076923370361328125,0.8869705703091268,0.8872589129164231,0.8914855585505016,0.8872589129164231,0.9054054054054054,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.8035549165156867,0.9545454545454546,0.8333333333333334
