algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.008388710021972657,0.0048926353454589845,0.6657018721117774,0.6848042080654588,0.7263575990985978,0.6848042080654588,0.7432432432432432,0.8214285714285714,0.6216216216216216,0.7076923076923077,0.5015503913178175,0.6216216216216216,0.8648648648648649
RidgeClassifier,0.0015294551849365234,0.00449066162109375,0.7976451254904854,0.7980713033313853,0.8005636665453034,0.7980713033313853,0.7837837837837838,0.7333333333333333,0.8918918918918919,0.8048780487804879,0.5813183589761798,0.8918918918918919,0.6756756756756757
LogisticRegression,0.5741054534912109,0.004750299453735352,0.7799187844714653,0.7808299240210405,0.7858414327093339,0.7808299240210405,0.7837837837837838,0.7333333333333333,0.8918918918918919,0.8048780487804879,0.5813183589761798,0.8918918918918919,0.6756756756756757
SGDClassifier,0.0015444755554199219,0.004167938232421875,0.3295839753466872,0.4966101694915254,0.24663889686871587,0.4966101694915254,0.4864864864864865,0.0,0.0,0.0,-0.11704114719613057,0.0,0.972972972972973
LinearDiscriminantAnalysis,0.0013487815856933593,0.0045069694519042965,0.8033730027961603,0.8048509643483344,0.8131635327672215,0.8048509643483344,0.8243243243243243,0.8157894736842105,0.8378378378378378,0.8266666666666667,0.6488856845230501,0.8378378378378378,0.8108108108108109
QuadraticDiscriminantAnalysis,0.00107421875,0.0042684078216552734,0.7988144979776809,0.8012273524254823,0.8123856319311127,0.8012273524254823,0.9054054054054054,0.9411764705882353,0.8648648648648649,0.9014084507042254,0.8134892168199607,0.8648648648648649,0.9459459459459459
SVC,0.002462959289550781,0.004839849472045898,0.6985384816250643,0.7124488603156048,0.7556813011883643,0.7124488603156048,0.7432432432432432,0.6666666666666666,0.972972972972973,0.7912087912087912,0.5477225575051661,0.972972972972973,0.5135135135135135
KNeighborsClassifier,0.0005962371826171875,0.005182695388793945,0.7769539562868119,0.7771478667445939,0.7779611649513234,0.7771478667445939,0.8108108108108109,0.7804878048780488,0.8648648648648649,0.8205128205128205,0.6252863350010923,0.8648648648648649,0.7567567567567568
GaussianNB,0.0007848739624023438,0.0041903495788574215,0.804018406585554,0.8046756282875511,0.8077569407326749,0.8046756282875511,0.7972972972972973,0.7391304347826086,0.918918918918919,0.8192771084337349,0.6130060338328881,0.918918918918919,0.6756756756756757
DecisionTreeClassifier,0.003402090072631836,0.0043125152587890625,0.8009636395288332,0.8015195791934542,0.8050840736690577,0.8015195791934542,0.8783783783783784,0.868421052631579,0.8918918918918919,0.88,0.7570332986102252,0.8918918918918919,0.8648648648648649
ExtraTreeClassifier,0.000777578353881836,0.004253864288330078,0.7517318420816791,0.7531268264172998,0.7583634412245764,0.7531268264172998,0.7027027027027027,0.6530612244897959,0.8648648648648649,0.7441860465116279,0.42857142857142855,0.8648648648648649,0.5405405405405406
RandomForestClassifier,0.09146251678466796,0.01628594398498535,0.858795318709572,0.8593804792518995,0.8636800564685739,0.8593804792518995,0.8513513513513513,0.8823529411764706,0.8108108108108109,0.8450704225352113,0.7050239879106326,0.8108108108108109,0.8918918918918919
BaggingClassifier,0.017942142486572266,0.016733837127685548,0.8382158747361024,0.8386908240794856,0.8412511098645599,0.8386908240794856,0.8513513513513513,0.8611111111111112,0.8378378378378378,0.8493150684931506,0.7029594915666376,0.8378378378378378,0.8648648648648649
AdaBoostClassifier,0.08331375122070313,0.01052541732788086,0.827733673563752,0.8284628872004676,0.8327687484628342,0.8284628872004676,0.8378378378378378,0.8571428571428571,0.8108108108108109,0.8333333333333334,0.6766649524509585,0.8108108108108109,0.8648648648648649
GradientBoostingClassifier,0.232186222076416,0.004602909088134766,0.8554135331757917,0.8559322033898304,0.859453229137989,0.8559322033898304,0.918918918918919,0.9428571428571428,0.8918918918918919,0.9166666666666666,0.8390645410391885,0.8918918918918919,0.9459459459459459
HistGradientBoostingClassifier,0.05260987281799316,0.005514192581176758,0.8418212189932998,0.8423144360023379,0.8451918950780231,0.8423144360023379,0.8783783783783784,0.9117647058823529,0.8378378378378378,0.8732394366197183,0.7592566023652967,0.8378378378378378,0.918918918918919
ExtraTrees-ensemble,0.06494684219360351,0.016338491439819337,0.8716151985583721,0.8728813559322035,0.8817240283028317,0.8728813559322035,0.8513513513513513,0.8611111111111112,0.8378378378378378,0.8493150684931506,0.7029594915666376,0.8378378378378378,0.8648648648648649
XGBClassifier,0.035023832321166994,0.006690883636474609,0.8381833934517244,0.8388077147866746,0.8430077374725495,0.8388077147866746,0.8918918918918919,0.9393939393939394,0.8378378378378378,0.8857142857142857,0.7884045093492034,0.8378378378378378,0.9459459459459459
LGBMClassifier,0.03240652084350586,0.00785222053527832,0.8591475806526429,0.8593804792518995,0.8609639311486184,0.8593804792518995,0.8378378378378378,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.679659059783796,0.7837837837837838,0.8918918918918919
