algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.028247356414794922,0.010355567932128907,0.7879693650283581,0.7911163062536528,0.8056842919317069,0.7911163062536528,0.8108108108108109,0.7346938775510204,0.972972972972973,0.8372093023255814,0.6571428571428571,0.972972972972973,0.6486486486486487
RidgeClassifier,0.01162576675415039,0.006923103332519531,0.7968075535433266,0.7980128579777908,0.8062834607738292,0.7980128579777908,0.8243243243243243,0.75,0.972972972972973,0.8470588235294118,0.6793662204867574,0.972972972972973,0.6756756756756757
LogisticRegression,0.12054896354675293,0.013106346130371094,0.7881213459002383,0.7910578609000585,0.8037883614588981,0.7910578609000585,0.8108108108108109,0.7346938775510204,0.972972972972973,0.8372093023255814,0.6571428571428571,0.972972972972973,0.6486486486486487
SGDClassifier,0.01049342155456543,0.003987455368041992,0.7370851470144247,0.7396259497369959,0.7470046800487539,0.7396259497369959,0.7297297297297297,0.6666666666666666,0.918918918918919,0.7727272727272727,0.4963635881027162,0.918918918918919,0.5405405405405406
LinearDiscriminantAnalysis,0.06102862358093262,0.0074580669403076175,0.6162437573856353,0.6165984804208066,0.6172091503382509,0.6165984804208066,0.6351351351351351,0.6388888888888888,0.6216216216216216,0.6301369863013698,0.27036903521793754,0.6216216216216216,0.6486486486486487
QuadraticDiscriminantAnalysis,0.030909633636474608,0.007892656326293945,0.5454944920774119,0.6061952074810053,0.7335945257469082,0.6061952074810053,0.6891891891891891,0.9375,0.40540540540540543,0.5660377358490566,0.4595725150090289,0.40540540540540543,0.972972972972973
SVC,0.012097501754760742,0.011305427551269532,0.7992574146210084,0.8014611338398596,0.814391192816027,0.8014611338398596,0.8108108108108109,0.7346938775510204,0.972972972972973,0.8372093023255814,0.6571428571428571,0.972972972972973,0.6486486486486487
KNeighborsClassifier,0.0008337974548339843,0.005637645721435547,0.7546690666210661,0.7567504383401519,0.7657120328420722,0.7567504383401519,0.7972972972972973,0.775,0.8378378378378378,0.8051948051948052,0.5965587590013045,0.8378378378378378,0.7567567567567568
GaussianNB,0.002122354507446289,0.004851865768432617,0.4848143656569962,0.5787843366452367,0.7226928255994249,0.5787843366452367,0.527027027027027,0.5138888888888888,1.0,0.6788990825688074,0.16666666666666666,1.0,0.05405405405405406
DecisionTreeClassifier,0.04206380844116211,0.004478073120117188,0.7150184659328043,0.7158386908240795,0.7187452146369909,0.7158386908240795,0.8108108108108109,0.7674418604651163,0.8918918918918919,0.825,0.6299596910144932,0.8918918918918919,0.7297297297297297
ExtraTreeClassifier,0.0013410091400146485,0.00428466796875,0.7115997139742464,0.7122150789012274,0.714065576108312,0.7122150789012274,0.7162162162162162,0.6904761904761905,0.7837837837837838,0.7341772151898734,0.4364357804719848,0.7837837837837838,0.6486486486486487
RandomForestClassifier,0.09380817413330078,0.01764087677001953,0.7896788091608279,0.7910578609000585,0.800871773567339,0.7910578609000585,0.8648648648648649,0.8,0.972972972972973,0.8780487804878049,0.7474093186836597,0.972972972972973,0.7567567567567568
BaggingClassifier,0.1636366844177246,0.04246163368225098,0.7590725634717981,0.7602571595558153,0.7677168836021818,0.7602571595558153,0.8783783783783784,0.868421052631579,0.8918918918918919,0.88,0.7570332986102252,0.8918918918918919,0.8648648648648649
AdaBoostClassifier,0.39411425590515137,0.009324073791503906,0.7353043672227404,0.7362361192285214,0.7391015112673325,0.7362361192285214,0.7702702702702703,0.75,0.8108108108108109,0.7792207792207793,0.5423261445466404,0.8108108108108109,0.7297297297297297
GradientBoostingClassifier,1.9298575401306153,0.003997707366943359,0.7625246190024842,0.7637054354178842,0.7712160698389511,0.7637054354178842,0.7837837837837838,0.7560975609756098,0.8378378378378378,0.7948717948717948,0.5709136102183887,0.8378378378378378,0.7297297297297297
HistGradientBoostingClassifier,0.3658293724060059,0.005735540390014648,0.7601547176303203,0.7604909409701929,0.7622404402210354,0.7604909409701929,0.7972972972972973,0.7894736842105263,0.8108108108108109,0.8,0.5948118774794626,0.8108108108108109,0.7837837837837838
ExtraTrees-ensemble,0.07018504142761231,0.01629776954650879,0.7757313186067708,0.7773816481589714,0.7888205698104235,0.7773816481589714,0.8513513513513513,0.7954545454545454,0.9459459459459459,0.8641975308641975,0.7156264473321344,0.9459459459459459,0.7567567567567568
XGBClassifier,0.2833670139312744,0.006961727142333984,0.7801719411537478,0.780946814728229,0.7878593015416415,0.780946814728229,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.6216216216216216,0.8108108108108109,0.8108108108108109
LGBMClassifier,0.10569391250610352,0.007140254974365235,0.7626299232735334,0.7637054354178843,0.7688062789272394,0.7637054354178843,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.6216216216216216,0.8108108108108109,0.8108108108108109
