algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0172147274017334,0.007215642929077148,0.8457075320613432,0.8459964932787842,0.8488522637664951,0.8459964932787842,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.8378378378378378,0.918918918918919,0.918918918918919
RidgeClassifier,0.008183431625366212,0.006412696838378906,0.8630426504841786,0.8631794272355349,0.8651153303189935,0.8631794272355349,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.7837837837837838,0.8918918918918919,0.8918918918918919
LogisticRegression,0.016836023330688475,0.010860157012939454,0.8457075320613432,0.8459964932787842,0.8488522637664951,0.8459964932787842,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.8378378378378378,0.918918918918919,0.918918918918919
SGDClassifier,0.005811119079589843,0.0035750865936279297,0.797761848224722,0.8049094097019287,0.8422058395449655,0.8049094097019287,0.8378378378378378,1.0,0.6756756756756757,0.8064516129032258,0.7142857142857143,0.6756756756756757,1.0
LinearDiscriminantAnalysis,0.025757312774658203,0.006646203994750977,0.8074251942801334,0.8082407948568088,0.81569383207413,0.8082407948568088,0.7837837837837838,0.7441860465116279,0.8648648648648649,0.8,0.5751805874480156,0.8648648648648649,0.7027027027027027
QuadraticDiscriminantAnalysis,0.03387308120727539,0.0069980621337890625,0.670632065905753,0.6710111046171828,0.6716046750992124,0.6710111046171828,0.6081081081081081,0.6111111111111112,0.5945945945945946,0.6027397260273972,0.21629522817435004,0.5945945945945946,0.6216216216216216
SVC,0.0077018260955810545,0.009503602981567383,0.8561362452465875,0.8562828755113969,0.8581751491982492,0.8562828755113969,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.8378378378378378,0.918918918918919,0.918918918918919
KNeighborsClassifier,0.0007056236267089844,0.0051612377166748045,0.8831139816215764,0.883927527761543,0.8917926803297057,0.883927527761543,0.9054054054054054,0.9166666666666666,0.8918918918918919,0.9041095890410958,0.8111071056538126,0.8918918918918919,0.918918918918919
GaussianNB,0.0014701366424560546,0.004463768005371094,0.8833993802032255,0.8837521917007598,0.8878915517562508,0.8837521917007598,0.9054054054054054,0.8947368421052632,0.918918918918919,0.9066666666666666,0.8111071056538126,0.918918918918919,0.8918918918918919
DecisionTreeClassifier,0.043488264083862305,0.0035934925079345705,0.8247588086826884,0.8254237288135593,0.8301968121029082,0.8254237288135593,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.6756756756756757,0.8378378378378378,0.8378378378378378
ExtraTreeClassifier,0.0011968612670898438,0.003941726684570312,0.8176813252082423,0.8184102863822327,0.8243850059357613,0.8184102863822327,0.8378378378378378,0.8048780487804879,0.8918918918918919,0.8461538461538461,0.679659059783796,0.8918918918918919,0.7837837837837838
RandomForestClassifier,0.10262947082519532,0.017934799194335938,0.9075644372298649,0.9077732320280537,0.9119083717600667,0.9077732320280537,0.9054054054054054,0.9166666666666666,0.8918918918918919,0.9041095890410958,0.8111071056538126,0.8918918918918919,0.918918918918919
BaggingClassifier,0.06501173973083496,0.01809830665588379,0.8697481996786293,0.870134424313267,0.8745146488671558,0.870134424313267,0.8513513513513513,0.8611111111111112,0.8378378378378378,0.8493150684931506,0.7029594915666376,0.8378378378378378,0.8648648648648649
AdaBoostClassifier,0.7137535095214844,0.009606742858886718,0.8594803283570472,0.859906487434249,0.8641532433762034,0.859906487434249,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.8378378378378378,0.918918918918919,0.918918918918919
GradientBoostingClassifier,3.626591157913208,0.004493856430053711,0.8699336417330945,0.870134424313267,0.8733009569752184,0.870134424313267,0.9054054054054054,0.9166666666666666,0.8918918918918919,0.9041095890410958,0.8111071056538126,0.8918918918918919,0.918918918918919
HistGradientBoostingClassifier,0.18647427558898927,0.005806350708007812,0.8801933335770876,0.8804208065458795,0.8835481533799513,0.8804208065458795,0.8783783783783784,0.8888888888888888,0.8648648648648649,0.8767123287671232,0.7570332986102252,0.8648648648648649,0.8918918918918919
ExtraTrees-ensemble,0.06329021453857422,0.01615142822265625,0.9006098382631734,0.9008766803039159,0.905776903498781,0.9008766803039159,0.8783783783783784,0.868421052631579,0.8918918918918919,0.88,0.7570332986102252,0.8918918918918919,0.8648648648648649
XGBClassifier,0.23575868606567382,0.006593942642211914,0.8766814732616866,0.8768556399766219,0.8801078444367126,0.8768556399766219,0.9054054054054054,0.9166666666666666,0.8918918918918919,0.9041095890410958,0.8111071056538126,0.8918918918918919,0.918918918918919
LGBMClassifier,0.14028410911560057,0.0065271854400634766,0.8836293362292544,0.8838106370543543,0.8867370789609718,0.8838106370543543,0.8783783783783784,0.868421052631579,0.8918918918918919,0.88,0.7570332986102252,0.8918918918918919,0.8648648648648649
