algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,1.137546968460083,0.2938543319702148,0.8516711343819132,0.8527177089421389,0.8664356445611817,0.8527177089421389,0.8783783783783784,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.7657688841689986,0.7647058823529411,0.975
RidgeClassifier,0.1333634376525879,0.011192750930786134,0.872696873573725,0.8732320280537698,0.8816757312432356,0.8732320280537698,0.8918918918918919,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.7903224137781564,0.7941176470588235,0.975
LogisticRegression,0.7977892875671386,0.008008575439453125,0.8587148873128738,0.8595558153126825,0.8717683216192859,0.8595558153126825,0.8783783783783784,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.7657688841689986,0.7647058823529411,0.975
SGDClassifier,0.35973310470581055,0.007554817199707031,0.7941554346916081,0.8087668030391585,0.854038770710706,0.8087668030391585,0.8918918918918919,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.7903224137781564,0.7941176470588235,0.975
LinearDiscriminantAnalysis,1.683997344970703,0.009057092666625976,0.8248894406071929,0.8286966686148449,0.8489937726756942,0.8286966686148449,0.8918918918918919,0.9333333333333333,0.8235294117647058,0.875,0.7851620857448898,0.8235294117647058,0.95
QuadraticDiscriminantAnalysis,2.1367960929870606,0.05016021728515625,0.5269112391738726,0.5513734658094682,0.5711728184890834,0.5513734658094682,0.6216216216216216,0.6875,0.3235294117647059,0.44,0.24033682626857653,0.3235294117647059,0.875
SVC,0.6194412708282471,0.6072194099426269,0.8445949199131496,0.8458211572180012,0.8609617111247736,0.8458211572180012,0.8918918918918919,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.7903224137781564,0.7941176470588235,0.975
KNeighborsClassifier,0.021075868606567384,0.048263168334960936,0.8182169815321135,0.8185271770894212,0.8193494175033692,0.8185271770894212,0.8648648648648649,0.8,0.9411764705882353,0.8648648648648649,0.7411764705882353,0.9411764705882353,0.8
GaussianNB,0.1051602840423584,0.022215652465820312,0.8694063518160157,0.8698421975452952,0.877350084021707,0.8698421975452952,0.8918918918918919,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.7903224137781564,0.7941176470588235,0.975
DecisionTreeClassifier,0.37365045547485354,0.006926870346069336,0.8422226885705394,0.8426651081239042,0.8491859075474109,0.8426651081239042,0.9459459459459459,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8911764705882353,0.9411764705882353,0.95
ExtraTreeClassifier,0.03252429962158203,0.006716775894165039,0.8559366139215738,0.8563413208649913,0.8621657767477983,0.8563413208649913,0.8648648648648649,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.7344105030519771,0.7647058823529411,0.95
RandomForestClassifier,0.1762692451477051,0.026972484588623048,0.8623825333144254,0.8630625365283459,0.8724248831234382,0.8630625365283459,0.8918918918918919,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.7903224137781564,0.7941176470588235,0.975
BaggingClassifier,0.9269062042236328,0.18821048736572266,0.8517767185308485,0.8527177089421389,0.8667369687063061,0.8527177089421389,0.9324324324324325,0.967741935483871,0.8823529411764706,0.9230769230769231,0.8659922821347791,0.8823529411764706,0.975
AdaBoostClassifier,5.133071184158325,0.11843194961547851,0.8936535598511502,0.8939801285797779,0.8984816496349708,0.8939801285797779,0.918918918918919,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.836764705882353,0.9117647058823529,0.925
GradientBoostingClassifier,19.488452196121216,0.00715785026550293,0.8866142090204111,0.8869082407948568,0.8941178279439359,0.8869082407948568,0.9324324324324325,0.9393939393939394,0.9117647058823529,0.9253731343283582,0.8639910808570482,0.9117647058823529,0.95
HistGradientBoostingClassifier,30.79072504043579,0.005704164505004883,0.8733437919755556,0.8733489187609585,0.8740730845231137,0.8733489187609585,0.9054054054054054,0.8857142857142857,0.9117647058823529,0.8985507246376812,0.8102765933461414,0.9117647058823529,0.9
ExtraTrees-ensemble,0.25009493827819823,0.019383668899536133,0.8796509699657475,0.8801285797779077,0.8878750491666916,0.8801285797779077,0.8918918918918919,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.7903224137781564,0.7941176470588235,0.975
XGBClassifier,5.980994606018067,0.02574944496154785,0.8732866084726909,0.8734073641145528,0.8775547339340914,0.8734073641145528,0.918918918918919,0.9666666666666667,0.8529411764705882,0.90625,0.840392118392344,0.8529411764705882,0.975
LGBMClassifier,0.1711362838745117,0.008710336685180665,0.8632228290595558,0.8632963179427235,0.8645621770679744,0.8632963179427235,0.918918918918919,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.836764705882353,0.9117647058823529,0.925
