algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.498978328704834,0.12756924629211425,0.7357774140585633,0.7531852717708942,0.8323532331547006,0.7531852717708942,0.8108108108108109,1.0,0.6111111111111112,0.7586206896551724,0.6682673092267768,0.6111111111111112,1.0
RidgeClassifier,0.08440675735473632,0.011997604370117187,0.813719763119088,0.81531268264173,0.8268105509154102,0.81531268264173,0.8648648648648649,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.72953216374269,0.8611111111111112,0.868421052631579
LogisticRegression,0.30493907928466796,0.008653020858764649,0.8343628601935906,0.835885447106955,0.8476612898380583,0.835885447106955,0.8918918918918919,0.9117647058823529,0.8611111111111112,0.8857142857142857,0.7844608511387833,0.8611111111111112,0.9210526315789473
SGDClassifier,0.13305845260620117,0.010071372985839844,0.8139458911733785,0.8153711279953244,0.8250589531106763,0.8153711279953244,0.8513513513513513,0.9032258064516129,0.7777777777777778,0.835820895522388,0.707945407629584,0.7777777777777778,0.9210526315789473
LinearDiscriminantAnalysis,0.6292829036712646,0.009071779251098634,0.828175479232138,0.8288135593220339,0.8347188110823668,0.8288135593220339,0.8378378378378378,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6754385964912281,0.8333333333333334,0.8421052631578947
QuadraticDiscriminantAnalysis,0.4632720947265625,0.03400115966796875,0.6022489686732304,0.6234365867913501,0.6669777291786929,0.6234365867913501,0.6486486486486487,0.6923076923076923,0.5,0.5806451612903226,0.30307132282789107,0.5,0.7894736842105263
SVC,0.25491962432861326,0.29622645378112794,0.809449881140049,0.8116890707188779,0.8223547048444173,0.8116890707188779,0.8108108108108109,0.775,0.8611111111111112,0.8157894736842105,0.6261023989462813,0.8611111111111112,0.7631578947368421
KNeighborsClassifier,0.005478715896606446,0.05738277435302734,0.6481102145900657,0.6779661016949151,0.7680742328935034,0.6779661016949151,0.7567567567567568,1.0,0.5,0.6666666666666666,0.5824823725107174,0.5,1.0
GaussianNB,0.04764242172241211,0.012590646743774414,0.7245613643774622,0.7399181765049678,0.8017481127774733,0.7399181765049678,0.8108108108108109,0.8928571428571429,0.6944444444444444,0.78125,0.6343239529911141,0.6944444444444444,0.9210526315789473
DecisionTreeClassifier,0.1193807601928711,0.005894804000854492,0.6866481507857382,0.6884862653419053,0.6949685492847436,0.6884862653419053,0.7162162162162162,0.7027027027027027,0.7222222222222222,0.7123287671232876,0.4325904563487001,0.7222222222222222,0.7105263157894737
ExtraTreeClassifier,0.013430118560791016,0.005595254898071289,0.7118591294979473,0.7123319696084163,0.7133358369117027,0.7123319696084163,0.7837837837837838,0.75,0.8333333333333334,0.7894736842105263,0.5718499662507018,0.8333333333333334,0.7368421052631579
RandomForestClassifier,0.12920007705688477,0.02478780746459961,0.8005935384194652,0.8014026884862654,0.8065904803287494,0.8014026884862654,0.8513513513513513,0.8787878787878788,0.8055555555555556,0.8405797101449275,0.7041635846859948,0.8055555555555556,0.8947368421052632
BaggingClassifier,0.4313970565795898,0.15950412750244142,0.7453264218594514,0.7469316189362946,0.7535124724263653,0.7469316189362946,0.8243243243243243,0.8285714285714286,0.8055555555555556,0.8169014084507042,0.6483721432756884,0.8055555555555556,0.8421052631578947
AdaBoostClassifier,1.8116389751434325,0.06684021949768067,0.7383945774025028,0.7401519579193454,0.7434796199753826,0.7401519579193454,0.7567567567567568,0.8214285714285714,0.6388888888888888,0.71875,0.5228275812064528,0.6388888888888888,0.868421052631579
GradientBoostingClassifier,4.924441766738892,0.006197786331176758,0.7770336971211766,0.7775569842197545,0.7801809624888774,0.7775569842197545,0.7297297297297297,0.7666666666666667,0.6388888888888888,0.696969696969697,0.46287142458497493,0.6388888888888888,0.8157894736842105
HistGradientBoostingClassifier,16.871429443359375,0.006884908676147461,0.7239343604728872,0.7259497369959089,0.7322601040623332,0.7259497369959089,0.7297297297297297,0.75,0.6666666666666666,0.7058823529411765,0.46019501151311265,0.6666666666666666,0.7894736842105263
ExtraTrees-ensemble,0.12171964645385742,0.01824030876159668,0.769637420632233,0.7707773232028055,0.7763919578123268,0.7707773232028055,0.8513513513513513,0.8571428571428571,0.8333333333333334,0.8450704225352113,0.7025251213822358,0.8333333333333334,0.868421052631579
XGBClassifier,0.9408559799194336,0.012794399261474609,0.77953061179263,0.7808299240210405,0.7862301072339435,0.7808299240210405,0.7702702702702703,0.8518518518518519,0.6388888888888888,0.7301587301587301,0.5540500525205061,0.6388888888888888,0.8947368421052632
LGBMClassifier,0.11553082466125489,0.009270000457763671,0.7577270063877302,0.7603156049094097,0.771574177281679,0.7603156049094097,0.7432432432432432,0.7741935483870968,0.6666666666666666,0.7164179104477612,0.48874892158527766,0.6666666666666666,0.8157894736842105
