algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.02757372856140137,0.01025547981262207,0.6471222055938086,0.6814728229105785,0.7809372492917459,0.6814728229105785,0.6621621621621622,1.0,0.3902439024390244,0.5614035087719298,0.47120624338129674,0.3902439024390244,1.0
RidgeClassifier,0.010099029541015625,0.006914329528808594,0.7041421396798271,0.7053769725306839,0.7096575536861576,0.7053769725306839,0.7432432432432432,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.4924734882459463,0.7073170731707317,0.7878787878787878
LogisticRegression,0.15209288597106935,0.009785985946655274,0.7802489888588131,0.7808299240210403,0.7847994488363319,0.7808299240210403,0.7837837837837838,0.8571428571428571,0.7317073170731707,0.7894736842105263,0.5776362405065606,0.7317073170731707,0.8484848484848485
SGDClassifier,0.006543874740600586,0.004138755798339844,0.7715284072836265,0.7741087083576855,0.7870932181515873,0.7741087083576855,0.7837837837837838,0.8571428571428571,0.7317073170731707,0.7894736842105263,0.5776362405065606,0.7317073170731707,0.8484848484848485
LinearDiscriminantAnalysis,0.0525914192199707,0.007235050201416016,0.6494171904443251,0.6507305669199299,0.6537091399797432,0.6507305669199299,0.6621621621621622,0.7352941176470589,0.6097560975609756,0.6666666666666666,0.33616035227885155,0.6097560975609756,0.7272727272727273
QuadraticDiscriminantAnalysis,0.028918647766113283,0.0076065540313720705,0.6174652667021728,0.6608416130917592,0.7731770097410727,0.6608416130917592,0.6756756756756757,1.0,0.4146341463414634,0.5862068965517241,0.48995035246634927,0.4146341463414634,1.0
SVC,0.011080646514892578,0.010195350646972657,0.8203715511820034,0.8222676797194621,0.8369583798427221,0.8222676797194621,0.8378378378378378,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.6718403547671841,0.8536585365853658,0.8181818181818182
KNeighborsClassifier,0.0006999015808105469,0.0047985553741455075,0.8008192519917084,0.8014611338398596,0.8064140106978936,0.8014611338398596,0.8108108108108109,0.8461538461538461,0.8048780487804879,0.825,0.6203150964930326,0.8048780487804879,0.8181818181818182
GaussianNB,0.0017693519592285156,0.004014301300048828,0.5458574968552257,0.6061367621274109,0.7518855518413945,0.6061367621274109,0.5945945945945946,0.5846153846153846,0.926829268292683,0.7169811320754716,0.16523060893921085,0.926829268292683,0.18181818181818182
DecisionTreeClassifier,0.015767431259155272,0.0038854122161865235,0.7633027932003464,0.7637638807714786,0.7667019919288942,0.7637638807714786,0.7297297297297297,0.7837837837837838,0.7073170731707317,0.7435897435897436,0.4621681606529813,0.7073170731707317,0.7575757575757576
ExtraTreeClassifier,0.0010882854461669923,0.0037474632263183594,0.7700760457750805,0.7706604324956166,0.7740027053314776,0.7706604324956166,0.7972972972972973,0.8611111111111112,0.7560975609756098,0.8051948051948052,0.6012586766943046,0.7560975609756098,0.8484848484848485
RandomForestClassifier,0.09905190467834472,0.016352224349975585,0.8279209064397433,0.829105786090006,0.8385767555836748,0.829105786090006,0.7837837837837838,0.8571428571428571,0.7317073170731707,0.7894736842105263,0.5776362405065606,0.7317073170731707,0.8484848484848485
BaggingClassifier,0.14701385498046876,0.04122157096862793,0.8178221179111699,0.8188194038573933,0.8243666146937547,0.8188194038573933,0.7837837837837838,0.8787878787878788,0.7073170731707317,0.7837837837837838,0.5861049519586105,0.7073170731707317,0.8787878787878788
AdaBoostClassifier,0.21767892837524414,0.010811281204223634,0.7733989976796789,0.7740502630040911,0.7779146869001012,0.7740502630040911,0.7702702702702703,0.9,0.6585365853658537,0.7605633802816901,0.5746790380506703,0.6585365853658537,0.9090909090909091
GradientBoostingClassifier,1.0186123847961426,0.004714202880859375,0.793211176064446,0.7946230274693161,0.8021855271011699,0.7946230274693161,0.7837837837837838,0.8787878787878788,0.7073170731707317,0.7837837837837838,0.5861049519586105,0.7073170731707317,0.8787878787878788
HistGradientBoostingClassifier,0.5955381393432617,0.005873632431030273,0.8279262124052185,0.8288135593220339,0.834157139938555,0.8288135593220339,0.7972972972972973,0.90625,0.7073170731707317,0.7945205479452054,0.6184684046611784,0.7073170731707317,0.9090909090909091
ExtraTrees-ensemble,0.06408395767211914,0.016144180297851564,0.8208738302891471,0.8221507890122736,0.8321666921479842,0.8221507890122736,0.7972972972972973,0.8611111111111112,0.7560975609756098,0.8051948051948052,0.6012586766943046,0.7560975609756098,0.8484848484848485
XGBClassifier,0.09243879318237305,0.0063645362854003905,0.8002982998898753,0.8014026884862654,0.8086126764442361,0.8014026884862654,0.7837837837837838,0.8787878787878788,0.7073170731707317,0.7837837837837838,0.5861049519586105,0.7073170731707317,0.8787878787878788
LGBMClassifier,0.06841607093811035,0.006890058517456055,0.8105964371724532,0.8118059614260666,0.8188026130655608,0.8118059614260666,0.7702702702702703,0.875,0.6829268292682927,0.7671232876712328,0.5635923112020331,0.6829268292682927,0.8787878787878788
