algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.027457046508789062,0.010495758056640625,0.37276818372268605,0.5171829339567504,0.6552993809639662,0.5171829339567504,0.5540540540540541,1.0,0.08333333333333333,0.15384615384615385,0.21118934387685412,0.08333333333333333,1.0
RidgeClassifier,0.01271677017211914,0.006469440460205078,0.6459357330662732,0.6470485096434834,0.6483180951916647,0.6470485096434834,0.6216216216216216,0.5869565217391305,0.75,0.6585365853658537,0.257647021286177,0.75,0.5
LogisticRegression,0.13840827941894532,0.013914060592651368,0.7053311641416078,0.709000584453536,0.7191573240508607,0.709000584453536,0.6486486486486487,0.6136363636363636,0.75,0.675,0.3080848388716714,0.75,0.5526315789473685
SGDClassifier,0.006478118896484375,0.004289865493774414,0.6736972068910293,0.6782583284628872,0.6864160862429102,0.6782583284628872,0.7162162162162162,0.6744186046511628,0.8055555555555556,0.7341772151898734,0.4428361441030243,0.8055555555555556,0.631578947368421
LinearDiscriminantAnalysis,0.05084700584411621,0.006924200057983399,0.6049373772945391,0.6063705435417884,0.6083203196054471,0.6063705435417884,0.7027027027027027,0.675,0.75,0.7105263157894737,0.4090926681639636,0.75,0.6578947368421053
QuadraticDiscriminantAnalysis,0.028986501693725585,0.007749080657958984,0.6377572419350113,0.667562828755114,0.750403751795746,0.667562828755114,0.7432432432432432,0.7575757575757576,0.6944444444444444,0.7246376811594203,0.4865932077892783,0.6944444444444444,0.7894736842105263
SVC,0.012886238098144532,0.01101236343383789,0.7709479565860121,0.7738749269433081,0.7890108079302994,0.7738749269433081,0.8108108108108109,0.8666666666666667,0.7222222222222222,0.7878787878787878,0.6280763381828277,0.7222222222222222,0.8947368421052632
KNeighborsClassifier,0.0008561134338378907,0.005483198165893555,0.6396428613451478,0.671186440677966,0.764074909917899,0.671186440677966,0.7567567567567568,1.0,0.5,0.6666666666666666,0.5824823725107174,0.5,1.0
GaussianNB,0.0019762516021728516,0.004620695114135742,0.5242196698058236,0.5923436586791351,0.7080440211967464,0.5923436586791351,0.5945945945945946,0.5454545454545454,1.0,0.7058823529411765,0.338869496834943,1.0,0.21052631578947367
DecisionTreeClassifier,0.019153070449829102,0.004379463195800781,0.7379505225787028,0.739625949736996,0.7469443097167365,0.739625949736996,0.7162162162162162,0.6923076923076923,0.75,0.72,0.43468741885525836,0.75,0.6842105263157895
ExtraTreeClassifier,0.001276111602783203,0.0041900634765625,0.6548018889227522,0.6577440093512565,0.6635902940278227,0.6577440093512565,0.7162162162162162,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.4322006135650991,0.6666666666666666,0.7631578947368421
RandomForestClassifier,0.09207096099853515,0.01648106575012207,0.8180522297449155,0.8185856224430157,0.8220879386696774,0.8185856224430157,0.8243243243243243,0.8108108108108109,0.8333333333333334,0.821917808219178,0.6488856845230501,0.8333333333333334,0.8157894736842105
BaggingClassifier,0.14773945808410643,0.05556488037109375,0.7835389360372815,0.784395090590298,0.7893025811983935,0.784395090590298,0.8378378378378378,0.9,0.75,0.8181818181818182,0.6831446427154453,0.75,0.9210526315789473
AdaBoostClassifier,0.18311305046081544,0.009389734268188477,0.7702525378084377,0.7704850964348335,0.7711503889312801,0.7704850964348335,0.7702702702702703,0.8064516129032258,0.6944444444444444,0.746268656716418,0.5435480430963543,0.6944444444444444,0.8421052631578947
GradientBoostingClassifier,0.8737962245941162,0.004097986221313477,0.8075721728182852,0.8082992402104032,0.812546071132811,0.8082992402104032,0.7972972972972973,0.8181818181818182,0.75,0.782608695652174,0.5953783962376366,0.75,0.8421052631578947
HistGradientBoostingClassifier,0.6204951286315918,0.005489540100097656,0.8252943882477671,0.8255990648743424,0.827174875627582,0.8255990648743424,0.7837837837837838,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5672514619883041,0.7777777777777778,0.7894736842105263
ExtraTrees-ensemble,0.06530718803405762,0.016343975067138673,0.8455018521131578,0.8457627118644068,0.8488696061228206,0.8457627118644068,0.8783783783783784,0.8461538461538461,0.9166666666666666,0.88,0.7596052874945424,0.9166666666666666,0.8421052631578947
XGBClassifier,0.10384840965270996,0.006839132308959961,0.7793141373177621,0.780771478667446,0.7865662757397994,0.780771478667446,0.8513513513513513,0.8571428571428571,0.8333333333333334,0.8450704225352113,0.7025251213822358,0.8333333333333334,0.868421052631579
LGBMClassifier,0.08072443008422851,0.007117271423339844,0.8178068298541685,0.8182933956750439,0.8208147203928435,0.8182933956750439,0.7972972972972973,0.7837837837837838,0.8055555555555556,0.7945205479452054,0.5948118774794626,0.8055555555555556,0.7894736842105263
