algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.026307106018066406,0.008682966232299805,0.8900190402738595,0.8903565166569258,0.8952307789543903,0.8903565166569258,0.918918918918919,0.8780487804878049,0.972972972972973,0.9230769230769231,0.8427772341319071,0.972972972972973,0.8648648648648649
RidgeClassifier,0.006426000595092773,0.006600332260131836,0.9074108708357687,0.9074225599064875,0.9079221913685819,0.9074225599064875,0.9459459459459459,0.9230769230769231,0.972972972972973,0.9473684210526315,0.8931977372352652,0.972972972972973,0.918918918918919
LogisticRegression,0.12235689163208008,0.014926481246948241,0.8935491680888321,0.8938047925189947,0.8978929892930714,0.8938047925189947,0.918918918918919,0.8780487804878049,0.972972972972973,0.9230769230769231,0.8427772341319071,0.972972972972973,0.8648648648648649
SGDClassifier,0.00919356346130371,0.0035866737365722657,0.8863461829261053,0.8868497954412625,0.8931212397832848,0.8868497954412625,0.9459459459459459,0.9024390243902439,1.0,0.9487179487179487,0.8971499589146108,1.0,0.8918918918918919
LinearDiscriminantAnalysis,0.06041984558105469,0.007103395462036133,0.669839379135961,0.6715371127995324,0.6747589950431919,0.6715371127995324,0.7162162162162162,0.6904761904761905,0.7837837837837838,0.7341772151898734,0.4364357804719848,0.7837837837837838,0.6486486486486487
QuadraticDiscriminantAnalysis,0.03672046661376953,0.00755152702331543,0.858782152491046,0.8593804792518995,0.8628941733733617,0.8593804792518995,0.8378378378378378,0.7906976744186046,0.918918918918919,0.85,0.684738794580971,0.918918918918919,0.7567567567567568
SVC,0.007613849639892578,0.009289932250976563,0.9004999641125021,0.9005260081823495,0.9012062636181714,0.9005260081823495,0.9459459459459459,0.9230769230769231,0.972972972972973,0.9473684210526315,0.8931977372352652,0.972972972972973,0.918918918918919
KNeighborsClassifier,0.0007321834564208984,0.004901885986328125,0.9074157553591098,0.9075394506136762,0.9106414923788158,0.9075394506136762,0.9324324324324325,0.8809523809523809,1.0,0.9367088607594937,0.8728715609439696,1.0,0.8648648648648649
GaussianNB,0.0021665096282958984,0.004008960723876953,0.8722736706605081,0.8732904734073641,0.886072305754509,0.8732904734073641,0.918918918918919,0.8604651162790697,1.0,0.925,0.849076105280404,1.0,0.8378378378378378
DecisionTreeClassifier,0.07273721694946289,0.0037404537200927735,0.8765197517271923,0.8766218585622443,0.8782988362102632,0.8766218585622443,0.9324324324324325,0.9444444444444444,0.918918918918919,0.9315068493150684,0.8651809126974002,0.918918918918919,0.9459459459459459
ExtraTreeClassifier,0.0010878086090087891,0.0035447597503662108,0.8697597191447727,0.8699006428988895,0.8718496369070454,0.8699006428988895,0.9324324324324325,0.9444444444444444,0.918918918918919,0.9315068493150684,0.8651809126974002,0.918918918918919,0.9459459459459459
RandomForestClassifier,0.10826544761657715,0.017853593826293944,0.897183190066805,0.8972530683810638,0.89837872080676,0.8972530683810638,0.9459459459459459,0.9230769230769231,0.972972972972973,0.9473684210526315,0.8931977372352652,0.972972972972973,0.918918918918919
BaggingClassifier,0.19496941566467285,0.04688138961791992,0.8971181824278949,0.8971946230274692,0.8985109814748325,0.8971946230274692,0.918918918918919,0.8780487804878049,0.972972972972973,0.9230769230769231,0.8427772341319071,0.972972972972973,0.8648648648648649
AdaBoostClassifier,1.398562240600586,0.010544300079345703,0.8970971921328745,0.897136177673875,0.8979062268790969,0.897136177673875,0.9324324324324325,0.9,0.972972972972973,0.935064935064935,0.8677218312746248,0.972972972972973,0.8918918918918919
GradientBoostingClassifier,7.105981969833374,0.004459905624389649,0.8800584453535943,0.8800701344243134,0.8805619731725951,0.8800701344243134,0.9054054054054054,0.8571428571428571,0.972972972972973,0.9113924050632911,0.8183170883849714,0.972972972972973,0.8378378378378378
HistGradientBoostingClassifier,0.4677150249481201,0.005698633193969726,0.8937853107344631,0.8938047925189947,0.8942904455762435,0.8938047925189947,0.8918918918918919,0.8372093023255814,0.972972972972973,0.9,0.7942970017139263,0.972972972972973,0.8108108108108109
ExtraTrees-ensemble,0.0661087989807129,0.016170787811279296,0.8971464984812109,0.8971946230274692,0.8981206223966307,0.8971946230274692,0.9459459459459459,0.9230769230769231,0.972972972972973,0.9473684210526315,0.8931977372352652,0.972972972972973,0.918918918918919
XGBClassifier,0.4009194850921631,0.0062621116638183595,0.8901939165233645,0.8902980713033315,0.8923973270510853,0.8902980713033315,0.9324324324324325,0.9,0.972972972972973,0.935064935064935,0.8677218312746248,0.972972972972973,0.8918918918918919
LGBMClassifier,0.5157334804534912,0.007155609130859375,0.9039378028317717,0.9040327293980128,0.9059446817030572,0.9040327293980128,0.9054054054054054,0.8571428571428571,0.972972972972973,0.9113924050632911,0.8183170883849714,0.972972972972973,0.8378378378378378
