algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.13460392951965333,0.029395914077758788,0.9002025833317612,0.9006428988895383,0.907958466716069,0.9006428988895383,0.9054054054054054,0.8918918918918919,0.9166666666666666,0.9041095890410958,0.8111071056538126,0.9166666666666666,0.8947368421052632
RidgeClassifier,0.05077638626098633,0.009232473373413087,0.9381646494430648,0.9382232612507305,0.9401038707031241,0.9382232612507305,0.9324324324324325,0.9428571428571428,0.9166666666666666,0.9295774647887324,0.8649840557018778,0.9166666666666666,0.9473684210526315
LogisticRegression,0.14688448905944823,0.010918664932250976,0.9347365360153269,0.934833430742256,0.9376090544987482,0.934833430742256,0.9324324324324325,0.9428571428571428,0.9166666666666666,0.9295774647887324,0.8649840557018778,0.9166666666666666,0.9473684210526315
SGDClassifier,0.021610832214355467,0.0037622928619384767,0.9137704024901858,0.9143191116306253,0.9235102822802496,0.9143191116306253,0.918918918918919,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8377192982456141,0.9166666666666666,0.9210526315789473
LinearDiscriminantAnalysis,0.3251204967498779,0.008819103240966797,0.7488192860952074,0.7500292226767972,0.7555304626020865,0.7500292226767972,0.7027027027027027,0.6590909090909091,0.8055555555555556,0.725,0.4182214479369066,0.8055555555555556,0.6052631578947368
QuadraticDiscriminantAnalysis,0.23128099441528321,0.012227869033813477,0.7968490850888664,0.7977790765634132,0.8030152088370788,0.7977790765634132,0.8648648648648649,0.90625,0.8055555555555556,0.8529411764705882,0.7330670535962083,0.8055555555555556,0.9210526315789473
SVC,0.03314671516418457,0.0169158935546875,0.9139094627109126,0.9142022209234366,0.91951660851611,0.9142022209234366,0.9324324324324325,0.9696969696969697,0.8888888888888888,0.927536231884058,0.8673413673585323,0.8888888888888888,0.9736842105263158
KNeighborsClassifier,0.002166557312011719,0.009903383255004884,0.8822993584893531,0.883343074225599,0.8955456433817872,0.883343074225599,0.8108108108108109,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.6312931568192699,0.8888888888888888,0.7368421052631579
GaussianNB,0.009461498260498047,0.006591224670410156,0.8861001066150912,0.8868497954412625,0.8976142265524392,0.8868497954412625,0.9324324324324325,0.9696969696969697,0.8888888888888888,0.927536231884058,0.8673413673585323,0.8888888888888888,0.9736842105263158
DecisionTreeClassifier,0.43170962333679197,0.005011081695556641,0.8728627452209295,0.8729398012857977,0.874370499824983,0.8729398012857977,0.8918918918918919,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.783625730994152,0.8888888888888888,0.8947368421052632
ExtraTreeClassifier,0.0032358646392822267,0.004464435577392578,0.8730774722481435,0.8731735827001753,0.8741032880224731,0.8731735827001753,0.8513513513513513,0.8205128205128205,0.8888888888888888,0.8533333333333334,0.7054523093879951,0.8888888888888888,0.8157894736842105
RandomForestClassifier,0.13272719383239745,0.018506860733032225,0.9208169840392595,0.9209818819403857,0.9244538713493744,0.9209818819403857,0.9324324324324325,0.9696969696969697,0.8888888888888888,0.927536231884058,0.8673413673585323,0.8888888888888888,0.9736842105263158
BaggingClassifier,0.5302258968353272,0.1352062702178955,0.8967951781339906,0.8970192869666862,0.8997056165540311,0.8970192869666862,0.918918918918919,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.8387132838343627,0.8888888888888888,0.9473684210526315
AdaBoostClassifier,5.757666349411011,0.01581401824951172,0.9069736733013288,0.9072472238457042,0.9113472677206476,0.9072472238457042,0.9054054054054054,0.9393939393939394,0.8611111111111112,0.8985507246376812,0.8129487731343531,0.8611111111111112,0.9473684210526315
GradientBoostingClassifier,29.122226095199586,0.004986095428466797,0.9347262090410041,0.934833430742256,0.9378117997821388,0.934833430742256,0.9324324324324325,0.9696969696969697,0.8888888888888888,0.927536231884058,0.8673413673585323,0.8888888888888888,0.9736842105263158
HistGradientBoostingClassifier,3.88845477104187,0.005691623687744141,0.9381232458052724,0.9382232612507305,0.9404419725151634,0.9382232612507305,0.9324324324324325,0.9696969696969697,0.8888888888888888,0.927536231884058,0.8673413673585323,0.8888888888888888,0.9736842105263158
ExtraTrees-ensemble,0.07321224212646485,0.018148517608642577,0.9242847636577973,0.9244301578024547,0.9276216474203762,0.9244301578024547,0.9459459459459459,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.8929657165299422,0.9166666666666666,0.9736842105263158
XGBClassifier,2.1106521606445314,0.006693696975708008,0.9449840287640541,0.9450029222676799,0.9456299574183852,0.9450029222676799,0.9324324324324325,0.9696969696969697,0.8888888888888888,0.927536231884058,0.8673413673585323,0.8888888888888888,0.9736842105263158
LGBMClassifier,2.292221260070801,0.007885932922363281,0.9311239162903864,0.9312682641729984,0.9340409421087388,0.9312682641729984,0.9459459459459459,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.8929657165299422,0.9166666666666666,0.9736842105263158
