algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.031114912033081053,0.010486316680908204,0.9244039209919963,0.9245470485096435,0.9274635756501199,0.9245470485096435,0.9054054054054054,0.9411764705882353,0.8648648648648649,0.9014084507042254,0.8134892168199607,0.8648648648648649,0.9459459459459459
RidgeClassifier,0.008685970306396484,0.006709957122802734,0.9245273735707082,0.9246054938632378,0.9266850841760818,0.9246054938632378,0.8783783783783784,0.8888888888888888,0.8648648648648649,0.8767123287671232,0.7570332986102252,0.8648648648648649,0.8918918918918919
LogisticRegression,0.12509703636169434,0.01575808525085449,0.9244720495529479,0.9246054938632378,0.927601443902395,0.9246054938632378,0.9054054054054054,0.9166666666666666,0.8918918918918919,0.9041095890410958,0.8111071056538126,0.8918918918918919,0.918918918918919
SGDClassifier,0.008021783828735352,0.004069471359252929,0.9245383144565971,0.9246639392168323,0.9271889175757762,0.9246639392168323,0.8918918918918919,0.8536585365853658,0.9459459459459459,0.8974358974358975,0.7884045093492034,0.9459459459459459,0.8378378378378378
LinearDiscriminantAnalysis,0.05618681907653809,0.007525444030761719,0.7219026770407468,0.7225014611338398,0.7246647769010777,0.7225014611338398,0.7162162162162162,0.7105263157894737,0.7297297297297297,0.72,0.4325904563487001,0.7297297297297297,0.7027027027027027
QuadraticDiscriminantAnalysis,0.037347412109375,0.007868671417236328,0.8077329387498879,0.8082992402104032,0.8126920579673451,0.8082992402104032,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.5675675675675675,0.7837837837837838,0.7837837837837838
SVC,0.008290481567382813,0.00935831069946289,0.9312530562905927,0.9314436002337814,0.9361066208233376,0.9314436002337814,0.8648648648648649,0.9090909090909091,0.8108108108108109,0.8571428571428571,0.7340317845664998,0.8108108108108109,0.918918918918919
KNeighborsClassifier,0.0008074760437011719,0.0056003093719482425,0.9005355360429798,0.9007013442431326,0.9038875439709229,0.9007013442431326,0.8783783783783784,0.85,0.918918918918919,0.8831168831168831,0.7592566023652967,0.918918918918919,0.8378378378378378
GaussianNB,0.002047872543334961,0.004860973358154297,0.8929337471054642,0.8938632378725891,0.9081366204417052,0.8938632378725891,0.8648648648648649,0.9655172413793104,0.7567567567567568,0.8484848484848485,0.7474093186836597,0.7567567567567568,0.972972972972973
DecisionTreeClassifier,0.0867889404296875,0.00438222885131836,0.900564383733015,0.9007013442431326,0.9024107620413874,0.9007013442431326,0.8918918918918919,0.9142857142857143,0.8648648648648649,0.8888888888888888,0.7849313448431119,0.8648648648648649,0.918918918918919
ExtraTreeClassifier,0.0012189388275146485,0.004275989532470703,0.8836130784363304,0.8837521917007598,0.8861703767422929,0.8837521917007598,0.8243243243243243,0.8529411764705882,0.7837837837837838,0.8169014084507042,0.6507913734559685,0.7837837837837838,0.8648648648648649
RandomForestClassifier,0.10226521492004395,0.016476154327392578,0.9278993482180219,0.9279953243717124,0.9305790789284689,0.9279953243717124,0.9054054054054054,0.96875,0.8378378378378378,0.8985507246376812,0.8183170883849714,0.8378378378378378,0.972972972972973
BaggingClassifier,0.20608158111572267,0.02273111343383789,0.934902697198107,0.935008766803039,0.9377319750723933,0.935008766803039,0.9054054054054054,0.96875,0.8378378378378378,0.8985507246376812,0.8183170883849714,0.8378378378378378,0.972972972972973
AdaBoostClassifier,1.3891024589538574,0.01070547103881836,0.9106272289534381,0.910812390414962,0.9134211814121789,0.910812390414962,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.8378378378378378,0.918918918918919,0.918918918918919
GradientBoostingClassifier,7.244081115722656,0.004543447494506836,0.8900368246150375,0.8904149620105202,0.893552545761018,0.8904149620105202,0.918918918918919,0.9696969696969697,0.8648648648648649,0.9142857142857143,0.8427772341319071,0.8648648648648649,0.972972972972973
HistGradientBoostingClassifier,0.48091683387756345,0.005943441390991211,0.9107552623275812,0.9108708357685563,0.9134869442525784,0.9108708357685563,0.8918918918918919,0.9142857142857143,0.8648648648648649,0.8888888888888888,0.7849313448431119,0.8648648648648649,0.918918918918919
ExtraTrees-ensemble,0.06641573905944824,0.016241455078125,0.9210576391723201,0.9211572180011689,0.9232568457478433,0.9211572180011689,0.8918918918918919,0.967741935483871,0.8108108108108109,0.8823529411764706,0.7942970017139263,0.8108108108108109,0.972972972972973
XGBClassifier,0.39930949211120603,0.006809616088867187,0.9209984401779892,0.9211572180011688,0.9244522465288594,0.9211572180011688,0.8918918918918919,0.9142857142857143,0.8648648648648649,0.8888888888888888,0.7849313448431119,0.8648648648648649,0.918918918918919
LGBMClassifier,0.38475260734558103,0.007232666015625,0.9109271350980255,0.9109877264757452,0.9124127155827043,0.9109877264757452,0.918918918918919,0.9428571428571428,0.8918918918918919,0.9166666666666666,0.8390645410391885,0.8918918918918919,0.9459459459459459
