algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.026212453842163086,0.008856487274169923,0.8798522283130618,0.8801285797779077,0.8844149140552334,0.8801285797779077,0.9324324324324325,0.9142857142857143,0.9411764705882353,0.927536231884058,0.8645886113784009,0.9411764705882353,0.925
RidgeClassifier,0.014752388000488281,0.006662702560424805,0.9145426101455353,0.9145528930450031,0.915316695056233,0.9145528930450031,0.9459459459459459,0.9166666666666666,0.9705882352941176,0.9428571428571428,0.8929657165299422,0.9705882352941176,0.925
LogisticRegression,0.12026333808898926,0.007264614105224609,0.8867943198388627,0.8870251315020455,0.8903807824104358,0.8870251315020455,0.918918918918919,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8387132838343627,0.9411764705882353,0.9
SGDClassifier,0.023030567169189452,0.006499195098876953,0.9178794921278929,0.918001168907072,0.9207356235189892,0.918001168907072,0.918918918918919,0.85,1.0,0.918918918918919,0.85,1.0,0.85
LinearDiscriminantAnalysis,0.0705655574798584,0.007902574539184571,0.6941553837423758,0.6951490356516656,0.6958526694167056,0.6951490356516656,0.6486486486486487,0.58,0.8529411764705882,0.6904761904761905,0.3491200422799708,0.8529411764705882,0.475
QuadraticDiscriminantAnalysis,0.03631091117858887,0.00761103630065918,0.7628558985770238,0.7635885447106954,0.7676656534074011,0.7635885447106954,0.7837837837837838,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.5718499662507018,0.8235294117647058,0.75
SVC,0.00939769744873047,0.011005783081054687,0.9006086283154813,0.9007597895967271,0.904308731224743,0.9007597895967271,0.9324324324324325,0.9393939393939394,0.9117647058823529,0.9253731343283582,0.8639910808570482,0.9117647058823529,0.95
KNeighborsClassifier,0.0011751174926757813,0.005836009979248047,0.872493456603214,0.8733489187609585,0.8797806376773061,0.8733489187609585,0.9054054054054054,0.8461538461538461,0.9705882352941176,0.9041095890410958,0.8190839476216429,0.9705882352941176,0.85
GaussianNB,0.00308842658996582,0.004938554763793945,0.893280596104084,0.8937463471654004,0.9030020133965901,0.8937463471654004,0.8783783783783784,0.9310344827586207,0.7941176470588235,0.8571428571428571,0.7596364621672959,0.7941176470588235,0.95
DecisionTreeClassifier,0.07472634315490723,0.004204320907592774,0.8770863379957785,0.8770894213909994,0.8777545715556844,0.8770894213909994,0.9324324324324325,0.8717948717948718,1.0,0.9315068493150684,0.8733959656539024,1.0,0.875
ExtraTreeClassifier,0.0014434337615966796,0.0037450790405273438,0.8663871043124592,0.8665692577440094,0.869391394059616,0.8665692577440094,0.8783783783783784,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.754886405117421,0.8529411764705882,0.9
RandomForestClassifier,0.10883121490478516,0.01797347068786621,0.9145030719988474,0.9145528930450031,0.9165361653018221,0.9145528930450031,0.9324324324324325,0.9393939393939394,0.9117647058823529,0.9253731343283582,0.8639910808570482,0.9117647058823529,0.95
BaggingClassifier,0.21427979469299316,0.03713207244873047,0.9037250102476108,0.9039742840444184,0.9092623283593475,0.9039742840444184,0.9324324324324325,0.9393939393939394,0.9117647058823529,0.9253731343283582,0.8639910808570482,0.9117647058823529,0.95
AdaBoostClassifier,1.4673221588134766,0.012601995468139648,0.9006254002748267,0.9007597895967271,0.9034395729537813,0.9007597895967271,0.9459459459459459,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8911764705882353,0.9411764705882353,0.95
GradientBoostingClassifier,6.414719867706299,0.004198694229125976,0.9282463751940829,0.9282875511396845,0.9298615649878117,0.9282875511396845,0.972972972972973,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9455882352941176,0.9705882352941176,0.975
HistGradientBoostingClassifier,0.4815279483795166,0.0058766365051269535,0.9108955630699777,0.9109877264757452,0.9132169702578089,0.9109877264757452,0.9324324324324325,0.9142857142857143,0.9411764705882353,0.927536231884058,0.8645886113784009,0.9411764705882353,0.925
ExtraTrees-ensemble,0.07120270729064941,0.017763900756835937,0.9214201895546659,0.9214494447691409,0.9230267343248745,0.9214494447691409,0.9594594594594594,0.9696969696969697,0.9411764705882353,0.9552238805970149,0.9185434187268618,0.9411764705882353,0.975
XGBClassifier,0.4511559009552002,0.006879472732543945,0.9213457000260252,0.9213909994155465,0.9234116257549193,0.9213909994155465,0.9594594594594594,0.9696969696969697,0.9411764705882353,0.9552238805970149,0.9185434187268618,0.9411764705882353,0.975
LGBMClassifier,0.5027336120605469,0.008274126052856445,0.9143633794066464,0.9144360023378141,0.9165837071082776,0.9144360023378141,0.9459459459459459,0.96875,0.9117647058823529,0.9393939393939394,0.8920274506365123,0.9117647058823529,0.975
