algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.028253173828125,0.009978818893432616,0.8797620732443315,0.8801285797779077,0.8846342066257622,0.8801285797779077,0.9054054054054054,0.8947368421052632,0.918918918918919,0.9066666666666666,0.8111071056538126,0.918918918918919,0.8918918918918919
RidgeClassifier,0.005738401412963867,0.006703042984008789,0.9245707032813757,0.924605493863238,0.9256401092935095,0.924605493863238,0.8783783783783784,0.868421052631579,0.8918918918918919,0.88,0.7570332986102252,0.8918918918918919,0.8648648648648649
LogisticRegression,0.1377553939819336,0.009500646591186523,0.9245706665632447,0.924605493863238,0.9258844982677372,0.924605493863238,0.9054054054054054,0.8947368421052632,0.918918918918919,0.9066666666666666,0.8111071056538126,0.918918918918919,0.8918918918918919
SGDClassifier,0.010734796524047852,0.0034975528717041014,0.8928102816692313,0.8936879018118059,0.902244346093846,0.8936879018118059,0.918918918918919,0.8604651162790697,1.0,0.925,0.849076105280404,1.0,0.8378378378378378
LinearDiscriminantAnalysis,0.0631753921508789,0.007308006286621094,0.687305751698549,0.6883693746347166,0.6910832296234839,0.6883693746347166,0.7027027027027027,0.6829268292682927,0.7567567567567568,0.717948717948718,0.4077954358702776,0.7567567567567568,0.6486486486486487
QuadraticDiscriminantAnalysis,0.037853431701660153,0.008051252365112305,0.7525368474615041,0.7534774985388661,0.7575462562097549,0.7534774985388661,0.7837837837837838,0.8,0.7567567567567568,0.7777777777777778,0.5683985600588052,0.7567567567567568,0.8108108108108109
SVC,0.010603857040405274,0.009279727935791016,0.7799715272440348,0.7874342489772063,0.8247649325550771,0.7874342489772063,0.8648648648648649,0.8292682926829268,0.918918918918919,0.8717948717948718,0.7340317845664998,0.918918918918919,0.8108108108108109
KNeighborsClassifier,0.0007106304168701172,0.0048653602600097655,0.8796736910819412,0.8799532437171245,0.8837241483053591,0.8799532437171245,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.7297297297297297,0.8648648648648649,0.8648648648648649
GaussianNB,0.0016910076141357423,0.0038809776306152344,0.8413501427725025,0.8423144360023379,0.84913280676396,0.8423144360023379,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.7297297297297297,0.8648648648648649,0.8648648648648649
DecisionTreeClassifier,0.07936677932739258,0.0037846088409423826,0.8865606686971684,0.8868497954412625,0.8889551419632727,0.8868497954412625,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.5675675675675675,0.7837837837837838,0.7837837837837838
ExtraTreeClassifier,0.0011401653289794921,0.003650856018066406,0.8594611339921772,0.859614260666277,0.8613007228985905,0.859614260666277,0.918918918918919,0.9428571428571428,0.8918918918918919,0.9166666666666666,0.8390645410391885,0.8918918918918919,0.9459459459459459
RandomForestClassifier,0.11287932395935059,0.019696664810180665,0.9245056589243343,0.9245470485096435,0.9260167589358097,0.9245470485096435,0.8648648648648649,0.9090909090909091,0.8108108108108109,0.8571428571428571,0.7340317845664998,0.8108108108108109,0.918918918918919
BaggingClassifier,0.2174689292907715,0.03491487503051758,0.8970385548168043,0.8971946230274692,0.8994108427111435,0.8971946230274692,0.8918918918918919,0.9142857142857143,0.8648648648648649,0.8888888888888888,0.7849313448431119,0.8648648648648649,0.918918918918919
AdaBoostClassifier,1.2537157535552979,0.009576988220214844,0.9143050127415517,0.9143775569842199,0.9156121458032361,0.9143775569842199,0.8513513513513513,0.8823529411764706,0.8108108108108109,0.8450704225352113,0.7050239879106326,0.8108108108108109,0.8918918918918919
GradientBoostingClassifier,6.580875396728516,0.004113006591796875,0.9073655323647053,0.9075978959672707,0.9099173170144738,0.9075978959672707,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.7297297297297297,0.8648648648648649,0.8648648648648649
HistGradientBoostingClassifier,0.46694250106811525,0.005831623077392578,0.9006115049749172,0.9007013442431328,0.9030130792426823,0.9007013442431328,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.7837837837837838,0.8918918918918919,0.8918918918918919
ExtraTrees-ensemble,0.07025437355041504,0.022779464721679688,0.9245830295382802,0.9246054938632378,0.925449921489306,0.9246054938632378,0.8918918918918919,0.9142857142857143,0.8648648648648649,0.8888888888888888,0.7849313448431119,0.8648648648648649,0.918918918918919
XGBClassifier,0.47503156661987306,0.006465816497802734,0.9143621766280108,0.9143775569842199,0.9148835267596226,0.9143775569842199,0.8783783783783784,0.868421052631579,0.8918918918918919,0.88,0.7570332986102252,0.8918918918918919,0.8648648648648649
LGBMClassifier,0.36675519943237306,0.007165098190307617,0.8868143441404289,0.8869082407948568,0.8887194821536181,0.8869082407948568,0.8918918918918919,0.9142857142857143,0.8648648648648649,0.8888888888888888,0.7849313448431119,0.8648648648648649,0.918918918918919
