algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.030900955200195312,0.010458040237426757,0.9347015711751532,0.934833430742256,0.9384305060460063,0.934833430742256,0.9324324324324325,0.918918918918919,0.9444444444444444,0.9315068493150684,0.8651809126974002,0.9444444444444444,0.9210526315789473
RidgeClassifier,0.01171703338623047,0.006609344482421875,0.9519197344807127,0.9519579193454121,0.9534444907298927,0.9519579193454121,0.9324324324324325,0.9428571428571428,0.9166666666666666,0.9295774647887324,0.8649840557018778,0.9166666666666666,0.9473684210526315
LogisticRegression,0.12122650146484375,0.016565513610839844,0.9450546314427717,0.9451198129748685,0.9474276247465149,0.9451198129748685,0.9324324324324325,0.918918918918919,0.9444444444444444,0.9315068493150684,0.8651809126974002,0.9444444444444444,0.9210526315789473
SGDClassifier,0.006756305694580078,0.0036939144134521484,0.9071510110149864,0.9076563413208649,0.9141048812671716,0.9076563413208649,0.918918918918919,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8377192982456141,0.9166666666666666,0.9210526315789473
LinearDiscriminantAnalysis,0.05566387176513672,0.007219362258911133,0.6902453521239721,0.6914669783752192,0.6929617485252221,0.6914669783752192,0.5540540540540541,0.5365853658536586,0.6111111111111112,0.5714285714285714,0.11172532867669228,0.6111111111111112,0.5
QuadraticDiscriminantAnalysis,0.036268424987792966,0.007814931869506835,0.7795599433549991,0.7805961426066628,0.7863803934931801,0.7805961426066628,0.8378378378378378,0.8157894736842105,0.8611111111111112,0.8378378378378378,0.6769005847953217,0.8611111111111112,0.8157894736842105
SVC,0.008085155487060547,0.009208869934082032,0.9484581143286375,0.948509643483343,0.9503014629094453,0.948509643483343,0.9459459459459459,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8918128654970761,0.9444444444444444,0.9473684210526315
KNeighborsClassifier,0.0007980823516845703,0.00550994873046875,0.9140652646134502,0.9142606662770308,0.9179455042760127,0.9142606662770308,0.918918918918919,0.8947368421052632,0.9444444444444444,0.918918918918919,0.8391812865497076,0.9444444444444444,0.8947368421052632
GaussianNB,0.0020467758178710936,0.004794931411743164,0.8849774744174681,0.8867329047340735,0.9031184833819988,0.8867329047340735,0.9324324324324325,0.9696969696969697,0.8888888888888888,0.927536231884058,0.8673413673585323,0.8888888888888888,0.9736842105263158
DecisionTreeClassifier,0.08980450630187989,0.004382801055908203,0.8830967535974044,0.8832846288720047,0.8858841956053146,0.8832846288720047,0.9054054054054054,0.8918918918918919,0.9166666666666666,0.9041095890410958,0.8111071056538126,0.9166666666666666,0.8947368421052632
ExtraTreeClassifier,0.0013040065765380859,0.004227781295776367,0.8763604128670778,0.8765049678550556,0.8778545807461882,0.8765049678550556,0.8648648648648649,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.7309941520467836,0.8888888888888888,0.8421052631578947
RandomForestClassifier,0.10659537315368653,0.016361379623413087,0.9347884852832082,0.934833430742256,0.9363949564971652,0.934833430742256,0.9459459459459459,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.8929657165299422,0.9166666666666666,0.9736842105263158
BaggingClassifier,0.22753396034240722,0.0351837158203125,0.924286104819183,0.9243717124488604,0.925932507138084,0.9243717124488604,0.9324324324324325,0.9696969696969697,0.8888888888888888,0.927536231884058,0.8673413673585323,0.8888888888888888,0.9736842105263158
AdaBoostClassifier,1.1980494499206542,0.009683942794799805,0.920962263199099,0.92104032729398,0.9229620812029232,0.92104032729398,0.9324324324324325,0.9428571428571428,0.9166666666666666,0.9295774647887324,0.8649840557018778,0.9166666666666666,0.9473684210526315
GradientBoostingClassifier,7.111033010482788,0.004477405548095703,0.9070055559793131,0.9071887784921099,0.909679922284028,0.9071887784921099,0.9324324324324325,0.9428571428571428,0.9166666666666666,0.9295774647887324,0.8649840557018778,0.9166666666666666,0.9473684210526315
HistGradientBoostingClassifier,0.4907219886779785,0.005704545974731445,0.9379742320992932,0.9381063705435417,0.9406917362855033,0.9381063705435417,0.9459459459459459,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.8929657165299422,0.9166666666666666,0.9736842105263158
ExtraTrees-ensemble,0.06346073150634765,0.01623048782348633,0.9415759322515862,0.9416130917592052,0.94298472061495,0.9416130917592052,0.9594594594594594,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.919137033808425,0.9444444444444444,0.9736842105263158
XGBClassifier,0.4100196838378906,0.00636749267578125,0.924340550915038,0.9244301578024547,0.926211223116636,0.9244301578024547,0.9324324324324325,0.9428571428571428,0.9166666666666666,0.9295774647887324,0.8649840557018778,0.9166666666666666,0.9473684210526315
LGBMClassifier,0.4873991012573242,0.007244539260864258,0.9380895277540772,0.9381063705435417,0.9387416158748711,0.9381063705435417,0.9459459459459459,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.8929657165299422,0.9166666666666666,0.9736842105263158
