Algorithm,Encoder,mean_accuracy_training_x,mean_f_score_training_x,mean_precision_training_x,mean_recall_training_x,mean_accuracy_testing_x,mean_f_score_testing_x,mean_precision_testing_x,mean_recall_testing_x,mean_accuracy_testing_y,mean_f_score_testing_y,mean_precision_testing_y,mean_recall_testing_y,mean_accuracy_training_y,mean_f_score_training_y,mean_precision_training_y,mean_recall_training_y,Voting
AdaBoostClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
BaggingClassifier,protrans_xlu50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
ExtraTrees-ensemble,esm1b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
ExtraTrees-ensemble,esme,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
ExtraTrees-ensemble,protrans_albert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
ExtraTrees-ensemble,protrans_bert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
ExtraTrees-ensemble,protrans_xlu50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
GaussianProcessClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
GradientBoostingClassifier,protrans_bert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
HistGradientBoostingClassifier,protrans_bert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LGBMClassifier,esm1b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LGBMClassifier,esme,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LGBMClassifier,protrans_bert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LGBMClassifier,protrans_xlu50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LogisticRegression,esm1b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LogisticRegression,protrans_albert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
LogisticRegression,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
RidgeClassifier,protrans_bdf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
RidgeClassifier,protrans_bert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
RidgeClassifier,protrans_xlu50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
SVC,protrans_xlu50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
XGBClassifier,esm1b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
XGBClassifier,protrans_albert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
XGBClassifier,protrans_bert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
