algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0034621715545654296,0.005158233642578125,0.3269019607843137,0.49411764705882355,0.2442906574394464,0.49411764705882355,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0017499446868896485,0.004500055313110351,0.7179478107032287,0.7209150326797384,0.7318200916730329,0.7209150326797384,0.4782608695652174,0.46153846153846156,0.5454545454545454,0.5,-0.0381690510345287,0.5454545454545454,0.4166666666666667
LogisticRegression,0.011310863494873046,0.00409846305847168,0.6945774976657331,0.6986928104575163,0.7103662677192089,0.6986928104575163,0.43478260869565216,0.42857142857142855,0.5454545454545454,0.48,-0.12406456138646277,0.5454545454545454,0.3333333333333333
SGDClassifier,0.0016425132751464843,0.004685354232788086,0.7168432109685979,0.7196078431372549,0.7280061115355233,0.7196078431372549,0.5217391304347826,0.5,0.7272727272727273,0.5925925925925926,0.0657951694959769,0.7272727272727273,0.3333333333333333
LinearDiscriminantAnalysis,0.006898212432861328,0.00667881965637207,0.6316792650074383,0.6398692810457517,0.6509011576658636,0.6398692810457517,0.4782608695652174,0.45454545454545453,0.45454545454545453,0.45454545454545453,-0.045454545454545456,0.45454545454545453,0.5
QuadraticDiscriminantAnalysis,0.005066967010498047,0.007433462142944336,0.5978260291704227,0.6163398692810458,0.6216499023851965,0.6163398692810458,0.5217391304347826,0.5,0.6363636363636364,0.56,0.054278245606577465,0.6363636363636364,0.4166666666666667
SVC,0.0022519111633300783,0.0074175834655761715,0.7242146810877461,0.730718954248366,0.7568039313627548,0.730718954248366,0.6086956521739131,0.5625,0.8181818181818182,0.6666666666666666,0.2549562817969105,0.8181818181818182,0.4166666666666667
KNeighborsClassifier,0.000591278076171875,0.005128240585327149,0.5540474514044307,0.5725490196078431,0.6240622612681437,0.5725490196078431,0.6086956521739131,1.0,0.18181818181818182,0.3076923076923077,0.3223291856101521,0.18181818181818182,1.0
GaussianNB,0.0007948398590087891,0.003740549087524414,0.6918315207324495,0.6967320261437909,0.710435022493846,0.6967320261437909,0.7391304347826086,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.4772727272727273,0.7272727272727273,0.75
DecisionTreeClassifier,0.009603500366210938,0.003604269027709961,0.6126946041574525,0.6163398692810458,0.6233422459893048,0.6163398692810458,0.4782608695652174,0.46153846153846156,0.5454545454545454,0.5,-0.0381690510345287,0.5454545454545454,0.4166666666666667
ExtraTreeClassifier,0.000656747817993164,0.0036280155181884766,0.6399303405572756,0.6522875816993465,0.6630761395467278,0.6522875816993465,0.43478260869565216,0.4,0.36363636363636365,0.38095238095238093,-0.13740858372430334,0.36363636363636365,0.5
RandomForestClassifier,0.08912749290466308,0.01633419990539551,0.7153152265690965,0.7196078431372549,0.7375290395878631,0.7196078431372549,0.6086956521739131,0.5714285714285714,0.7272727272727273,0.64,0.2326210525996177,0.7272727272727273,0.5
BaggingClassifier,0.024129056930541994,0.018351173400878905,0.6090613966058172,0.6196078431372549,0.622194423223835,0.6196078431372549,0.5217391304347826,0.5,0.45454545454545453,0.47619047619047616,0.0381690510345287,0.45454545454545453,0.5833333333333334
AdaBoostClassifier,0.2091649055480957,0.008099126815795898,0.695141898864809,0.6967320261437908,0.6997428062133945,0.6967320261437908,0.34782608695652173,0.3,0.2727272727272727,0.2857142857142857,-0.31298621848313535,0.2727272727272727,0.4166666666666667
GradientBoostingClassifier,0.9326595783233642,0.003996372222900391,0.7607280456042066,0.7647058823529411,0.7793752652576181,0.7647058823529411,0.5217391304347826,0.5,0.6363636363636364,0.56,0.054278245606577465,0.6363636363636364,0.4166666666666667
HistGradientBoostingClassifier,0.047301721572875974,0.005348920822143555,0.6482911825017089,0.6535947712418301,0.6636049244872775,0.6535947712418301,0.4782608695652174,0.45454545454545453,0.45454545454545453,0.45454545454545453,-0.045454545454545456,0.45454545454545453,0.5
ExtraTrees-ensemble,0.06539740562438964,0.016102313995361328,0.7468522799869549,0.7529411764705882,0.7755413051001285,0.7529411764705882,0.6521739130434783,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.37057951116309706,0.9090909090909091,0.4166666666666667
XGBClassifier,0.04723877906799316,0.0063931941986083984,0.6584081793679315,0.6647058823529411,0.6828672961025902,0.6647058823529411,0.5217391304347826,0.5,0.5454545454545454,0.5217391304347826,0.045454545454545456,0.5454545454545454,0.5
LGBMClassifier,0.034889602661132814,0.008179855346679688,0.6696609505046037,0.6751633986928105,0.6939207361266185,0.6751633986928105,0.43478260869565216,0.4,0.36363636363636365,0.38095238095238093,-0.13740858372430334,0.36363636363636365,0.5
