algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0026186466217041015,0.004401254653930664,0.8635873105222951,0.8660130718954248,0.8840437685045529,0.8660130718954248,0.782608695652174,0.6666666666666666,1.0,0.8,0.6405126152203485,1.0,0.6153846153846154
RidgeClassifier,0.0014556407928466796,0.004207992553710937,0.8004651334217898,0.8091503267973856,0.8385047958577371,0.8091503267973856,0.782608695652174,0.6923076923076923,0.9,0.782608695652174,0.5923076923076923,0.9,0.6923076923076923
LogisticRegression,0.013266468048095703,0.0043605327606201175,0.8397197986052476,0.842483660130719,0.8596800095329508,0.842483660130719,0.782608695652174,0.6923076923076923,0.9,0.782608695652174,0.5923076923076923,0.9,0.6923076923076923
SGDClassifier,0.0010582923889160157,0.004048919677734375,0.7983581880795503,0.8091503267973856,0.8490705373058315,0.8091503267973856,0.782608695652174,0.6923076923076923,0.9,0.782608695652174,0.5923076923076923,0.9,0.6923076923076923
LinearDiscriminantAnalysis,0.0032490253448486327,0.006439590454101562,0.6631929496944976,0.6758169934640523,0.6944650284356166,0.6758169934640523,0.8260869565217391,0.75,0.9,0.8181818181818182,0.6641414880007994,0.9,0.7692307692307693
QuadraticDiscriminantAnalysis,0.0021073341369628905,0.006342172622680664,0.7228465548898985,0.730718954248366,0.7590193303428598,0.730718954248366,0.8260869565217391,1.0,0.6,0.75,0.6773651374345779,0.6,1.0
SVC,0.0014485359191894532,0.00636749267578125,0.7733000169764876,0.7862745098039216,0.8386794033852857,0.7862745098039216,0.782608695652174,0.6666666666666666,1.0,0.8,0.6405126152203485,1.0,0.6153846153846154
KNeighborsClassifier,0.0005702972412109375,0.005008411407470703,0.7932198104065111,0.7993464052287582,0.8286838978015449,0.7993464052287582,0.8260869565217391,0.7142857142857143,1.0,0.8333333333333334,0.7032108464077431,1.0,0.6923076923076923
GaussianNB,0.0007913112640380859,0.004251623153686523,0.7429995666528174,0.7529411764705882,0.7808996831055655,0.7529411764705882,0.782608695652174,0.6666666666666666,1.0,0.8,0.6405126152203485,1.0,0.6153846153846154
DecisionTreeClassifier,0.0031700611114501955,0.0042626380920410155,0.6959740855406489,0.6973856209150326,0.7014727102962397,0.6973856209150326,0.782608695652174,0.6923076923076923,0.9,0.782608695652174,0.5923076923076923,0.9,0.6923076923076923
ExtraTreeClassifier,0.0006793498992919922,0.004177713394165039,0.7182636738906089,0.7189542483660131,0.7281417112299465,0.7189542483660131,0.8695652173913043,0.7692307692307693,1.0,0.8695652173913043,0.7692307692307693,1.0,0.7692307692307693
RandomForestClassifier,0.08899774551391601,0.01739802360534668,0.8414225514767312,0.8437908496732026,0.8558295136236312,0.8437908496732026,0.8260869565217391,0.75,0.9,0.8181818181818182,0.6641414880007994,0.9,0.7692307692307693
BaggingClassifier,0.019058036804199218,0.025172090530395506,0.7818254748945285,0.7875816993464052,0.8131949749596808,0.7875816993464052,0.7391304347826086,0.6428571428571429,0.9,0.75,0.5235014078813198,0.9,0.6153846153846154
AdaBoostClassifier,0.07989439964294434,0.007566690444946289,0.8522931874738982,0.8549019607843137,0.8716611982788454,0.8549019607843137,0.8260869565217391,0.75,0.9,0.8181818181818182,0.6641414880007994,0.9,0.7692307692307693
GradientBoostingClassifier,0.258362340927124,0.003888845443725586,0.8063270699029212,0.8091503267973856,0.8232727131256542,0.8091503267973856,0.782608695652174,0.6923076923076923,0.9,0.782608695652174,0.5923076923076923,0.9,0.6923076923076923
HistGradientBoostingClassifier,0.023568010330200194,0.0045165538787841795,0.7720205696548408,0.7764705882352942,0.7898266765913824,0.7764705882352942,0.8695652173913043,0.7692307692307693,1.0,0.8695652173913043,0.7692307692307693,1.0,0.7692307692307693
ExtraTrees-ensemble,0.06430163383483886,0.016052675247192384,0.8399210369953405,0.8431372549019608,0.861242483007189,0.8431372549019608,0.8260869565217391,0.75,0.9,0.8181818181818182,0.6641414880007994,0.9,0.7692307692307693
XGBClassifier,0.01643085479736328,0.005185651779174805,0.8165758424581954,0.8215686274509804,0.8431179822356294,0.8215686274509804,0.9130434782608695,0.8333333333333334,1.0,0.9090909090909091,0.8397191227596315,1.0,0.8461538461538461
LGBMClassifier,0.012754583358764648,0.0061054229736328125,0.8067833800186742,0.8098039215686275,0.828831593243358,0.8098039215686275,0.8695652173913043,0.7692307692307693,1.0,0.8695652173913043,0.7692307692307693,1.0,0.7692307692307693
