algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0034656524658203125,0.0048233985900878905,0.8100283797729618,0.8104575163398693,0.817186736647521,0.8104575163398693,0.782608695652174,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5547552232772196,0.8461538461538461,0.7
RidgeClassifier,0.0017098426818847657,0.004314327239990234,0.8641621209887462,0.8653594771241832,0.8744679993209404,0.8653594771241832,0.782608695652174,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5547552232772196,0.8461538461538461,0.7
LogisticRegression,0.01135563850402832,0.004358673095703125,0.8314187429357707,0.8320261437908496,0.837137551990493,0.8320261437908496,0.782608695652174,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.5547552232772196,0.8461538461538461,0.7
SGDClassifier,0.001813650131225586,0.004121637344360352,0.7033249656472164,0.7300653594771243,0.8284776089923149,0.7300653594771243,0.6956521739130435,0.8,0.6153846153846154,0.6956521739130435,0.4153846153846154,0.6153846153846154,0.8
LinearDiscriminantAnalysis,0.006768512725830078,0.006499195098876953,0.694360410830999,0.6973856209150326,0.7099936338171632,0.6973856209150326,0.5652173913043478,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.13740858372430334,0.5384615384615384,0.6
QuadraticDiscriminantAnalysis,0.004590606689453125,0.006715202331542968,0.5366727264374995,0.5509803921568628,0.5654451285823836,0.5509803921568628,0.6086956521739131,0.75,0.46153846153846156,0.5714285714285714,0.2722178614686481,0.46153846153846156,0.8
SVC,0.001981353759765625,0.006988334655761719,0.7867217062263502,0.7875816993464053,0.7960521178168236,0.7875816993464053,0.6956521739130435,0.6875,0.8461538461538461,0.7586206896551724,0.3729338685741352,0.8461538461538461,0.5
KNeighborsClassifier,0.0005955219268798829,0.005106449127197266,0.7365115774057085,0.7418300653594772,0.77092156391176,0.7418300653594772,0.6521739130434783,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.2923076923076923,0.6923076923076923,0.6
GaussianNB,0.00093536376953125,0.00442347526550293,0.6370915032679739,0.6398692810457517,0.649683388506918,0.6398692810457517,0.782608695652174,0.75,0.9230769230769231,0.8275862068965517,0.5635445125120265,0.9230769230769231,0.6
DecisionTreeClassifier,0.008800363540649414,0.004371738433837891,0.6320584726292089,0.6411764705882353,0.6424556489262372,0.6411764705882353,0.7391304347826086,0.8181818181818182,0.6923076923076923,0.75,0.4885638532419674,0.6923076923076923,0.8
ExtraTreeClassifier,0.000750875473022461,0.004251241683959961,0.6577509132307894,0.6607843137254903,0.6636331805449452,0.6607843137254903,0.7391304347826086,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.46923076923076923,0.7692307692307693,0.7
RandomForestClassifier,0.09173693656921386,0.016416168212890624,0.7848652267924713,0.7875816993464052,0.8097984042101689,0.7875816993464052,0.8260869565217391,0.8,0.9230769230769231,0.8571428571428571,0.6485190229106029,0.9230769230769231,0.7
BaggingClassifier,0.021718311309814452,0.014913511276245118,0.7829541173194423,0.7856209150326798,0.7931446821152704,0.7856209150326798,0.782608695652174,0.8333333333333334,0.7692307692307693,0.8,0.5649019553110248,0.7692307692307693,0.8
AdaBoostClassifier,0.20464000701904297,0.009070444107055663,0.7812928042030209,0.7862745098039217,0.8023808725769509,0.7862745098039217,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
GradientBoostingClassifier,0.8205744743347168,0.004334497451782227,0.6248112929382279,0.6300653594771242,0.635175706646295,0.6300653594771242,0.6956521739130435,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.3750457847507963,0.7692307692307693,0.6
HistGradientBoostingClassifier,0.04404339790344238,0.0051711082458496095,0.7383851786328568,0.7418300653594772,0.7594490658216149,0.7418300653594772,0.782608695652174,0.8333333333333334,0.7692307692307693,0.8,0.5649019553110248,0.7692307692307693,0.8
ExtraTrees-ensemble,0.06521477699279785,0.016312503814697267,0.8408705587498158,0.8431372549019607,0.8607580001697649,0.8431372549019607,0.8260869565217391,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6461538461538462,0.8461538461538461,0.8
XGBClassifier,0.03519420623779297,0.0059702396392822266,0.7961354366307927,0.7980392156862746,0.8060571636061832,0.7980392156862746,0.7391304347826086,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.46923076923076923,0.7692307692307693,0.7
LGBMClassifier,0.02734212875366211,0.006539821624755859,0.7510029976903041,0.75359477124183,0.7674596808420338,0.75359477124183,0.6956521739130435,0.75,0.6923076923076923,0.72,0.38932432055219274,0.6923076923076923,0.7
